intensity,SAA_mean_T_total_kg,DRO_mean_T_total_kg,state_count,delta_kg,delta_pct
2,0.0,0.0,7,0.0,
3,16.657509906834836,77.94158220755556,7,61.28407230072072,367.9065637270005
4,209.1053261170273,260.6796966111809,7,51.574370494153584,24.664302651616637
5,337.8259903912468,367.1036659599439,7,29.277675568697077,8.66649588884197
6,420.47061849042035,439.5405870225774,7,19.069968532157077,4.535386705644821
