source_csv_line,time_start,time_end,vehicle_id,state,status,from_node,to_node,current_edge,road_state,edge_entry_road_state,edge_entry_time_h,edge_planned_arrival_h,physical_progress_before_km,physical_progress_after_km,equivalent_progress_before_km,equivalent_progress_after_km,move_physical_before_km,move_physical_after_km,move_equivalent_before_km,move_equivalent_after_km,onboard_H2_before,onboard_H2_after,P_output,energy_served_kWh,accounting_interval,station_H2_before_1,station_H2_after_1,station_H2_before_2,station_H2_after_2,station_H2_before_3,station_H2_after_3,station_H2_before_4,station_H2_after_4,case
14,0.0,0.3,1,PARKED,IDLE,24,24,,W0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-2
20,0.3,0.5,1,MOVING,IN_TRANSIT,24,1,1.0,W0,W0,0.3,0.5166666666666666,0.0,8.000000000000002,0.0,8.000000000000002,0.0,8.000000000000002,0.0,8.000000000000002,10.0,10.0,0.0,0.0,0,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-2
26,0.5,0.5166666666666666,1,MOVING,IN_TRANSIT,24,1,1.0,W0,W0,0.3,0.5166666666666666,8.000000000000002,8.666666666666666,8.000000000000002,8.666666666666666,8.000000000000002,8.666666666666666,8.000000000000002,8.666666666666666,10.0,10.0,0.0,0.0,1,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-2
32,0.5166666666666666,0.6,1,PARKED,ARRIVED,1,1,,W0,,,,0.0,0.0,0.0,0.0,8.666666666666666,8.666666666666666,8.666666666666666,8.666666666666666,10.0,10.0,0.0,0.0,1,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-2
80,0.0,0.5,1,PARKED,IDLE,24,24,,W0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-4
86,0.5,1.0,1,PARKED,IDLE,24,24,,W0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-4
92,1.0,1.4,1,PARKED,IDLE,24,24,,W1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,2,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-4
98,1.4,1.5,1,MOVING,IN_TRANSIT,24,1,1.0,W1,W1,1.4,1.6166666666666665,0.0,4.000000000000005,0.0,4.000000000000005,0.0,4.000000000000005,0.0,4.000000000000005,10.0,10.0,0.0,0.0,2,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-4
104,1.5,1.6166666666666665,1,MOVING,IN_TRANSIT,24,1,1.0,M12,W1,1.4,1.6166666666666665,4.000000000000005,8.666666666666666,4.000000000000005,8.666666666666666,4.000000000000005,8.666666666666666,4.000000000000005,8.666666666666666,10.0,10.0,0.0,0.0,3,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-4
110,1.6166666666666665,1.7666666666666664,1,MOVING,IN_TRANSIT,1,14,2.0,M12,M12,1.6166666666666665,1.7666666666666664,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,10.0,10.0,0.0,0.0,3,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-4
116,1.7666666666666664,1.9166666666666663,1,MOVING,IN_TRANSIT,14,24,3.0,M12,M12,1.7666666666666664,1.9166666666666663,0.0,6.0,0.0,6.0,6.0,12.0,6.0,12.0,10.0,10.0,0.0,0.0,3,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-4
122,1.9166666666666663,2.0,1,PARKED,ARRIVED,24,24,,M12,,,,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,10.0,10.0,0.0,0.0,3,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-4
213,0.0,0.1,1,PARKED,IDLE,24,24,,W0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-6
214,0.0,0.1,2,PARKED,IDLE,24,24,,W0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-6
215,0.0,0.1,3,PARKED,IDLE,14,14,,W0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-6
216,0.0,0.1,4,PARKED,IDLE,18,18,,W0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-6
217,0.0,0.1,5,PARKED,IDLE,31,31,,W0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-6
218,0.0,0.1,6,PARKED,IDLE,31,31,,W0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-6
219,0.0,0.21666666666666665,1,MOVING,IN_TRANSIT,24,14,1.0,W0,W0,0.0,0.21666666666666665,0.0,8.666666666666666,0.0,8.666666666666666,0.0,8.666666666666666,0.0,8.666666666666666,10.0,10.0,0.0,0.0,0,69.1553559615926,69.1553559615926,55.5009093832021,55.5009093832021,33.3376415005701,33.3376415005701,37.9373084666148,37.9373084666148,CASE-7
