dissipation_stage,path_count,mean_inventory_at_resolution_kg,mean_remaining_demand_kg,mean_inventory_minus_remaining_demand_kg,mean_positive_preventive_inventory_kg
2,1078,241.507481134,248.989071862,-7.48159072795,5.60813793862
3,937,182.773907914,189.496065932,-6.72215801771,5.60813793862
4,767,155.106830226,144,11.1068302262,14.3504270927
5,485,183.13989717,104.989071862,78.1508253074,78.4609823532
6,197,147.827518879,45.4960659317,102.331452947,102.382015312
7,33,157.174099835,0,157.174099835,157.174099835
