path_id,dissipation_stage,inventory_at_resolution_kg,remaining_formal_demand_kg,inventory_minus_remaining_demand_kg,positive_preventive_inventory_kg
2,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
5,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
7,6,130.615000117,45.4960659317,85.118934185,85.118934185
10,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
12,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
14,5,156.451144954,104.989071862,51.4620730918,51.4620730918
15,5,173.712545313,104.989071862,68.7234734504,68.7234734504
18,6,134.049058961,45.4960659317,88.5529930289,88.5529930289
20,5,168.913562092,104.989071862,63.92449023,63.92449023
21,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
23,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
26,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
32,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
35,4,160.308409272,144,16.308409272,18.3262758297
36,5,157.630579341,104.989071862,52.6415074787,52.6415074787
38,4,147.633409272,144,3.63340927205,5.26920416384
40,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
47,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
49,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
51,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
52,4,163.233409272,144,19.233409272,21.2512758297
56,4,160.308409272,144,16.308409272,18.3262758297
58,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
63,4,160.308409272,144,16.308409272,18.3262758297
67,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
69,5,203.382783755,104.989071862,98.3937118926,98.3937118926
70,4,147.633409272,144,3.63340927205,4.91642247452
71,3,188.084209615,189.496065932,-1.41185631651,5.60813793862
76,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
82,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
88,5,207.487481134,104.989071862,102.498409272,102.498409272
93,7,401.346430028,0,401.346430028,401.346430028
95,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
96,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
98,4,150.558409272,144,6.55840927205,7.80603934794
100,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
101,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
102,4,150.558409272,144,6.55840927205,7.80603934794
103,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
105,5,332.295415487,104.989071862,227.306343625,227.306343625
106,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
109,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
111,3,188.084209615,189.496065932,-1.41185631651,5.60813793862
113,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
120,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
121,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
123,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
125,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
128,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
134,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
138,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
140,7,335.742817367,0,335.742817367,335.742817367
142,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
145,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
147,4,149.443112104,144,5.44311210419,6.8672898456
149,4,151.533409272,144,7.53340927205,10.2026949835
155,5,227.962481134,104.989071862,122.973409272,122.973409272
158,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
159,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
163,4,160.308409272,144,16.308409272,18.3262758297
168,4,153.703143683,144,9.70314368349,11.0843702727
170,4,160.308409272,144,16.308409272,18.3262758297
171,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
175,4,147.633409272,144,3.63340927205,5.26920416384
183,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
184,5,171.838562092,104.989071862,66.84949023,66.84949023
185,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
186,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
190,5,201.993402124,104.989071862,97.0043302612,97.0043302612
191,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
192,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
194,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
195,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
196,5,159.964981244,104.989071862,54.9759093816,54.9759093816
197,4,154.458409272,144,10.458409272,12.4762758297
200,7,140.43470476,0,140.43470476,140.43470476
206,5,124.222481134,104.989071862,19.233409272,21.2512758297
207,4,160.308409272,144,16.308409272,18.3262758297
210,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
212,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
214,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
215,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
218,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
219,5,162.496992527,104.989071862,57.5079206642,57.5079206642
223,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
226,4,154.458409272,144,10.458409272,12.4762758297
227,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
232,6,156.407475452,45.4960659317,110.911409521,110.911409521
