transition_group,path_count,base_type_mix,b0001_type_mix,base_mean_total_H2_production,b0001_mean_total_H2_production,delta_mean_total_H2_production,base_mean_terminal_inventory_total,b0001_mean_terminal_inventory_total,delta_mean_terminal_inventory_total,base_mean_total_HTT,b0001_mean_total_HTT,delta_mean_total_HTT,base_mean_ordinary_shortage_total,b0001_mean_ordinary_shortage_total,delta_mean_ordinary_shortage_total,base_mean_terminal_site_gap,b0001_mean_terminal_site_gap,delta_mean_terminal_site_gap,base_mean_terminal_total_quantity_shortfall,b0001_mean_terminal_total_quantity_shortfall,delta_mean_terminal_total_quantity_shortfall,base_mean_actual_operating_cost,b0001_mean_actual_operating_cost,delta_mean_actual_operating_cost,base_mean_surplus_site1,b0001_mean_surplus_site1,delta_mean_surplus_site1,base_mean_surplus_site2,b0001_mean_surplus_site2,delta_mean_surplus_site2,base_mean_surplus_site3,b0001_mean_surplus_site3,delta_mean_surplus_site3,base_mean_surplus_site4,b0001_mean_surplus_site4,delta_mean_surplus_site4,base_mean_inventory_site1,b0001_mean_inventory_site1,delta_mean_inventory_site1,base_mean_inventory_site2,b0001_mean_inventory_site2,delta_mean_inventory_site2,base_mean_inventory_site3,b0001_mean_inventory_site3,delta_mean_inventory_site3,base_mean_inventory_site4,b0001_mean_inventory_site4,delta_mean_inventory_site4
NEW_FAILURES,82,ADEQUATE=82,PURE_LOCATION=82,404.83044159382234,410.77796439452425,5.947522800701904,378.52481399535526,380.04822252192105,1.5234085265657882,48.7870284159186,80.66088555268564,31.873857136767043,15.446506410850573,11.022392136714515,-4.424114274136057,3.4660621256590244e-16,10.633528987196938,10.633528987196938,0.0,0.0,0.0,80386.79411018509,80355.66728265825,-31.126827526837587,43.2280231882383,56.82824688469325,13.600223696454947,38.52810149293079,33.14367486997712,-5.384426622953669,10.425202226808883,9.282678537611295,-1.1425236891975885,25.534081917619183,30.61774604707831,5.083664129459127,161.2064036751442,173.81382338921074,12.607419714066538,86.03276961671568,77.57572983079469,-8.457039785920998,38.08450805577547,34.853481345036144,-3.2310267107393287,93.20113264771993,93.8051879568795,0.6040553091595626
RECOVERED_PATHS,46,PURE_LOCATION=46,ADEQUATE=46,389.13182310235385,395.1992181214779,6.067395019124035,360.9605569475051,365.75956278991566,4.7990058424105655,46.219567484947405,42.66175934112361,-3.5578081438237916,10.610742149898362,9.34235297318478,-1.2683891767135815,5.640493187248479,4.633974363652826e-16,-5.640493187248478,0.0,0.0,0.0,77252.52791051862,76769.20056925439,-483.3273412642302,38.20125588996389,33.69025766583368,-4.510998224130212,37.388117991068974,29.707498252302987,-7.680619738765987,2.5316088118934843,8.863917784658003,6.332308972764519,19.299572473665407,24.317394118958997,5.017821645293591,164.24660948064712,159.88798738565075,-4.358622094996377,82.46886738923398,75.82075514273744,-6.648112246496538,25.977687912417927,35.57418936822146,9.596501455803534,88.26739216520618,94.47663089330611,6.209238728099933
PERSISTENT_FAILURE,427,PURE_LOCATION=157;MIXED=152;PURE_QUANTITY=118,MIXED=177;PURE_LOCATION=155;PURE_QUANTITY=95,348.54212733852836,353.7793069064652,5.237179567936835,327.78411983033084,331.52808227209493,3.743962441764097,40.8296559595344,50.98358222591102,10.153926266376622,19.105981239244656,17.612764113071552,-1.4932171261731035,49.95039542114191,52.774102440665686,2.8237070195237735,38.34406491979017,35.62002799145261,-2.7240369283375614,78425.84258793217,78371.14054818642,-54.7020397457527,8.459214889996462,11.27338274189762,2.814167851901159,12.257968244783646,12.60205651456963,0.34408826978598483,2.137827883324181,3.3406536286182047,1.2028257452940236,5.963667894099784,8.170255488406488,2.206587594306704,146.5758374945004,150.03245357442344,3.4566160799230374,70.67812360899936,66.53219515150587,-4.145928457493483,30.537882129547718,32.80887628661348,2.270994157065765,79.99227659728312,82.15455725955178,2.162280662268657
PERSISTENT_ADEQUATE,9445,ADEQUATE=9445,ADEQUATE=9445,185.7445479555054,187.14110042866346,1.3965524731580672,187.30176446919756,188.63366770930602,1.3319032401084598,5.367721731212859,6.3536665278406135,0.9859447966277548,1.0728517777853352,1.008202544752734,-0.06464923303260117,6.39450847428359e-18,3.009180458486395e-18,-3.3853280157971944e-18,0.0,0.0,0.0,54874.592755243866,54844.469029990876,-30.12372525298997,73.65303359222142,74.02950308933649,0.3764694971150675,42.29935218682596,39.47464810072724,-2.824704086098727,23.96973410504955,24.016358429515268,0.04662432446571785,39.59498990833561,43.32850341296594,3.7335135046303236,77.29842494189889,77.67489443901394,0.3764694971150533,43.3950101133403,40.57030602724159,-2.8247040860987056,24.852334654542346,24.898958979008068,0.0466243244657214,41.75599475941689,45.48950826404729,3.7335135046303947
