arm,ledger_category,count
BASE,STAGE7_TERMINAL_CHECK,6124
BASE,PHYSICAL_DISSIPATION_A1,3497
BASE,LF8_ABSORBING,379
BASE,total_paths,10000
BASE,ledger_sum,10000
B0001,STAGE7_TERMINAL_CHECK,6124
B0001,PHYSICAL_DISSIPATION_A1,3497
B0001,LF8_ABSORBING,379
B0001,total_paths,10000
B0001,ledger_sum,10000
