metric,base_mean,b0001_mean,paired_diff_mean,paired_diff_median,b0001_better_count,b0001_worse_count,tie_count,diff_q05,diff_q95,arm,value
total_H2_production,195.42809038866932,197.04744147117472,1.619351082489106,0.7314884689139944,2639.0,7350.0,11.0,-7.175824591373015,11.234654306994003,,0.0
terminal_inventory_total,195.66722049463192,197.11963767797124,1.4524171833414303,0.3226593704599594,2741.0,7248.0,11.0,-8.190044779294588,11.234654306994003,,0.0
terminal_total_quantity_shortfall,1.6372915720750403,1.5209751952350266,-0.11631637684001475,0.0,212.0,70.0,9718.0,0.0,0.0,,0.0
terminal_site_gap,2.1588281531441034,2.3406491119114397,0.1818209587673358,0.0,291.0,252.0,9457.0,0.0,0.0,,0.0
terminal_spatial_component,0.5215365810690609,0.8196739166764119,0.29813733560735084,0.0,189.0,270.0,9541.0,0.0,0.0,,0.0
total_HTT,7.425903128043918,9.035700351093046,1.6097972230490796,0.0,1983.0,1576.0,6441.0,-5.3513094184550605,14.758772422591138,,0.0
ordinary_shortage_total,2.0046046694925006,1.8376707703448185,-0.1669338991476815,0.0,228.0,197.0,9575.0,0.0,0.0,,0.0
actual_operating_cost,56192.36967592455,56159.10349457057,-33.26618135314302,-38.867748404911254,7426.0,2574.0,0.0,-259.7146778066017,587.8459938745885,,0.0
terminal_penalty_cost,2158.8281531441035,2340.649111911437,181.82095876733544,0.0,292.0,252.0,9456.0,0.0,0.0,,0.0
positive_target_paths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASE,1123.0
positive_target_sitewise_failure_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASE,0.42119323241317896
positive_target_quantity_failure_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASE,0.2404274265360641
positive_target_paths,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B0001,1123.0
positive_target_sitewise_failure_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B0001,0.45325022261798753
positive_target_quantity_failure_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B0001,0.24220837043633126
