check,pass,value
identity_common_path,True,True
terminal_recompute,True,True
terminal_formula_error_max,True,1.7266188478970435e-12
ledger_base_closed,True,True
ledger_b0001_closed,True,True
finite_terminal_values,True,True
pmax_identity,True,True
source_hashes_before_after,True,True
base_checkpoint_sha,True,True
b0001_checkpoint_sha,True,True
bank_manifest_10000,True,True
bank_hash,True,True
output_analysis_control_card.md,True,1722
output_identity_and_common_path_qa.csv,True,1680
output_qa_summary.csv,True,409
output_paired_kpi_summary.csv,True,1896
output_terminal_type_transition.csv,True,1216
output_new_failure_recovery_summary.csv,True,4848
output_site_time_mechanism_summary.csv,True,277887
output_historical_issue_status.csv,True,1302
output_B0001_C_mode_summary_zh.md,True,3239
output_source_manifest.csv,True,4074
output_terminal_recompute_audit.csv,True,613889
output_path_ledger.csv,True,310
output_path_transition_labels.csv,True,440034
figure_production_timing_site1.png_nonempty,True,53158
figure_terminal_transition_counts.png_nonempty,True,101251
