source_step,evaluation_scope,distribution_label,seed_id,decision_label,eta,mean_shortage_kg,shortage_q95_kg,shortage_q99_kg,shortage_q995_kg,shortage_CVaR995_kg,maximum_shortage_kg,mean_service_rate,expected_equivalent_unrestored_kWh,expected_equivalent_unrestored_MWh,equivalent_unrestored_q95_kWh,equivalent_unrestored_q95_MWh,equivalent_unrestored_q99_kWh,equivalent_unrestored_q99_MWh,equivalent_unrestored_q995_kWh,equivalent_unrestored_q995_MWh,equivalent_unrestored_CVaR995_kWh,equivalent_unrestored_CVaR995_MWh,maximum_equivalent_unrestored_kWh,maximum_equivalent_unrestored_MWh,expected_equivalent_restored_kWh_vs_SAA,conversion_scope,cvar_source_note
C1,nominal-and-same-path-second-layer-redraw,nominal,,SAA,0,4.60246206438826,29.4574912036658,92.4637918337288,131.194937675586,,301.121021193028,0.987277179106841,84.3700333333334,0.0843700333333334,540,0.54,1695,1.695,2405.00000000001,2.40500000000001,,,5519.99999999999,5.51999999999999,-0,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C1,nominal-and-same-path-second-layer-redraw,validation-1,,SAA,0,4.39348471210758,26.1844366254807,89.4634918037258,126.285355808308,,298.938984807572,0.987809302753392,80.5391650000001,0.0805391650000001,479.999999999999,0.479999999999999,1640,1.64,2315,2.315,,,5480.00000000001,5.48000000000001,-0,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C1,nominal-and-same-path-second-layer-redraw,validation-2,,SAA,0,4.53880933547901,29.4574912036658,88.3724736109975,126.830864904672,,320.213839565775,0.987278876144227,83.2031833333335,0.0832031833333335,540,0.54,1620,1.62,2324.99999999999,2.32499999999999,,,5870.00000000001,5.87000000000001,-0,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C1,nominal-and-same-path-second-layer-redraw,nominal,,ETA_0.003,0.003,4.5979655184845,29.4574912036658,92.1910372855467,130.937184627554,,301.121021193028,0.987285520942133,84.2876049020986,0.0842876049020986,540,0.54,1690,1.69,2400.27500000001,2.40027500000001,,,5519.99999999999,5.51999999999999,0.082428431234777,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C1,nominal-and-same-path-second-layer-redraw,validation-1,,ETA_0.003,0.003,4.38786677633911,26.1844366254807,89.4634918037258,126.285355808308,,298.938984807572,0.987818867745115,80.4361798104604,0.0804361798104604,479.999999999999,0.479999999999999,1640,1.64,2315,2.315,,,5480.00000000001,5.48000000000001,0.102985189539704,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C1,nominal-and-same-path-second-layer-redraw,validation-2,,ETA_0.003,0.003,4.53418450829213,29.4574912036658,88.3724736109975,126.830864904672,,320.213839565775,0.987286902398051,83.1184033137572,0.0831184033137572,540,0.54,1620,1.62,2324.99999999999,2.32499999999999,,,5870.00000000001,5.87000000000001,0.0847800195763001,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C1,nominal-and-same-path-second-layer-redraw,nominal,,ETA_0.01,0.01,4.58915104615018,29.4574912036658,92.1910372855467,130.937184627554,,301.121021193028,0.987303786616782,84.126022402502,0.084126022402502,540,0.54,1690,1.69,2400.27500000001,2.40027500000001,,,5519.99999999999,5.51999999999999,0.244010930831368,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C1,nominal-and-same-path-second-layer-redraw,validation-1,,ETA_0.01,0.01,4.37428124500189,26.1844366254807,89.2214823529373,126.012601260126,,298.938984807572,0.987844388572739,80.1871366427522,0.0801871366427521,479.999999999999,0.479999999999999,1635.56360375287,1.63556360375287,2310,2.31,,,5480.00000000001,5.48000000000001,0.35202835724796,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C1,nominal-and-same-path-second-layer-redraw,validation-2,,ETA_0.01,0.01,4.52464163665013,29.4574912036658,88.3724736109975,126.830864904672,,320.213839565775,0.987304537222673,82.9434681622519,0.0829434681622519,540,0.54,1620,1.62,2324.99999999999,2.32499999999999,,,5870.00000000001,5.87000000000001,0.259715171081624,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C1,fixed-state19-pressure-replicas,fixed-stress-135-replicas,,SAA,0,264.37997335087,409.404576821319,,,,449.226740855904,0.545181121216744,4846.48148148147,4.84648148148147,7505.00000000001,7.50500000000001,,,,,,,8235.00000000001,8.235,-0,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C1,fixed-state19-pressure-replicas,fixed-stress-135-replicas,,ETA_0.003,0.003,264.224513505244,409.404576821319,,,,449.226740855904,0.545436824420933,4843.63166932138,4.84363166932138,7505.00000000001,7.50500000000001,,,,,,,8235.00000000001,8.235,2.84981216009325,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C1,fixed-state19-pressure-replicas,fixed-stress-135-replicas,,ETA_0.01,0.01,263.555263580409,409.404576821319,,,,449.226740855904,0.546542619441769,4831.36331432427,4.83136331432427,7505.00000000001,7.50500000000001,,,,,,,8235.00000000001,8.235,15.1181671572053,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,not available in C1 lightweight summaries
C2,independent-typhoon-path-seeds,independent-path-nominal,1,SAA,0,4.7205679658875,29.4574912036658,101.464691923738,136.92278318741,196.301997378014,312.849466764858,0.98736062901292,86.5350916666667,0.0865350916666667,540,0.54,1860,1.86,2510.00000000001,2.51000000000001,3598.51006493507,3.59851006493507,5734.99999999999,5.73499999999999,-0,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,read-only recomputation from frozen protected scenario_results.csv
C2,independent-typhoon-path-seeds,independent-path-nominal,1,ETA_0.003,0.003,4.71368017513463,29.4574912036658,101.191937375556,136.92278318741,196.104409484382,312.849466764858,0.987372318829959,86.4088281304805,0.0864088281304805,540,0.54,1855.00000000001,1.85500000000001,2510.00000000001,2.51000000000001,3594.88798246295,3.59488798246295,5734.99999999999,5.73499999999999,0.126263536186239,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,read-only recomputation from frozen protected scenario_results.csv
C2,independent-typhoon-path-seeds,independent-path-nominal,1,ETA_0.01,0.01,4.69782802883942,28.9119821073016,100.661429779342,136.92278318741,196.601721371003,312.849466764858,0.987403340301217,86.1182345106698,0.0861182345106698,529.999999999999,0.529999999999999,1845.27500000001,1.84527500000001,2510.00000000001,2.51000000000001,3604.00445531254,3.60400445531254,5734.99999999999,5.73499999999999,0.416857155996872,repository-model-equivalent outage energy; not independently calibrated full-grid economic EENS,read-only recomputation from frozen protected scenario_results.csv
