source_step,evaluation_scope,distribution_label,seed_id,decision_label,eta,mean_total_cost,mean_operating_loss,mean_shortage_kg,mean_service_rate,operating_loss_q95,operating_loss_q99,operating_loss_q995,operating_loss_CVaR995,shortage_q95_kg,shortage_q99_kg,shortage_q995_kg,maximum_shortage_kg,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,capacity_binding_count,direct_inventory_model_cost,SAA_TerminalLOH_total_kg,SAA_direct_inventory_model_cost,SAA_mean_total_cost,SAA_mean_operating_loss,SAA_mean_shortage_kg,SAA_mean_service_rate,SAA_operating_loss_q95,SAA_operating_loss_q99,SAA_operating_loss_q995,SAA_operating_loss_CVaR995,SAA_shortage_q95_kg,SAA_shortage_q99_kg,SAA_shortage_q995_kg,SAA_maximum_shortage_kg,TerminalLOH_total_kg_change_vs_SAA,TerminalLOH_total_kg_percent_change_vs_SAA,direct_inventory_model_cost_change_vs_SAA,direct_inventory_model_cost_percent_change_vs_SAA,mean_total_cost_change_vs_SAA,mean_total_cost_percent_change_vs_SAA,mean_operating_loss_change_vs_SAA,mean_operating_loss_percent_change_vs_SAA,mean_shortage_kg_change_vs_SAA,mean_shortage_kg_percent_change_vs_SAA,mean_service_rate_change_vs_SAA,mean_service_rate_percent_change_vs_SAA,operating_loss_q95_change_vs_SAA,operating_loss_q95_percent_change_vs_SAA,operating_loss_q99_change_vs_SAA,operating_loss_q99_percent_change_vs_SAA,operating_loss_q995_change_vs_SAA,operating_loss_q995_percent_change_vs_SAA,operating_loss_CVaR995_change_vs_SAA,operating_loss_CVaR995_percent_change_vs_SAA,shortage_q95_kg_change_vs_SAA,shortage_q95_kg_percent_change_vs_SAA,shortage_q99_kg_change_vs_SAA,shortage_q99_kg_percent_change_vs_SAA,shortage_q995_kg_change_vs_SAA,shortage_q995_kg_percent_change_vs_SAA,maximum_shortage_kg_change_vs_SAA,maximum_shortage_kg_percent_change_vs_SAA,objective_reconstruction_error
C1,nominal-and-same-path-second-layer-redraw,nominal,,SAA,0,11444.8775967693,10092.0150377861,4.60246206438826,0.987277179106841,61314.2770955281,188736.506145148,265137.035192045,380774.74914859,29.4574912036658,92.4637918337288,131.194937675586,301.121021193028,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,676.431279491585,1352.86255898317,11444.8775967693,10092.0150377861,4.60246206438826,0.987277179106841,61314.2770955281,188736.506145148,265137.035192045,380774.74914859,29.4574912036658,92.4637918337288,131.194937675586,301.121021193028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09228198602796e-11
C1,nominal-and-same-path-second-layer-redraw,validation-1,,SAA,0,11030.4201702863,9677.55761130315,4.39348471210758,0.987809302753392,55014.0727081385,182574.268975568,256368.267034873,352729.023925797,26.1844366254807,89.4634918037258,126.285355808308,298.938984807572,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,676.431279491585,1352.86255898317,11030.4201702863,9677.55761130315,4.39348471210758,0.987809302753392,55014.0727081385,182574.268975568,256368.267034873,352729.023925797,26.1844366254807,89.4634918037258,126.285355808308,298.938984807572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.00088834390044e-11
C1,nominal-and-same-path-second-layer-redraw,validation-2,,SAA,0,11307.8602395691,9954.99768058593,4.53880933547901,0.987278876144227,61421.2629798695,179560.424120831,255283.982800289,383181.570242203,29.4574912036658,88.3724736109975,126.830864904672,320.213839565775,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,676.431279491585,1352.86255898317,11307.8602395691,9954.99768058593,4.53880933547901,0.987278876144227,61421.2629798695,179560.424120831,255283.982800289,383181.570242203,29.4574912036658,88.3724736109975,126.830864904672,320.213839565775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1,nominal-and-same-path-second-layer-redraw,nominal,,ETA_0.003,0.003,11445.1693172894,10083.0630868924,4.5979655184845,0.987285520942133,61312.0322700438,187688.808178034,264300.23434463,380614.337465006,29.4574912036658,92.1910372855467,130.937184627554,301.121021193028,299.211738691929,137.483280118695,94.3580963878466,150,681.05311519847,1,1362.10623039694,676.431279491585,1352.86255898317,11444.8775967693,10092.0150377861,4.60246206438826,0.987277179106841,61314.2770955281,188736.506145148,265137.035192045,380774.74914859,29.4574912036658,92.4637918337288,131.194937675586,301.121021193028,4.62183570688501,0.683267590812602,9.24367141377002,0.683267590812602,0.291720520099261,0.00254891778118806,-8.95195089369918,-0.0887033051395748,-0.00449654590376003,-0.0976987064934709,8.34183529196952e-06,0.000844933466356036,-2.24482548430387,-0.00366117907711188,-1047.69796711401,-0.555111455919546,-836.800847414997,-0.315610697995805,-160.41168358404,-0.042127710396427,0,0,-0.272754548182107,-0.29498525073748,-0.257753048032015,-0.19646569646565,0,0,5.93445292906836e-11
C1,nominal-and-same-path-second-layer-redraw,validation-1,,ETA_0.003,0.003,11028.4581213573,9666.35189096034,4.38786677633911,0.987818867745115,54811.1897864676,182574.268975568,256130.81907396,352533.523055725,26.1844366254807,89.4634918037258,126.285355808308,298.938984807572,299.211738691929,137.483280118695,94.3580963878466,150,681.05311519847,1,1362.10623039694,676.431279491585,1352.86255898317,11030.4201702863,9677.55761130315,4.39348471210758,0.987809302753392,55014.0727081385,182574.268975568,256368.267034873,352729.023925797,26.1844366254807,89.4634918037258,126.285355808308,298.938984807572,4.62183570688501,0.683267590812602,9.24367141377002,0.683267590812602,-1.96204892899914,-0.0177876173229058,-11.2057203428085,-0.11579078929709,-0.00561793576846981,-0.127869701082329,9.56499172299896e-06,0.000968303466705342,-202.882921670898,-0.368783679672719,0,0,-237.447960912978,-0.0926198720533061,-195.50087007205,-0.0554252292301235,0,0,0,0,0,0,0,0,1.93267624126747e-11
C1,nominal-and-same-path-second-layer-redraw,validation-2,,ETA_0.003,0.003,11307.887911397,9945.78168100004,4.53418450829213,0.987286902398051,61421.2629798695,179560.424120831,255283.982800289,382944.27902167,29.4574912036658,88.3724736109975,126.830864904672,320.213839565775,299.211738691929,137.483280118695,94.3580963878466,150,681.05311519847,1,1362.10623039694,676.431279491585,1352.86255898317,11307.8602395691,9954.99768058593,4.53880933547901,0.987278876144227,61421.2629798695,179560.424120831,255283.982800289,383181.570242203,29.4574912036658,88.3724736109975,126.830864904672,320.213839565775,4.62183570688501,0.683267590812602,9.24367141377002,0.683267590812602,0.0276718279001216,0.000244713211110363,-9.21599958588922,-0.0925766120856272,-0.00462482718688051,-0.101895163357692,8.02625382390065e-06,0.000812967239332297,0,0,0,0,0,0,-237.291220533021,-0.0619265744913131,0,0,0,0,0,0,0,0,1.93267624126747e-11
C1,nominal-and-same-path-second-layer-redraw,nominal,,ETA_0.01,0.01,11452.1653246611,10065.2290241678,4.58915104615018,0.987303786616782,61312.0073430716,187687.892907301,264300.23434463,379718.228153087,29.4574912036658,92.1910372855467,130.937184627554,301.121021193028,300,143.468150246686,100,150,693.468150246686,3,1386.93630049337,676.431279491585,1352.86255898317,11444.8775967693,10092.0150377861,4.60246206438826,0.987277179106841,61314.2770955281,188736.506145148,265137.035192045,380774.74914859,29.4574912036658,92.4637918337288,131.194937675586,301.121021193028,17.0368707551011,2.51864029231561,34.0737415102021,2.51864029231561,7.28772789180039,0.0636767656987226,-26.786013618299,-0.265417892442767,-0.0133110182380802,-0.289215164663165,2.66075099409901e-05,0.00269503949894407,-2.26975245650101,-0.00370183351092066,-1048.61323784702,-0.555596402235286,-836.800847414997,-0.315610697995805,-1056.520995503,-0.277466139197879,0,0,-0.272754548182107,-0.29498525073748,-0.257753048032015,-0.19646569646565,0,0,-7.18500814400613e-11
C1,nominal-and-same-path-second-layer-redraw,validation-1,,ETA_0.01,0.01,11026.080632995,9639.14433250159,4.37428124500189,0.987844388572739,54811.1897864676,181913.651684857,254482.109167332,351775.292840562,26.1844366254807,89.2214823529373,126.012601260126,298.938984807572,300,143.468150246686,100,150,693.468150246686,3,1386.93630049337,676.431279491585,1352.86255898317,11030.4201702863,9677.55761130315,4.39348471210758,0.987809302753392,55014.0727081385,182574.268975568,256368.267034873,352729.023925797,26.1844366254807,89.4634918037258,126.285355808308,298.938984807572,17.0368707551011,2.51864029231561,34.0737415102021,2.51864029231561,-4.33953729130008,-0.039341541158966,-38.4132788015595,-0.396931543519759,-0.0192034671056902,-0.437089653521935,3.50858193470804e-05,0.00355188185100942,-202.882921670898,-0.368783679672719,-660.617290711001,-0.361834827228258,-1886.15786754098,-0.735722049127248,-953.73108523502,-0.270386336406401,0,0,-0.242009450788501,-0.270511966288379,-0.272754548181993,-0.215982721382212,0,0,3.72892827726901e-11
C1,nominal-and-same-path-second-layer-redraw,validation-2,,ETA_0.01,0.01,11313.45079891,9926.51449841659,4.52464163665013,0.987304537222673,61385.2552988465,179560.424120831,255283.982800289,382366.122126323,29.4574912036658,88.3724736109975,126.830864904672,320.213839565775,300,143.468150246686,100,150,693.468150246686,3,1386.93630049337,676.431279491585,1352.86255898317,11307.8602395691,9954.99768058593,4.53880933547901,0.987278876144227,61421.2629798695,179560.424120831,255283.982800289,383181.570242203,29.4574912036658,88.3724736109975,126.830864904672,320.213839565775,17.0368707551011,2.51864029231561,34.0737415102021,2.51864029231561,5.59055934090065,0.0494395864686924,-28.4831821693388,-0.286119425470949,-0.0141676988288806,-0.312145714474815,2.56610784459266e-05,0.00259917223653612,-36.0076810229948,-0.0586241299447003,0,0,0,0,-815.448115880019,-0.212809847656448,0,0,0,0,0,0,0,0,3.72892827726901e-11
C1,fixed-state19-pressure-replicas,fixed-stress-135-replicas,,SAA,0,532518.574170685,531165.711611702,264.37997335087,0.545181121216744,820195.36161099,,,,409.404576821319,,,449.226740855904,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,676.431279491585,1352.86255898317,532518.574170685,531165.711611702,264.37997335087,0.545181121216744,820195.36161099,,,,409.404576821319,,,449.226740855904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,,,,0,0,-1.36424205265939e-10
