arm,penalty,path_id,stage,state_id,hurricane_a,hurricane_loc,hurricane_lf,beta,hour_in_stage,global_hour,origin_site,destination_site,flow_kg,distance_km,unit_cost_yuan_per_kg,htt_cost_yuan,lt5,lt10,source_inventory_pre_htt_kg,source_ending_inventory_kg,destination_inventory_pre_htt_kg,destination_ending_inventory_kg,destination_demand_kg,destination_served_kg,destination_shortage_kg,source_production_kg,fleet_capacity_kg,total_hour_htt_kg,fleet_capacity_binding
Arm-A,1000,1101,5,126,3,2,6,0.202380952381,1,33,2,1,15.6537539537,28.2276208211,31.7224691132,496.575726303,0,0,36.7774912028,21.1237372491,87.6553559616,103.309109915,4.31956668923,0,4.31956668923,3.9,127.619047619,15.6537539537,0
Arm-A,1000,1101,5,126,3,2,6,0.202380952381,2,34,3,1,13.1007599255,28.2276208211,31.7224691132,415.588452096,0,0,27.2509720494,14.1502121239,109.159109915,122.259869841,2.32735274204,0,2.32735274204,2.34,127.619047619,13.1007599255,0
Arm-A,1000,1165,4,150,3,5,6,0.252380952381,1,25,2,1,8.20011607459,28.2276208211,33.9806787789,278.64551028,0,1,49.0975789324,32.943461244,60.6136159481,68.8137320226,0.930941096818,0.930941096818,0,3.9,119.619047619,16.1541176884,0
Arm-A,1000,1165,4,150,3,5,6,0.252380952381,1,25,2,4,7.95400161385,22.9939521853,27.6803386307,220.169458141,0,1,49.0975789324,32.943461244,34.6771137856,42.6311153994,0.521467060664,0.521467060664,0,3.9,119.619047619,16.1541176884,0
Arm-A,1000,1165,4,150,3,5,6,0.252380952381,2,26,3,1,9.28776626797,28.2276208211,33.9806787789,315.604602125,0,1,25.067459651,15.7796933831,74.1982614742,83.4860277422,0.465470548409,0.465470548409,0,2.34,119.619047619,9.28776626797,0
Arm-A,1000,1216,3,221,4,7,5,0.342857142857,1,17,2,1,2.92247744894,28.2276208211,38.0669629358,111.24984073,1,1,82.6087590566,79.6862816077,120.182437884,140.465316692,5.02708192282,0,5.02708192282,3.9,105.142857143,20.2828788078,0
Arm-A,1000,1216,3,221,4,7,5,0.342857142857,1,17,3,1,10.94795952,28.2276208211,38.0669629358,416.75556927,0,0,48.0771226692,37.1291631492,120.182437884,140.465316692,5.02708192282,0,5.02708192282,2.34,105.142857143,20.2828788078,0
Arm-A,1000,1216,3,221,4,7,5,0.342857142857,1,17,4,1,6.41244183888,24.388346875,32.8894277857,210.90154279,0,1,59.2929924576,52.8805506187,120.182437884,140.465316692,5.02708192282,0,5.02708192282,2.925,105.142857143,20.2828788078,0
Arm-A,1000,1216,4,222,4,7,6,0.428571428571,1,25,3,2,7.54412283883,8,11.8857142857,89.6672885987,0,1,41.823883678,34.2797608392,104.675101483,112.219224322,0.310559006211,0.310559006211,0,2.34,91.4285714286,7.54412283883,0
Arm-A,1000,1320,4,166,3,7,6,0.285714285714,1,25,2,1,13.3361291742,28.2276208211,35.4861518893,473.247905492,0,0,49.0975789324,35.7614497582,60.6136159481,73.9497451223,0.930941096818,0.930941096818,0,3.9,114.285714286,13.3361291742,0
Arm-A,1000,1320,4,166,3,7,6,0.285714285714,6,30,3,1,9.5161161058,28.2276208211,35.4861518893,337.690341527,0,1,33.4363366656,23.9202205598,99.0105101866,108.526626292,1.86188219364,1.86188219364,0,2.34,114.285714286,9.5161161058,0
Arm-A,1000,2201,4,157,3,6,5,0.215238095238,1,25,2,4,8.84159040583,22.9939521853,26.3138409009,232.65620325,0,1,49.0975789324,40.2559885266,37.6021137856,48.4396050593,0.521467060664,0.521467060664,0,3.9,125.561904762,10.8374912737,0
Arm-A,1000,2201,4,157,3,6,5,0.215238095238,1,25,3,4,1.9959008679,27.1343920149,31.0520813763,61.9768761691,1,1,23.1239088452,21.1280079773,37.6021137856,48.4396050593,0.521467060664,0.521467060664,0,2.34,125.561904762,10.8374912737,0
Arm-A,1000,2201,4,157,3,6,5,0.215238095238,8,32,3,1,11.5481163188,28.2276208211,32.3031515987,373.040552126,0,0,33.7417406327,22.1936243139,93.5053559616,105.05347228,5.39945836154,5.39945836154,0,2.34,125.561904762,11.5481163188,0
Arm-A,1000,2201,5,166,3,7,6,0.285714285714,1,33,2,1,19.4571587788,28.2276208211,35.4861518893,690.45969176,0,0,57.5677897688,38.11063099,106.583905591,131.333896805,4.31956668923,4.31956668923,0,3.9,114.285714286,24.7499912135,0
Arm-A,1000,2201,5,166,3,7,6,0.285714285714,1,33,4,1,5.29283243468,24.388346875,30.6596360714,162.276316234,0,1,62.7139314977,57.421099063,106.583905591,131.333896805,4.31956668923,4.31956668923,0,2.925,114.285714286,24.7499912135,0
Arm-A,1000,2201,5,166,3,7,6,0.285714285714,8,40,3,1,1.43877690691,28.2276208211,35.4861518893,51.0566558533,1,1,31.8389022592,30.4001253523,154.130545417,155.569322324,3.72376438727,3.72376438727,0,2.34,114.285714286,1.43877690691,0
Arm-A,1000,2318,4,134,3,3,6,0.219047619048,1,25,2,1,14.8156248338,28.2276208211,32.4752056684,481.140463583,0,0,45.5081379386,30.6925131049,61.5445570449,76.3601818786,0.930941096818,0,0.930941096818,3.9,124.952380952,14.8156248338,0
Arm-A,1000,2318,4,134,3,3,6,0.219047619048,7,31,2,4,1.31311538936,22.9939521853,26.4539945142,34.7371473066,1,1,49.7453278455,48.4322124562,52.7485808462,54.0616962356,2.08586824266,0,2.08586824266,3.9,124.952380952,10.6047861493,0
Arm-A,1000,2318,4,134,3,3,6,0.219047619048,7,31,3,1,9.2916707599,28.2276208211,32.4752056684,301.748918931,0,1,37.3621334423,28.0704626824,111.460181879,120.751852639,4.31956668923,0,4.31956668923,2.34,124.952380952,10.6047861493,0
Arm-A,1000,3546,4,165,3,7,5,0.228571428571,1,25,2,1,5.64544182303,28.2276208211,32.9053408428,185.765187395,0,1,45.1975789324,37.035172829,60.6136159481,79.4264214139,0.930941096818,0.930941096818,0,3.9,123.428571429,21.3297697462,0
Arm-A,1000,3546,4,165,3,7,5,0.228571428571,1,25,2,4,2.51696428037,22.9939521853,26.8043785475,67.4656633615,1,1,45.1975789324,37.035172829,31.7521137856,34.2690780659,0.521467060664,0.521467060664,0,3.9,123.428571429,21.3297697462,0
Arm-A,1000,3546,4,165,3,7,5,0.228571428571,1,25,3,1,13.1673636428,28.2276208211,32.9053408428,433.276588668,0,0,23.1239088452,9.95654520241,60.6136159481,79.4264214139,0.930941096818,0.930941096818,0,2.34,123.428571429,21.3297697462,0
