path_id,selection_reason,termination_state_SAA,migration,target_total_SAA,target_total_DRO,service_SAA,service_DRO,total_H2_production_SAA,total_H2_production_DRO,actual_operating_cost_SAA,actual_operating_cost_DRO,reported_objective_SAA,reported_objective_DRO
4080,DRO_SERVICE_IMPROVEMENT,135,PP,38.45839129367475,121.3758547199835,0.2952258120618836,0.7078600440381551,87.2194345964968,161.782642663484,75573.1512777766,76927.2225904301,102677.632771183,112385.959443157
1108,DRO_SERVICE_IMPROVEMENT,143,PP,39.2766549382211,142.9135556154491,0.0729166666666561,0.40041119182715457,78.729447552139,133.089711928466,75425.0863115699,76413.156468957,111837.818493879,162102.524952168
4417,DRO_SERVICE_IMPROVEMENT,135,PP,38.45839129367475,121.3758547199835,0.6382978723404141,0.8536745313950889,100.413434132616,180.085101906565,75813.4492455156,77493.6488337572,89723.9312028027,95254.0276529805
5299,DRO_SERVICE_IMPROVEMENT,127,PP,24.5479093363882,140.46817952501132,0.46666666666668344,0.680550345857207,87.3817881323912,171.461192953907,75579.2502417279,77289.5996201519,88671.4685544679,122162.110987484
6266,DRO_SERVICE_IMPROVEMENT,255,PP,435.7253907208899,450.28993828730756,0.8314925547721201,0.977342318844015,419.798542906354,451.211668530263,77557.1995020568,77397.5225904115,150980.171913353,87600.0484398737
7458,DRO_SERVICE_DETERIORATION,127,PP,24.5479093363882,140.46817952501132,1.0,0.5421864083640004,64.8906085535876,105.078734177497,56054.8178186054,56812.7071357973,56054.8178186054,121120.948914713
8334,DRO_SERVICE_DETERIORATION,135,PP,38.45839129367475,121.3758547199835,0.9766455782351061,0.6145962588561177,64.8906085535876,105.078734177497,56054.8178186054,56812.7071357973,56952.9913092772,103591.415629415
870,DRO_SERVICE_DETERIORATION,127,PP,24.5479093363882,140.46817952501132,1.0,0.6764937482779915,105.322108104911,170.891370076889,75855.783144377,77091.8322571673,75855.783144377,122534.166501518
1349,DRO_SERVICE_DETERIORATION,127,PP,24.5479093363882,140.46817952501132,1.0,0.706098751420919,126.003760901359,177.898727933286,76210.4245719735,77201.3154004936,76210.4245719735,118485.088748525
8055,DRO_SERVICE_DETERIORATION,127,PP,24.5479093363882,140.46817952501132,1.0,0.7092272463104913,125.757853323919,179.033188159288,76221.4943944956,77248.5851015177,76221.4943944956,118092.904467758
2778,DRO_PRODUCTION_INCREASE,135,PP,38.45839129367475,121.3758547199835,1.0,1.0,65.7887820442595,162.211575423234,56080.4547646235,57800.7368320969,56080.4547646235,57800.7368320969
9194,DRO_PRODUCTION_INCREASE,127,PP,24.5479093363882,140.46817952501132,1.0,0.8848424085427677,65.7887820442595,162.211575423234,56080.4547646235,57793.8175936659,56080.4547646235,73969.7948241483
9495,DRO_PRODUCTION_INCREASE,127,PP,24.5479093363882,140.46817952501132,1.0,0.8848424085427699,65.7887820442595,162.211575423234,56080.4547646235,57813.978327791,56080.4547646235,73989.9555582731
4905,DRO_PRODUCTION_INCREASE,135,PP,38.45839129367475,121.3758547199835,1.0,1.0,65.7887820442595,161.673600178326,56080.4547646235,57772.8178083015,56080.4547646235,57772.8178083015
6589,DRO_PRODUCTION_INCREASE,135,PP,38.45839129367475,121.3758547199835,1.0,1.0,68.3425678983331,162.211575423234,56126.4679347281,57806.8538320969,56126.4679347281,57806.8538320969
7458,REPORTED_OBJECTIVE_IMPROVEMENT,127,PP,24.5479093363882,140.46817952501132,1.0,0.5421864083640004,64.8906085535876,105.078734177497,56054.8178186054,56812.7071357973,56054.8178186054,121120.948914713
7996,REPORTED_OBJECTIVE_IMPROVEMENT,127,PP,24.5479093363882,140.46817952501132,0.442193909011802,0.5452979248861297,86.7773660623858,152.462531603749,75587.3667729027,76754.3376933621,89280.3401217661,140625.510410852
1108,REPORTED_OBJECTIVE_IMPROVEMENT,143,PP,39.2766549382211,142.9135556154491,0.0729166666666561,0.40041119182715457,78.729447552139,133.089711928466,75425.0863115699,76413.156468957,111837.818493879,162102.524952168
7856,REPORTED_OBJECTIVE_IMPROVEMENT,143,PP,39.2766549382211,142.9135556154491,0.8769836732680167,0.6206984000221066,64.8906085535876,105.078734177497,56054.8178186054,56812.7071357973,60886.4876354249,111020.047439267
870,REPORTED_OBJECTIVE_IMPROVEMENT,127,PP,24.5479093363882,140.46817952501132,1.0,0.6764937482779915,105.322108104911,170.891370076889,75855.783144377,77091.8322571673,75855.783144377,122534.166501518
