profile_id,global_hour,occurrence_count,realized_pel1_kw,realized_pel2_kw,realized_pel3_kw,realized_pel4_kw,site,electrical_bus,realized_pel_kw,base_pmax_kw,candidate_pmax_kw,base_remaining_headroom_kw,nameplate_increment_kw,total_increment_needed_to_candidate_kw,solver_success,max_additional_hosting_kw,requested_additional_kw,hosting_ratio,full_hostable,min_voltage_pu,max_voltage_pu,voltage_margin_pu,critical_bus,max_true_s_mva,max_true_s_utilization,critical_branch_id,critical_branch_from,critical_branch_to,max_octagon_utilization,voltage_limited_flag,branch_limited_flag,substation_limited_flag,unclassified_limited_flag,root_grid_import_kw,root_reactive_import_kvar,pv_used_kw,max_p_balance_error_kw,max_q_balance_error_kvar,max_voltage_drop_error,slack_voltage_error,max_octagon_violation_kva,true_circle_violation_mva,max_additional_site_hosting_kw,max_new_pel_kw,FULL_TO_CANDIDATE_HOSTABLE
1,1,10000,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.911781372861,1,0.0117813728614,18,4.16366575105,0.693944291841,1,1,2,0.708601853263,False,False,False,False,3754.00103,1800.9966,0,2.0605739337e-13,2.41584530158e-13,1.11022302463e-16,0,0,0,75,375,YES
1,1,10000,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.909444015226,1,0.00944401522576,18,4.14113962998,0.690189938329,1,1,2,0.70541282466,False,False,False,False,3729.00103,1800.9966,0,2.0605739337e-13,2.41584530158e-13,1.11022302463e-16,0,0,0,50,250,YES
1,1,10000,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.909809339656,1,0.00980933965637,18,4.12313926441,0.687189877402,1,1,2,0.702861601778,False,False,False,False,3709.00103,1800.9966,0,2.0605739337e-13,2.41584530158e-13,1.11022302463e-16,0,0,0,30,150,YES
1,1,10000,300,200,120,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.911529629612,1,0.0115296296119,18,4.12988724534,0.68831454089,1,1,2,0.703818310359,False,False,False,False,3716.50103,1800.9966,0,2.0605739337e-13,2.41584530158e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
2,2,10000,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.915766585183,1,0.015766585183,18,3.96726187789,0.661210312982,1,1,2,0.673903904356,False,False,False,False,3586.0013,1696.986,0,2.98427949019e-13,8.881784197e-14,1.11022302463e-16,0,0,0,75,375,YES
2,2,10000,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.913439425179,1,0.0134394251786,18,3.94467891504,0.657446485841,1,1,2,0.670714875753,False,False,False,False,3561.0013,1696.986,0,2.98427949019e-13,8.881784197e-14,1.11022302463e-16,0,0,0,50,250,YES
2,2,10000,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.913803152307,1,0.0138031523072,18,3.92663363338,0.654438938897,1,1,2,0.668163652871,False,False,False,False,3541.0013,1696.986,0,2.98427949019e-13,8.881784197e-14,1.11022302463e-16,0,0,0,30,150,YES
2,2,10000,300,200,120,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.915515937765,1,0.0155159377646,18,3.93339839837,0.655566399728,1,1,2,0.669120361452,False,False,False,False,3548.5013,1696.986,0,2.98427949019e-13,8.881784197e-14,1.11022302463e-16,0,0,0,37.5,187.5,YES
3,3,10000,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.917067520594,1,0.017067520594,18,3.90298824892,0.650498041487,1,1,2,0.662544319783,False,False,False,False,3531.000725,1662.9345,0,2.27373675443e-13,1.4921397451e-13,1.11022302463e-16,0,0,0,75,375,YES
3,3,10000,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.914743670249,1,0.0147436702494,18,3.88038557813,0.646730929689,1,1,2,0.65935529118,False,False,False,False,3506.000725,1662.9345,0,2.27373675443e-13,1.4921397451e-13,1.11022302463e-16,0,0,0,50,250,YES
