profile_id,global_hour,occurrence_count,realized_pel1_kw,realized_pel2_kw,realized_pel3_kw,realized_pel4_kw,joint_nameplate_increment_kw,joint_increment_requested_from_realized_kw,joint_increment_feasible_kw,joint_hosting_ratio,FULL_CANDIDATE_STRESS_FEASIBLE,limiting_or_full_solution_min_voltage_pu,limiting_or_full_solution_max_voltage_pu,voltage_margin_pu,critical_bus,critical_branch_id,critical_branch_from,critical_branch_to,max_true_s_mva,max_true_s_utilization,max_octagon_utilization,voltage_limited_flag,branch_limited_flag,substation_limited_flag,unclassified_limited_flag,STRESS_FAIL_POLICY_INTERPRETATION
1,1,10000,300,200,120,150,192.5,192.5,192.5,1,YES,0.906307965521,1,0.00630796552101,18,1,1,2,4.26990737353,0.711651228921,0.723590287697,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
2,2,10000,300,200,120,150,192.5,192.5,192.5,1,YES,0.910317139797,1,0.0103171397966,18,1,1,2,4.07377998465,0.678963330774,0.68889233879,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
3,3,10000,300,200,120,150,192.5,192.5,192.5,1,YES,0.91162585187,1,0.0116258518703,18,1,1,2,4.0096020615,0.668267010251,0.677532754217,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
4,4,10000,300,200,120,150,192.5,192.5,192.5,1,YES,0.912956415176,1,0.0129564151764,18,1,1,2,3.94427518518,0.65737919753,0.665966771248,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
5,5,10000,300,200,120,150,192.5,192.5,192.5,1,YES,0.913763305626,1,0.0137633056263,18,1,1,2,3.90462154628,0.650770257714,0.658944622108,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
6,6,10000,300,200,120,150,192.5,192.5,192.5,1,YES,0.915611741099,1,0.0156117410993,18,1,1,2,3.81367682194,0.635612803656,0.64283480531,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
7,7,10000,300,200,120,150,192.5,192.5,192.5,1,YES,0.916936520514,1,0.016936520514,18,1,1,2,3.74840726484,0.624734544141,0.631268822341,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
8,8,10000,300,0,0,150,192.5,512.5,512.5,1,YES,0.912956415176,1,0.0129564151764,18,1,1,2,3.94427518518,0.65737919753,0.665966771248,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
9,9,6231,0,0,0,0,192.5,962.5,962.5,1,YES,0.905147816508,1,0.00514781650761,18,1,1,2,4.33731796782,0.722886327971,0.735900617368,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
10,9,1820,0,0,0,150,192.5,812.5,812.5,1,YES,0.905147816508,1,0.00514781650761,18,1,1,2,4.33731796782,0.722886327971,0.735900617368,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
11,9,86,156.244618703,0,0,150,192.5,656.255381297,656.255381297,1,YES,0.905147816508,1,0.00514781650761,18,1,1,2,4.33731796782,0.722886327971,0.735900617368,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
12,9,196,161.268431356,0,0,150,192.5,651.231568644,651.231568644,1,YES,0.905147816508,1,0.00514781650761,18,1,1,2,4.33731796782,0.722886327971,0.735900617368,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
13,9,589,300,200,120,150,192.5,192.5,192.5,1,YES,0.905147816508,1,0.00514781650761,18,1,1,2,4.33731796782,0.722886327971,0.735900617368,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
14,10,8333,0,0,0,0,192.5,962.5,962.5,1,YES,0.905985046681,1,0.00598504668058,18,1,1,2,4.31685826166,0.719476376944,0.733016204777,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
15,10,589,300,200,120,150,192.5,192.5,192.5,1,YES,0.905985046681,1,0.00598504668058,18,1,1,2,4.31685826166,0.719476376944,0.733016204777,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
16,11,8333,0,0,0,0,192.5,962.5,962.5,1,YES,0.903758302629,1,0.00375830262928,18,1,1,2,4.46304954338,0.743841590564,0.760160797207,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
17,11,589,300,200,120,150,192.5,192.5,192.5,1,YES,0.903758302629,1,0.00375830262928,18,1,1,2,4.46304954338,0.743841590564,0.760160797207,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
18,12,8333,0,0,0,0,192.5,962.5,962.5,1,YES,0.903429562652,1,0.00342956265178,18,1,1,2,4.53701235439,0.756168725731,0.775186711657,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
19,12,589,300,200,120,150,192.5,192.5,192.5,1,YES,0.903429562652,1,0.00342956265178,18,1,1,2,4.53701235439,0.756168725731,0.775186711657,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
20,13,8333,0,0,0,0,192.5,962.5,962.5,1,YES,0.903431149173,1,0.00343114917345,18,1,1,2,4.57013118946,0.761688531577,0.78212916442,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
21,13,589,300,200,120,150,192.5,192.5,192.5,1,YES,0.903431149173,1,0.00343114917345,18,1,1,2,4.57013118946,0.761688531577,0.78212916442,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
22,14,8333,0,0,0,0,192.5,962.5,962.5,1,YES,0.904429960005,1,0.00442996000472,18,1,1,2,4.60623870669,0.767706451116,0.791225320635,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
23,14,589,300,200,120,150,192.5,192.5,192.5,1,YES,0.904429960005,1,0.00442996000472,18,1,1,2,4.60623870669,0.767706451116,0.791225320635,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
24,15,8333,0,0,0,0,192.5,962.5,962.5,1,YES,0.90834218967,1,0.00834218966972,18,1,1,2,4.45184773487,0.741974622478,0.765203739525,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
25,15,589,300,200,120,150,192.5,192.5,192.5,1,YES,0.90834218967,1,0.00834218966972,18,1,1,2,4.45184773487,0.741974622478,0.765203739525,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
26,16,8333,0,0,0,0,192.5,962.5,962.5,1,YES,0.906770737978,1,0.00677073797764,18,1,1,2,4.48967858026,0.748279763376,0.770629578303,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
27,16,589,300,200,120,150,192.5,192.5,192.5,1,YES,0.906770737978,1,0.00677073797764,18,1,1,2,4.48967858026,0.748279763376,0.770629578303,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
28,17,6787,0,0,0,0,192.5,962.5,962.5,1,YES,0.905827256184,1,0.00582725618405,18,1,1,2,4.49217065397,0.748695108995,0.769664338432,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
29,17,1,0,0,50.6771881454,0,192.5,911.822811855,911.822811855,1,YES,0.905827256184,1,0.00582725618405,18,1,1,2,4.49217065397,0.748695108995,0.769664338432,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
30,17,3,0,0,81.3229116254,0,192.5,881.177088375,881.177088375,1,YES,0.905827256184,1,0.00582725618405,18,1,1,2,4.49217065397,0.748695108995,0.769664338432,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
31,17,9,116.919517905,0,0,0,192.5,845.580482095,845.580482095,1,YES,0.905827256184,1,0.00582725618405,18,1,1,2,4.49217065397,0.748695108995,0.769664338432,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
32,17,35,116.919517905,0,0,0,192.5,845.580482095,845.580482095,1,YES,0.905827256184,1,0.00582725618405,18,1,1,2,4.49217065397,0.748695108995,0.769664338432,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
33,17,5,298.909307546,0,0,0,192.5,663.590692454,663.590692454,1,YES,0.905827256184,1,0.00582725618405,18,1,1,2,4.49217065397,0.748695108995,0.769664338432,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
34,17,87,300,0,0,0,192.5,662.5,662.5,1,YES,0.905827256184,1,0.00582725618405,18,1,1,2,4.49217065397,0.748695108995,0.769664338432,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
35,17,3,300,0,0,150,192.5,512.5,512.5,1,YES,0.905827256184,1,0.00582725618405,18,1,1,2,4.49217065397,0.748695108995,0.769664338432,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
36,17,14,300,200,0,150,192.5,312.5,312.5,1,YES,0.905827256184,1,0.00582725618405,18,1,1,2,4.49217065397,0.748695108995,0.769664338432,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
37,17,961,300,200,120,150,192.5,192.5,192.5,1,YES,0.905827256184,1,0.00582725618405,18,1,1,2,4.49217065397,0.748695108995,0.769664338432,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
38,18,6927,0,0,0,0,192.5,962.5,962.5,1,YES,0.906204660123,1,0.00620466012347,18,1,1,2,4.40367620854,0.733946034757,0.751738087935,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
39,18,3,300,0,0,150,192.5,512.5,512.5,1,YES,0.906204660123,1,0.00620466012347,18,1,1,2,4.40367620854,0.733946034757,0.751738087935,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
40,18,1,300,0,120,150,192.5,392.5,392.5,1,YES,0.906204660123,1,0.00620466012347,18,1,1,2,4.40367620854,0.733946034757,0.751738087935,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
41,18,69,300,200,0,150,192.5,312.5,312.5,1,YES,0.906204660123,1,0.00620466012347,18,1,1,2,4.40367620854,0.733946034757,0.751738087935,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
42,18,905,300,200,120,150,192.5,192.5,192.5,1,YES,0.906204660123,1,0.00620466012347,18,1,1,2,4.40367620854,0.733946034757,0.751738087935,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
43,19,6927,0,0,0,0,192.5,962.5,962.5,1,YES,0.90062960229,1,0.000629602290455,18,1,1,2,4.58469331196,0.764115551994,0.780577078231,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
44,19,1,0,0,84.6084429378,0,192.5,877.891557062,877.891557062,1,YES,0.90062960229,1,0.000629602290455,18,1,1,2,4.58469331196,0.764115551994,0.780577078231,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
45,19,8,0,0,120,150,192.5,692.5,692.5,1,YES,0.90062960229,1,0.000629602290455,18,1,1,2,4.58469331196,0.764115551994,0.780577078231,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
46,19,1,0,200,120,150,192.5,492.5,492.5,1,YES,0.90062960229,1,0.000629602290455,18,1,1,2,4.58469331196,0.764115551994,0.780577078231,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
47,19,3,300,0,0,43.7915220917,192.5,618.708477908,618.708477908,1,YES,0.90062960229,1,0.000629602290455,18,1,1,2,4.58469331196,0.764115551994,0.780577078231,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
48,19,42,300,0,0,150,192.5,512.5,512.5,1,YES,0.90062960229,1,0.000629602290455,18,1,1,2,4.58469331196,0.764115551994,0.780577078231,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
49,19,74,300,200,0,150,192.5,312.5,312.5,1,YES,0.90062960229,1,0.000629602290455,18,1,1,2,4.58469331196,0.764115551994,0.780577078231,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
50,19,849,300,200,120,150,192.5,192.5,192.5,1,YES,0.90062960229,1,0.000629602290455,18,1,1,2,4.58469331196,0.764115551994,0.780577078231,False,False,False,False,FULL_SIMULTANEOUS_STRESS_FEASIBLE
51,20,6928,0,0,0,0,192.5,962.5,820.134480689,0.852087772145,NO,0.9,1,0,18,1,1,2,4.9795600019,0.829926666984,0.853309442458,True,False,False,False,FAIL_ONLY_MEANS_NOT_ALL_EXPANDED_SITES_CAN_RUN_AT_CANDIDATE_PMAX_SIMULTANEOUSLY
52,20,8,0,0,120,0,192.5,842.5,651.130244146,0.772854889194,NO,0.9,1,0,18,1,1,2,4.93586449818,0.822644083031,0.847058405978,True,False,False,False,FAIL_ONLY_MEANS_NOT_ALL_EXPANDED_SITES_CAN_RUN_AT_CANDIDATE_PMAX_SIMULTANEOUSLY
53,20,1,0,127.604823719,120,150,192.5,564.895176281,0,0,NO,0.9,1,0,18,1,1,2,4.60631593385,0.767719322309,0.79941107599,True,False,False,False,FAIL_ONLY_MEANS_NOT_ALL_EXPANDED_SITES_CAN_RUN_AT_CANDIDATE_PMAX_SIMULTANEOUSLY
