complexity_label,initial_state_id,capacity_case,T1,T2,T3,T4,pair_sample_count,pair_sample_seed,spearman_total_distance_loss_difference,spearman_D_component_loss_difference,spearman_A_component_loss_difference,spearman_C_component_loss_difference,small_distance_q05,large_loss_difference_q95,small_distance_large_loss_count,small_distance_large_loss_share,anomaly_dominant_component,zero_distance_positive_loss_count,loss_difference_mean,loss_difference_q95,loss_difference_max
simple,7,T_0pct,0,0,0,0,200000,20260734,0.999995674627185,0.99999997223547,0.524657166324173,0.999969706611446,0,0,0,0,NONE,0,4073.9683059215,0,810626.517197174
simple,7,T_50pct,150,100,50,75,200000,20260734,0.99998035455449,0.999976255125849,0.528553366220741,0.999963257493069,0,0,0,0,NONE,0,206.791111555141,0,135690.982164823
simple,7,T_100pct,300,200,100,150,200000,20260734,0.9999803450278,0.999976250036348,0.528553366220741,0.99996324501071,0,0,0,0,NONE,0,206.138354215086,0,135530.52122816
simple,7,T_optimal,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,200000,20260734,0.999982868255714,0.999980412797766,0.528020676018556,0.999963504130501,0,0,0,0,NONE,0,431.766022767126,0,264811.765354087
medium,18,T_0pct,0,0,0,0,200000,20260745,0.90747798146564,0.952613558338038,0.361393614089075,0.547428847922455,0,950822.354962769,0,0,NONE,0,374346.87559665,950822.354962769,1215939.77579576
medium,18,T_50pct,150,100,50,75,200000,20260745,0.885756354749605,0.814630084706759,0.652351666877442,0.648622174987862,0,448668.936579362,0,0,NONE,0,73678.8447854659,448668.936579362,820593.853831067
medium,18,T_100pct,300,200,100,150,200000,20260745,0.847593306360208,0.760430932841295,0.706245636545543,0.667035017062839,0,169591.39669807,0,0,NONE,0,29960.6102060181,169591.39669807,820593.853831067
medium,18,T_optimal,254.918535994251,153.833565174699,92.7365463819109,150,200000,20260745,0.8504386529033,0.763138312636108,0.708269847899758,0.666965933944477,0,174262.227533406,0,0,NONE,0,31771.0945388686,174262.227533406,820593.853831067
complex,30,T_0pct,0,0,0,0,200000,20260757,0.853802072910623,0.922529650994114,0.0310427714857212,0.185943078773644,0.34794836781344,1003191.22821373,0,0,NONE,0,336773.706461554,1003191.22821373,1215939.77579576
complex,30,T_50pct,150,100,50,75,200000,20260757,0.650451845938977,0.582211721502621,0.321475487350169,-0.048620638295674,0.34794836781344,627617.825877106,0,0,NONE,0,270181.634610096,627617.825877106,920305.904537064
complex,30,T_100pct,300,200,100,150,200000,20260757,0.0701816257683272,-0.110600251855632,0.553564405856854,-0.452497231872129,0.34794836781344,615849.312345673,240,0.0012,A,0,197440.529462281,615849.312345673,920305.904537064
complex,30,T_optimal,300,200,100,150,200000,20260757,0.0701816257683272,-0.110600251855632,0.553564405856854,-0.452497231872129,0.34794836781344,615849.312345673,240,0.0012,A,0,197440.529462281,615849.312345673,920305.904537064
