complexity_label,initial_state_id,a0,loc0,lfw0,R,distance_variant,D_granularity,rho,dataset_role,weight_D,weight_A,weight_C,distance_median_before_rescale,T1,T2,T3,T4,T_total,capacity_upper_T1,capacity_upper_T2,capacity_upper_T3,capacity_upper_T4,upper_bound_count,wdro_objective,terminal_cost,lambda_rho_cost,alpha_weighted_cost,robust_dual_loss,lambda,active_constraint_count,max_independent_violation,loss_mean,loss_q95,loss_q99,loss_max,service_cost_mean,shortage_kg_mean,shortage_penalty_mean,any_unreachable_scenario_share,loss_any_unreachable_mean,loss_fully_reachable_mean,validation_total_cost,solve_status,evaluation_status
simple,7,2,7,0,2000,D_plus_A_plus_C,D33,0,nominal,0.6,0.25,0.15,0.261291590891034,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,249.024902490249,300,200,100,150,0,767.392773688212,498.049804980498,0,269.342968707714,269.342968707714,243771.565489118,3999,0,269.342968707714,0,0,313517.729076791,5.86207516381402,0.13174044677195,263.4808935439,0.002,96083.5357550836,77.3305583141749,767.392773688212,OPTIMAL,OPTIMAL
simple,7,2,7,0,2000,D_plus_A_plus_C,D33,0,validation-1,0.6,0.25,0.15,0.261291590891034,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,249.024902490249,300,200,100,150,0,767.392773688212,498.049804980498,0,269.342968707714,269.342968707714,243771.565489118,3999,0,194.275600858998,0,0,307908.673734322,7.98424445062998,0.0931456782041841,186.291356408368,0.0025,76215.7007651061,3.74571322930605,692.325405839496,OPTIMAL,OPTIMAL
simple,7,2,7,0,2000,D_plus_A_plus_C,D33,0,validation-2,0.6,0.25,0.15,0.261291590891034,66.2793552082481,50.7323459618689,44.7317459018629,87.2814554182691,249.024902490249,300,200,100,150,0,767.392773688212,498.049804980498,0,269.342968707714,269.342968707714,243771.565489118,3999,0,179.398359046869,0,35.1926801071712,272906.100780799,7.83574824033375,0.0857813054032676,171.562610806535,0.0025,15523.2797665276,140.942515920351,677.448164027367,OPTIMAL,OPTIMAL
simple,7,2,7,0,2000,D_plus_A_plus_C,D33,0.02,nominal,0.6,0.25,0.15,0.261291590891034,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,273.552722119491,300,200,100,150,0,4967.38064444712,547.105444238983,4199.80066950606,220.474530702069,4420.27520020813,209990.033475303,5989,2.5465851649642e-11,220.474530702069,0,0,264811.765354087,6.04927641665383,0.107212627142708,214.425254285415,0.002,83891.4054316042,52.797314467796,767.579974941052,OPTIMAL,OPTIMAL
simple,7,2,7,0,2000,D_plus_A_plus_C,D33,0.02,validation-1,0.6,0.25,0.15,0.261291590891034,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,273.552722119491,300,200,100,150,0,4967.38064444712,547.105444238983,4199.80066950606,220.474530702069,4420.27520020813,209990.033475303,5989,2.5465851649642e-11,169.21386954312,0,0,258966.255829763,7.45033276399466,0.0808817683895628,161.763536779126,0.0025,66205.3833063332,3.70968549101494,716.319313782103,OPTIMAL,OPTIMAL
simple,7,2,7,0,2000,D_plus_A_plus_C,D33,0.02,validation-2,0.6,0.25,0.15,0.261291590891034,88.3724736109975,50.7323459618689,44.7317459018629,89.7161566447621,273.552722119491,300,200,100,150,0,4967.38064444712,547.105444238983,4199.80066950606,220.474530702069,4420.27520020813,209990.033475303,5989,2.5465851649642e-11,154.468748828562,0,35.1926801071712,223981.422115378,7.43395765126905,0.0735173955886464,147.034791177293,0.0025,15490.0980493122,116.033587674468,701.574193067545,OPTIMAL,OPTIMAL
medium,18,4,4,0,2000,D_plus_A_plus_C,D33,0,nominal,0.6,0.25,0.15,0.26648721399687,300,165.834765294711,96.009600960096,150,711.844366254807,300,200,100,150,2,46500.9138247661,1423.68873250961,0,45077.2250922565,45077.2250922565,19331620.4780928,4498,0,16690.9681363529,94765.5132753267,340147.718243935,820593.853831067,1052.49883487731,7.8192346507378,15638.4693014756,0.234,69252.8070730173,634.218382854922,18114.6568688625,OPTIMAL,OPTIMAL
medium,18,4,4,0,2000,D_plus_A_plus_C,D33,0,validation-1,0.6,0.25,0.15,0.26648721399687,300,165.834765294711,96.009600960096,150,711.844366254807,300,200,100,150,2,46500.9138247661,1423.68873250961,0,45077.2250922565,45077.2250922565,19331620.4780928,4498,0,15879.637860992,94110.4158103269,285392.551359541,721617.109707151,1043.61516781355,7.4180113465892,14836.0226931784,0.2295,67161.244090364,604.9738380966,17303.3265935016,OPTIMAL,OPTIMAL
medium,18,4,4,0,2000,D_plus_A_plus_C,D33,0,validation-2,0.6,0.25,0.15,0.26648721399687,300,165.834765294711,96.009600960096,150,711.844366254807,300,200,100,150,2,46500.9138247661,1423.68873250961,0,45077.2250922565,45077.2250922565,19331620.4780928,4498,0,16449.8177689809,94266.598467263,276731.230816194,869612.505745594,1034.3089453713,7.70775441180482,15415.5088236096,0.2355,67839.489938641,619.513261518598,17873.5065014905,OPTIMAL,OPTIMAL
medium,18,4,4,0,2000,D_plus_A_plus_C,D33,0.02,nominal,0.6,0.25,0.15,0.26648721399687,254.918535994251,153.833565174699,92.7365463819109,150,651.488647550861,300,200,100,150,1,40102.4047888813,1302.97729510172,16690.4731501999,22108.9543435797,38799.4274937796,834523.657509993,4103,0,17460.8150533202,95659.381842091,343900.572058103,820593.853831067,1044.6425006962,8.20808627631202,16416.172552624,0.234,72539.1418315604,635.320972239063,18763.792348422,OPTIMAL,OPTIMAL
