complexity_label,initial_state_id,pair_count,D_scale_max_L1,A_scale_max_L1,C_scale_max_masked_L1,mean_D_contribution_share,mean_A_contribution_share,mean_C_contribution_share,D_only_signal_pair_count,A_only_signal_pair_count,C_only_signal_pair_count,A_positive_C_zero_pair_count,C_positive_A_zero_pair_count,A_and_C_positive_pair_count,A_C_spearman
simple,7,1999000,405.313258598587,67,811.641020814032,0.808766446307921,0.0714189545996961,0.119814599092363,5961,0,0,0,13944,7990,0.534112255075898
medium,18,1999000,607.969887897881,124,2369.89047178698,0.828697050564999,0.104315870452715,0.0669870789822851,230017,4,8062,1051,713523,823146,0.458660920495907
complex,30,1999000,607.969887897881,128,2991.9517804486,0.515137212993526,0.422047854783253,0.0628149322232211,1489,1216,1291,9246,86281,1900988,-0.317273161430858
