method,stage,path_count,total_p_el_mean_kw,grid_import_mean_kwh,minimum_voltage_pu,maximum_branch_utilization
chi2_eta003,1,10000,770.0,27332.0079,0.912081659455724,0.682695583126847
chi2_eta003,2,8914,759.8454075894526,30433.492635715615,0.909221535062753,0.739319136334664
chi2_eta003,3,7936,488.885804087053,30966.390602696414,0.9,0.82606783156347
chi2_eta003,4,5788,674.4930804297688,26567.95254343815,0.912081659455724,0.682695583126847
chi2_eta003,5,2476,156.2696181115609,25604.88631989249,0.909221535062753,0.739319136334664
chi2_eta003,6,427,283.36002999232096,29322.184409938563,0.9,0.82606783156347
saa,1,10000,770.0,27332.0079,0.912081659455724,0.682695583126847
saa,2,8914,699.4445174479586,29950.28551458367,0.909221535062753,0.739319136334664
saa,3,7936,394.77158027351504,30213.476812188117,0.9,0.82606783156347
saa,4,5788,625.2180759815967,26173.752507852772,0.912081659455724,0.682695583126847
saa,5,2476,151.97708483669757,25570.54605369358,0.909221535062753,0.739319136334664
saa,6,427,267.7469383909887,29197.279677127906,0.9,0.82606783156347
