component,definition_cn,unit,path_count,saa_mean,dro_mean,dro_minus_saa_mean,paired_ci95_low,paired_ci95_high,saa_q95,dro_q95,orientation
operating_cost,实际模型记录的运行成本,model_cost_unit,10000,61990.21389190313,63210.33738435054,1220.1234924465311,1201.789619347574,1238.4573655454883,103717.62303139087,106434.19253145078,DRO-SAA；正值表示 DRO 成本更高
reported_terminal_value,total cost - operating cost,model_cost_unit,10000,2635.0501346985034,2933.6926012895447,298.6424665910434,183.64354773684983,413.64138544523695,3.103195922448543e-10,1193.5713988879643,DRO-SAA；正值表示 DRO 成本更高
terminal_gap_penalty_2000,2000 × 逐站汇总 terminal gap,model_cost_unit,10000,2635.0501346985047,2933.692601289549,298.6424665910436,183.64354773685028,413.64138544523695,3.41060513164848e-10,1193.5713988873642,DRO-SAA；正值表示 DRO 成本更高
terminal_value_residual,reported terminal value 减 2000×gap 的机械残差,model_cost_unit,10000,-3.4117881853035855e-13,-5.08310860070088e-13,-1.6713204153972946e-13,-2.227555376983543e-12,1.8932912939040842e-12,0.0,0.0,DRO-SAA；正值表示 DRO 成本更高
total_cost,reported total cost；含 terminal value,model_cost_unit,10000,64625.26402660168,66144.02998563986,1518.7659590375777,1403.9215703097664,1633.610347765389,106081.22484890785,107557.40143426345,DRO-SAA；正值表示 DRO 成本更高
