method,category,path_count,metric,value_mean,value_median,value_std,denominator,unit
saa,only_saa_limited,3,total_htt_kg,72.50049257247787,74.0109331381121,3.5792023021021686,该 paired limitation category 内 paths,见 metric
saa,only_saa_limited,3,total_terminal_inventory_kg,403.40356483050465,415.816941030294,21.5005982715014,该 paired limitation category 内 paths,见 metric
saa,only_saa_limited,3,terminal_gap_kg,0.0,0.0,0.0,该 paired limitation category 内 paths,见 metric
saa,only_saa_limited,3,ordinary_shortage_kg,15.9015547070656,15.9015547070656,0.0,该 paired limitation category 内 paths,见 metric
saa,only_saa_limited,3,operating_cost,74670.7370684218,68471.7937219286,10744.598401464016,该 paired limitation category 内 paths,见 metric
saa,only_saa_limited,3,grid_import_kwh,120846.49642134266,113101.586629676,13414.577259204343,该 paired limitation category 内 paths,见 metric
chi2_eta003,both_limited,7707,site3_average_p_el_kw,91.9742848334443,93.7891155370044,12.181255615062991,该 paired limitation category 内 paths,见 metric
chi2_eta003,both_limited,7707,site3_production_kg,57.97384610341819,58.5244080950908,10.124422882989025,该 paired limitation category 内 paths,见 metric
chi2_eta003,both_limited,7707,site3_beginning_inventory_kg,25.26213344230935,25.2621334423093,4.974121862350259e-14,该 paired limitation category 内 paths,见 metric
chi2_eta003,both_limited,7707,site3_ending_inventory_kg,29.385484647090216,27.7492151600209,10.922871384619148,该 paired limitation category 内 paths,见 metric
chi2_eta003,both_limited,7707,site3_net_htt_kg,-32.93366186439296,-33.671434934382525,7.561894293976692,该 paired limitation category 内 paths,见 metric
chi2_eta003,both_limited,7707,other_site_production_kg,345.17345767970824,349.88476831080817,55.352162768345345,该 paired limitation category 内 paths,见 metric
chi2_eta003,both_limited,7707,total_htt_kg,64.92596535103081,62.1681982110307,22.228967938641215,该 paired limitation category 内 paths,见 metric
chi2_eta003,both_limited,7707,total_terminal_inventory_kg,434.31624497441265,423.315386323228,67.26308570558506,该 paired limitation category 内 paths,见 metric
chi2_eta003,both_limited,7707,terminal_gap_kg,1.7334242741999635,0.0,10.6298817274004,该 paired limitation category 内 paths,见 metric
chi2_eta003,both_limited,7707,ordinary_shortage_kg,10.275784878712638,0.0,24.943676455720578,该 paired limitation category 内 paths,见 metric
