method,stage,path_count,total_htt_mean_kg
chi2_eta003,1,10000,0.0
chi2_eta003,2,8914,9.831848167014815
chi2_eta003,3,7936,31.836001968692646
chi2_eta003,4,5788,28.336229291099112
chi2_eta003,5,2476,8.962365747684935
chi2_eta003,6,427,6.457932468128141
saa,1,10000,0.0
saa,2,8914,8.957118410128883
saa,3,7936,27.04704916207626
saa,4,5788,24.5979243111749
saa,5,2476,8.570507697486168
saa,6,427,10.322019891735653
