method,stage,site,records,htt_in_mean_kg,htt_out_mean_kg,net_htt_mean_kg,htt_in_active_frequency,htt_out_active_frequency,net_orientation,schema_boundary
chi2_eta003,1,1,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,1,2,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,1,3,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,1,4,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,1,8914,8.452953407230492,0.0,8.452953407230492,0.1693964550145838,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,2,8914,0.0,2.800511498213358,-2.800511498213358,0.0,0.12160646174556877,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,3,8914,0.0,7.0313366688014565,-7.0313366688014565,0.0,0.1693964550145838,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,4,8914,1.3788947597843237,0.0,1.3788947597843237,0.11913843392416423,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,3,1,7936,25.290955475524733,0.4934477058671916,24.79750776965754,0.5878276209677419,0.04422883064516129,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,3,2,7936,0.19400809207607064,12.881770154029663,-12.687762061953594,0.02230342741935484,0.6276461693548387,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,3,3,7936,0.6476818405815098,18.23133702599724,-17.58365518541573,0.06703629032258064,0.5845514112903226,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,3,4,7936,5.703356560510319,0.22944708279854814,5.473909477711771,0.5359122983870968,0.030871975806451613,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,4,1,5788,14.365763727918981,3.197974943573936,11.167788784345046,0.4576710435383552,0.2538009675190048,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,4,2,5788,0.7344527415146701,11.88438218332599,-11.149929441811318,0.12543192812715964,0.8436420179682101,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,4,3,5788,1.7832830396019117,13.123327581106494,-11.340044541504584,0.2914651002073255,0.600898410504492,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,4,4,5788,11.45272978206355,0.13054458309269276,11.322185198970855,0.9011748445058743,0.025570145127850726,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,5,1,2476,2.538456947022751,3.2842971567089156,-0.7458402096861648,0.42689822294022617,0.2762520193861066,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,5,2,2476,1.49286466620918,3.05626539325297,-1.56340072704379,0.3247172859450727,0.5726978998384491,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,5,3,2476,1.1154338522370153,1.471966053283333,-0.3565322010463178,0.4745557350565428,0.3869143780290792,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,5,4,2476,3.8156102822159874,1.1498371444397146,2.665773137776272,0.5189822294022617,0.23263327948303716,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,6,1,427,2.318611936339477,1.1826063060337788,1.136005630305698,0.49414519906323184,0.11241217798594848,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
