method,stage,markov_state,path_count,beginning_inventory_mean_kg,beginning_inventory_q10_kg,beginning_inventory_q90_kg,inventory_range_kg,corr_begin_inventory_production,corr_begin_inventory_total_htt,corr_begin_inventory_total_p_el,corr_begin_inventory_end_inventory,corr_begin_inventory_shortage,low_q25_production_mean_kg,high_q75_production_mean_kg,low_q25_htt_mean_kg,high_q75_htt_mean_kg,low_inventory_path_id,high_inventory_path_id,low_inventory_state_sequence,high_inventory_state_sequence,definition_cn
chi2_eta003,2,58,795,271.35828067268307,271.3582806726787,271.3582806726787,0.0,1.0,,,-1.0,,120.11999999999932,120.11999999999932,0.0,0.0,2,2,65-58-83-92-101-110-111-112,65-58-83-92-101-110-111-112,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,59,335,271.3582806726775,271.3582806726787,271.3582806726787,0.0,,,,-1.0,,120.1200000000002,120.1200000000002,0.0,0.0,22,22,65-59-68-117-142-215-280-272,65-59-68-117-142-215-280-272,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,60,123,271.35828067267806,271.3582806726787,271.3582806726787,0.0,1.0,-1.0,,-1.0,,120.1200000000003,120.1200000000003,48.084852974086,48.084852974086,184,184,65-60-70-151-168-160-152-112,65-60-70-151-168-160-152-112,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,66,995,271.3582806726848,271.3582806726787,271.3582806726787,0.0,1.0,,,1.0,,120.11999999999851,120.11999999999851,0.0,0.0,3,3,65-66-84-93-88-112-112-112,65-66-84-93-88-112-112-112,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,67,468,271.35828067267744,271.3582806726787,271.3582806726787,0.0,1.0,,,1.0,,120.1200000000009,120.1200000000009,0.0,0.0,25,25,65-67-92-53-7-16-24-16,65-67-92-53-7-16-24-16,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,68,185,271.3582806726778,271.3582806726787,271.3582806726787,0.0,,-1.0,,-1.0,,120.11999999999999,120.11999999999999,58.271185831081446,58.271185831081446,159,159,65-68-69-38-47-56-56-56,65-68-69-38-47-56-56-56,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,74,1182,271.3582806726859,271.3582806726787,271.3582806726787,0.0,,,,,,120.11999999999803,120.11999999999803,0.0,0.0,1,1,65-74-68-21-48-56-56-32,65-74-68-21-48-56-56-32,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,75,628,271.35828067268073,271.3582806726787,271.3582806726787,0.0,1.0,,,,,120.12000000000037,120.12000000000037,0.0,0.0,30,30,65-75-69-70-63-88-112-96,65-75-69-70-63-88-112-96,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,76,224,271.35828067267767,271.3582806726787,271.3582806726787,0.0,1.0,-1.0,,-1.0,,120.1199999999998,120.1199999999998,57.55900716369753,57.55900716369753,57,57,65-76-70-23-48-32-48-32,65-76-70-23-48-32-48-32,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,82,1067,271.3582806726853,271.3582806726787,271.3582806726787,0.0,-1.0,,,,,113.88000000000153,113.88000000000153,0.0,0.0,11,11,65-82-107-108-110-111-96-104,65-82-107-108-110-111-96-104,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,83,614,271.3582806726805,271.3582806726787,271.3582806726787,0.0,,,,,,120.12000000000049,120.12000000000049,0.0,0.0,21,21,65-83-68-29-46-55-40-32,65-83-68-29-46-55-40-32,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,84,184,271.3582806726778,271.3582806726787,271.3582806726787,0.0,1.0,0.9999999999999999,,-1.0,,120.11999999999999,120.11999999999999,54.512619788043544,54.512619788043544,33,33,65-84-93-78-63-80-112-96,65-84-93-78-63-80-112-96,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,90,570,271.3582806726796,271.3582806726787,271.3582806726787,0.0,1.0,,-1.0,,,111.53885557582579,111.53885557582579,0.0,0.0,4,4,65-90-108-111-112-40-56-24,65-90-108-111-112-40-56-24,同一 method、stage、current Markov state 下比较不同进入库存历史
