method,stage,markov_state,site,records,htt_in_mean_kg,htt_out_mean_kg,net_htt_mean_kg,htt_in_active_frequency,htt_out_active_frequency,net_orientation,schema_boundary
chi2_eta003,1,65,1,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,1,65,2,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,1,65,3,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,1,65,4,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,58,1,795,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,58,2,795,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,58,3,795,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,58,4,795,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,59,1,335,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,59,2,335,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,59,3,335,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,59,4,335,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,60,1,123,32.1210939751836,0.0,32.1210939751836,1.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,60,2,123,0.0,20.303389315950202,-20.303389315950202,0.0,1.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,60,3,123,0.0,27.7814636581357,-27.7814636581357,0.0,1.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,60,4,123,15.9637589989023,0.0,15.9637589989023,1.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,2,66,1,995,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
