method,stage,path_count,production_mean_kg
chi2_eta003,1,10000,120.12
chi2_eta003,2,8914,118.53588358395461
chi2_eta003,3,7936,76.26618543758026
chi2_eta003,4,5788,105.22092054704392
chi2_eta003,5,2476,24.378060425403497
chi2_eta003,6,427,44.20416467880206
saa,1,10000,120.12
saa,2,8914,109.11334472188155
saa,3,7936,61.58436652266834
saa,4,5788,97.53401985312907
saa,5,2476,23.708425234524817
saa,6,427,41.768522388994235
