metric,unit,lower_exclusive,upper_inclusive,count,proportion,denominator,orientation
terminal_target_total_kg,kg,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
terminal_target_total_kg,kg,-100,-50,0,0.0,10000 paired paths,DRO-SAA
terminal_target_total_kg,kg,-50,-20,0,0.0,10000 paired paths,DRO-SAA
terminal_target_total_kg,kg,-20,-10,0,0.0,10000 paired paths,DRO-SAA
terminal_target_total_kg,kg,-10,-1,0,0.0,10000 paired paths,DRO-SAA
terminal_target_total_kg,kg,-1,1,5454,0.5454,10000 paired paths,DRO-SAA
terminal_target_total_kg,kg,1,10,64,0.0064,10000 paired paths,DRO-SAA
terminal_target_total_kg,kg,10,20,240,0.024,10000 paired paths,DRO-SAA
terminal_target_total_kg,kg,20,50,1329,0.1329,10000 paired paths,DRO-SAA
terminal_target_total_kg,kg,50,100,1539,0.1539,10000 paired paths,DRO-SAA
terminal_target_total_kg,kg,100,OPEN_UPPER,1374,0.1374,10000 paired paths,DRO-SAA
terminal_actual_inventory_kg,kg,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
terminal_actual_inventory_kg,kg,-100,-50,0,0.0,10000 paired paths,DRO-SAA
terminal_actual_inventory_kg,kg,-50,-20,2,0.0002,10000 paired paths,DRO-SAA
terminal_actual_inventory_kg,kg,-20,-10,1,0.0001,10000 paired paths,DRO-SAA
terminal_actual_inventory_kg,kg,-10,-1,16,0.0016,10000 paired paths,DRO-SAA
terminal_actual_inventory_kg,kg,-1,1,1317,0.1317,10000 paired paths,DRO-SAA
terminal_actual_inventory_kg,kg,1,10,382,0.0382,10000 paired paths,DRO-SAA
terminal_actual_inventory_kg,kg,10,20,1431,0.1431,10000 paired paths,DRO-SAA
terminal_actual_inventory_kg,kg,20,50,6397,0.6397,10000 paired paths,DRO-SAA
terminal_actual_inventory_kg,kg,50,100,454,0.0454,10000 paired paths,DRO-SAA
terminal_actual_inventory_kg,kg,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
terminal_gap_kg,kg,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
terminal_gap_kg,kg,-100,-50,0,0.0,10000 paired paths,DRO-SAA
terminal_gap_kg,kg,-50,-20,16,0.0016,10000 paired paths,DRO-SAA
terminal_gap_kg,kg,-20,-10,44,0.0044,10000 paired paths,DRO-SAA
terminal_gap_kg,kg,-10,-1,141,0.0141,10000 paired paths,DRO-SAA
terminal_gap_kg,kg,-1,1,9522,0.9522,10000 paired paths,DRO-SAA
terminal_gap_kg,kg,1,10,156,0.0156,10000 paired paths,DRO-SAA
terminal_gap_kg,kg,10,20,67,0.0067,10000 paired paths,DRO-SAA
terminal_gap_kg,kg,20,50,52,0.0052,10000 paired paths,DRO-SAA
terminal_gap_kg,kg,50,100,2,0.0002,10000 paired paths,DRO-SAA
terminal_gap_kg,kg,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
ordinary_shortage_kg,kg,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
ordinary_shortage_kg,kg,-100,-50,0,0.0,10000 paired paths,DRO-SAA
ordinary_shortage_kg,kg,-50,-20,8,0.0008,10000 paired paths,DRO-SAA
ordinary_shortage_kg,kg,-20,-10,5,0.0005,10000 paired paths,DRO-SAA
ordinary_shortage_kg,kg,-10,-1,114,0.0114,10000 paired paths,DRO-SAA
ordinary_shortage_kg,kg,-1,1,9163,0.9163,10000 paired paths,DRO-SAA
ordinary_shortage_kg,kg,1,10,178,0.0178,10000 paired paths,DRO-SAA
ordinary_shortage_kg,kg,10,20,333,0.0333,10000 paired paths,DRO-SAA
ordinary_shortage_kg,kg,20,50,197,0.0197,10000 paired paths,DRO-SAA
ordinary_shortage_kg,kg,50,100,2,0.0002,10000 paired paths,DRO-SAA
ordinary_shortage_kg,kg,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
total_production_kg,kg,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
total_production_kg,kg,-100,-50,0,0.0,10000 paired paths,DRO-SAA
total_production_kg,kg,-50,-20,4,0.0004,10000 paired paths,DRO-SAA
total_production_kg,kg,-20,-10,35,0.0035,10000 paired paths,DRO-SAA
total_production_kg,kg,-10,-1,68,0.0068,10000 paired paths,DRO-SAA
total_production_kg,kg,-1,1,1620,0.162,10000 paired paths,DRO-SAA
total_production_kg,kg,1,10,416,0.0416,10000 paired paths,DRO-SAA
total_production_kg,kg,10,20,1185,0.1185,10000 paired paths,DRO-SAA
total_production_kg,kg,20,50,6237,0.6237,10000 paired paths,DRO-SAA
total_production_kg,kg,50,100,435,0.0435,10000 paired paths,DRO-SAA
total_production_kg,kg,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
site1_production_kg,kg,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
site1_production_kg,kg,-100,-50,0,0.0,10000 paired paths,DRO-SAA
site1_production_kg,kg,-50,-20,6,0.0006,10000 paired paths,DRO-SAA
site1_production_kg,kg,-20,-10,29,0.0029,10000 paired paths,DRO-SAA
site1_production_kg,kg,-10,-1,149,0.0149,10000 paired paths,DRO-SAA
site1_production_kg,kg,-1,1,3795,0.3795,10000 paired paths,DRO-SAA
site1_production_kg,kg,1,10,3685,0.3685,10000 paired paths,DRO-SAA
site1_production_kg,kg,10,20,2139,0.2139,10000 paired paths,DRO-SAA
site1_production_kg,kg,20,50,197,0.0197,10000 paired paths,DRO-SAA
site1_production_kg,kg,50,100,0,0.0,10000 paired paths,DRO-SAA
site1_production_kg,kg,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
site2_production_kg,kg,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
site2_production_kg,kg,-100,-50,0,0.0,10000 paired paths,DRO-SAA
site2_production_kg,kg,-50,-20,0,0.0,10000 paired paths,DRO-SAA
site2_production_kg,kg,-20,-10,9,0.0009,10000 paired paths,DRO-SAA
site2_production_kg,kg,-10,-1,58,0.0058,10000 paired paths,DRO-SAA
site2_production_kg,kg,-1,1,1900,0.19,10000 paired paths,DRO-SAA
site2_production_kg,kg,1,10,2585,0.2585,10000 paired paths,DRO-SAA
site2_production_kg,kg,10,20,4995,0.4995,10000 paired paths,DRO-SAA
site2_production_kg,kg,20,50,453,0.0453,10000 paired paths,DRO-SAA
site2_production_kg,kg,50,100,0,0.0,10000 paired paths,DRO-SAA
site2_production_kg,kg,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
site3_production_kg,kg,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
site3_production_kg,kg,-100,-50,0,0.0,10000 paired paths,DRO-SAA
site3_production_kg,kg,-50,-20,0,0.0,10000 paired paths,DRO-SAA
site3_production_kg,kg,-20,-10,3,0.0003,10000 paired paths,DRO-SAA
site3_production_kg,kg,-10,-1,53,0.0053,10000 paired paths,DRO-SAA
site3_production_kg,kg,-1,1,1804,0.1804,10000 paired paths,DRO-SAA
site3_production_kg,kg,1,10,7114,0.7114,10000 paired paths,DRO-SAA
site3_production_kg,kg,10,20,1024,0.1024,10000 paired paths,DRO-SAA
site3_production_kg,kg,20,50,2,0.0002,10000 paired paths,DRO-SAA
site3_production_kg,kg,50,100,0,0.0,10000 paired paths,DRO-SAA
site3_production_kg,kg,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
site4_production_kg,kg,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
site4_production_kg,kg,-100,-50,0,0.0,10000 paired paths,DRO-SAA
site4_production_kg,kg,-50,-20,3,0.0003,10000 paired paths,DRO-SAA
site4_production_kg,kg,-20,-10,24,0.0024,10000 paired paths,DRO-SAA
site4_production_kg,kg,-10,-1,107,0.0107,10000 paired paths,DRO-SAA
site4_production_kg,kg,-1,1,3411,0.3411,10000 paired paths,DRO-SAA
site4_production_kg,kg,1,10,5717,0.5717,10000 paired paths,DRO-SAA
site4_production_kg,kg,10,20,734,0.0734,10000 paired paths,DRO-SAA
site4_production_kg,kg,20,50,4,0.0004,10000 paired paths,DRO-SAA
site4_production_kg,kg,50,100,0,0.0,10000 paired paths,DRO-SAA
site4_production_kg,kg,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
total_htt_kg,kg,OPEN_LOWER,-100,3,0.0003,10000 paired paths,DRO-SAA
total_htt_kg,kg,-100,-50,73,0.0073,10000 paired paths,DRO-SAA
total_htt_kg,kg,-50,-20,103,0.0103,10000 paired paths,DRO-SAA
total_htt_kg,kg,-20,-10,230,0.023,10000 paired paths,DRO-SAA
total_htt_kg,kg,-10,-1,898,0.0898,10000 paired paths,DRO-SAA
total_htt_kg,kg,-1,1,2542,0.2542,10000 paired paths,DRO-SAA
total_htt_kg,kg,1,10,2666,0.2666,10000 paired paths,DRO-SAA
total_htt_kg,kg,10,20,2261,0.2261,10000 paired paths,DRO-SAA
total_htt_kg,kg,20,50,1180,0.118,10000 paired paths,DRO-SAA
total_htt_kg,kg,50,100,44,0.0044,10000 paired paths,DRO-SAA
total_htt_kg,kg,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
operating_cost,model_cost_unit,OPEN_LOWER,-100000,0,0.0,10000 paired paths,DRO-SAA
operating_cost,model_cost_unit,-100000,-50000,0,0.0,10000 paired paths,DRO-SAA
operating_cost,model_cost_unit,-50000,-10000,0,0.0,10000 paired paths,DRO-SAA
operating_cost,model_cost_unit,-10000,-1000,22,0.0022,10000 paired paths,DRO-SAA
operating_cost,model_cost_unit,-1000,-1,189,0.0189,10000 paired paths,DRO-SAA
operating_cost,model_cost_unit,-1,1,1086,0.1086,10000 paired paths,DRO-SAA
operating_cost,model_cost_unit,1,1000,1955,0.1955,10000 paired paths,DRO-SAA
operating_cost,model_cost_unit,1000,10000,6746,0.6746,10000 paired paths,DRO-SAA
operating_cost,model_cost_unit,10000,50000,2,0.0002,10000 paired paths,DRO-SAA
operating_cost,model_cost_unit,50000,100000,0,0.0,10000 paired paths,DRO-SAA
operating_cost,model_cost_unit,100000,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
total_cost,model_cost_unit,OPEN_LOWER,-100000,0,0.0,10000 paired paths,DRO-SAA
