method,bus,global_hour,observed_records,mean_voltage_pu,q01_voltage_pu,q05_voltage_pu,q50_voltage_pu,minimum_voltage_pu,lower_bound_hit_frequency,lower_bound_hit_count,unit_note
chi2_eta003,18,9,8914,0.910928863785319,0.910928863785294,0.910928863785294,0.910928863785294,0.910928863785294,0.0,0,p.u.
chi2_eta003,18,10,8914,0.911760785490063,0.911760785490082,0.911760785490082,0.911760785490082,0.911760785490082,0.0,0,p.u.
chi2_eta003,18,11,8914,0.909548181637501,0.909548181637472,0.909548181637472,0.909548181637472,0.909548181637472,0.0,0,p.u.
chi2_eta003,18,12,8914,0.909221535062717,0.909221535062753,0.909221535062753,0.909221535062753,0.909221535062753,0.0,0,p.u.
chi2_eta003,18,13,8914,0.910114758292113,0.909223111477897,0.909223111477897,0.909223111477897,0.909223111477897,0.0,0,p.u.
chi2_eta003,18,14,8914,0.914430198341475,0.910215566612005,0.910215566612005,0.910215566612005,0.910215566612005,0.0,0,p.u.
chi2_eta003,18,15,8914,0.914103035047265,0.914103035047291,0.914103035047291,0.914103035047291,0.914103035047291,0.0,0,p.u.
chi2_eta003,18,16,8914,0.912541503933469,0.912541503933492,0.912541503933492,0.912541503933492,0.912541503933492,0.0,0,p.u.
chi2_eta003,18,17,7936,0.913004865813666,0.911603994722817,0.911603994722817,0.911603994722817,0.911603994722817,0.0,0,p.u.
chi2_eta003,18,18,7936,0.921091638828183,0.911979008079782,0.911979008079782,0.922455341965355,0.911979008079782,0.0,0,p.u.
chi2_eta003,18,19,7936,0.92455972369573,0.906439466081737,0.906439466081737,0.929315773171461,0.906439466081737,0.0,0,p.u.
chi2_eta003,18,20,7936,0.914962426509434,0.9,0.9,0.918067572956939,0.9,0.15788810483871,1253,p.u.
chi2_eta003,18,21,7936,0.912870225394856,0.9,0.9,0.915940163768486,0.9,0.17351310483871,1377,p.u.
chi2_eta003,18,22,7936,0.908752584474891,0.9,0.9,0.914675128458579,0.9,0.40234375,3193,p.u.
chi2_eta003,18,23,7936,0.90000000000003,0.9,0.9,0.9,0.9,1.0,7936,p.u.
chi2_eta003,18,24,7936,0.902717507319262,0.902717507319239,0.902717507319239,0.902717507319239,0.902717507319239,0.0,0,p.u.
chi2_eta003,18,25,5788,0.912362901386406,0.912081659455724,0.912081659455724,0.912081659455724,0.912081659455724,0.0,0,p.u.
chi2_eta003,18,26,5788,0.916273015758738,0.916065565424307,0.916065565424307,0.916065565424307,0.916065565424307,0.0,0,p.u.
chi2_eta003,18,27,5788,0.917626697391998,0.917366076845495,0.917366076845495,0.917366076845495,0.917366076845495,0.0,0,p.u.
chi2_eta003,18,28,5788,0.919017938946098,0.91868832645269,0.91868832645269,0.91868832645269,0.91868832645269,0.0,0,p.u.
chi2_eta003,18,29,5788,0.920569338338117,0.919490186928441,0.919490186928441,0.919490186928441,0.919490186928441,0.0,0,p.u.
chi2_eta003,18,30,5788,0.924157793804505,0.921327132775077,0.921327132775077,0.921327132775077,0.921327132775077,0.0,0,p.u.
chi2_eta003,18,31,5788,0.929708471910864,0.922643705772219,0.922643705772219,0.922643705772219,0.922643705772219,0.0,0,p.u.
chi2_eta003,18,32,5788,0.934341600868852,0.91868832645269,0.91868832645269,0.939125545565923,0.91868832645269,0.0,0,p.u.
chi2_eta003,18,33,2476,0.927508466397355,0.910928863785294,0.910928863785294,0.933695183382614,0.910928863785294,0.0,0,p.u.
chi2_eta003,18,34,2476,0.929631386273012,0.911760785490082,0.911760785490082,0.934506838151662,0.911760785490082,0.0,0,p.u.
chi2_eta003,18,35,2476,0.927682384952106,0.909548181637472,0.909548181637472,0.932348215697739,0.909548181637472,0.0,0,p.u.
chi2_eta003,18,36,2476,0.927825726360202,0.909221535062753,0.909221535062753,0.932029559840564,0.909221535062753,0.0,0,p.u.
chi2_eta003,18,37,2476,0.928227714442608,0.909223111477897,0.909223111477897,0.932031097678759,0.909223111477897,0.0,0,p.u.
chi2_eta003,18,38,2476,0.92949604789319,0.910215566612005,0.910215566612005,0.932999291691874,0.910215566612005,0.0,0,p.u.
chi2_eta003,18,39,2476,0.932358895135505,0.914103035047291,0.914103035047291,0.93679221777158,0.914103035047291,0.0,0,p.u.
chi2_eta003,18,40,2476,0.930236097957057,0.912541503933492,0.912541503933492,0.93526856944726,0.912541503933492,0.0,0,p.u.
chi2_eta003,18,41,427,0.925650618318703,0.911603994722817,0.911603994722817,0.930342402823893,0.911603994722817,0.0,0,p.u.
chi2_eta003,18,42,427,0.929469608334828,0.911979008079782,0.911979008079782,0.934719750392014,0.911979008079782,0.0,0,p.u.
chi2_eta003,18,43,427,0.925483807636075,0.906439466081737,0.906439466081737,0.929315773171461,0.906439466081737,0.0,0,p.u.
chi2_eta003,18,44,427,0.915785440324555,0.9,0.9,0.918067572956939,0.9,0.105386416861827,45,p.u.
chi2_eta003,18,45,427,0.913398641453872,0.9,0.9,0.915940163768486,0.9,0.117096018735363,50,p.u.
chi2_eta003,18,46,427,0.91424268188806,0.9,0.9,0.918067572956939,0.9,0.194379391100703,83,p.u.
chi2_eta003,18,47,427,0.904807682089998,0.9,0.9,0.9,0.9,0.702576112412178,300,p.u.
chi2_eta003,18,48,427,0.90421852084346,0.902717507319239,0.902717507319239,0.902717507319239,0.902717507319239,0.0,0,p.u.
chi2_eta003,19,1,10000,0.996932135368298,0.996932135368309,0.996932135368309,0.996932135368309,0.996932135368309,0.0,0,p.u.
chi2_eta003,19,2,10000,0.997083910991662,0.997083910991686,0.997083910991686,0.997083910991686,0.997083910991686,0.0,0,p.u.
chi2_eta003,19,3,10000,0.997133595019475,0.99713359501946,0.99713359501946,0.99713359501946,0.99713359501946,0.0,0,p.u.
chi2_eta003,19,4,10000,0.997184179239691,0.997184179239682,0.997184179239682,0.997184179239682,0.997184179239682,0.0,0,p.u.
chi2_eta003,19,5,10000,0.997214889596132,0.99721488959613,0.99721488959613,0.99721488959613,0.99721488959613,0.0,0,p.u.
chi2_eta003,19,6,10000,0.997285339982959,0.997285339982941,0.997285339982941,0.997285339982941,0.997285339982941,0.0,0,p.u.
chi2_eta003,19,7,10000,0.997335916506775,0.997335916506759,0.997335916506759,0.997335916506759,0.997335916506759,0.0,0,p.u.
chi2_eta003,19,8,10000,0.997184179239691,0.997184179239682,0.997184179239682,0.997184179239682,0.997184179239682,0.0,0,p.u.
chi2_eta003,19,9,8914,0.996878509676495,0.996878509676518,0.996878509676518,0.996878509676518,0.996878509676518,0.0,0,p.u.
chi2_eta003,19,10,8914,0.996891558080988,0.996891558080991,0.996891558080991,0.996891558080991,0.996891558080991,0.0,0,p.u.
chi2_eta003,19,11,8914,0.996773588550951,0.996773588550959,0.996773588550959,0.996773588550959,0.996773588550959,0.0,0,p.u.
chi2_eta003,19,12,8914,0.996709052886375,0.996709052886339,0.996709052886339,0.996709052886339,0.996709052886339,0.0,0,p.u.
chi2_eta003,19,13,8914,0.996686221841896,0.996679364850973,0.996679364850973,0.996679364850973,0.996679364850973,0.0,0,p.u.
chi2_eta003,19,14,8914,0.996681344621323,0.996641316163731,0.996641316163731,0.996641316163731,0.996641316163731,0.0,0,p.u.
chi2_eta003,19,15,8914,0.996755944352117,0.996755944352124,0.996755944352124,0.996755944352124,0.996755944352124,0.0,0,p.u.
chi2_eta003,19,16,8914,0.996731395651917,0.996731395651897,0.996731395651897,0.996731395651897,0.996731395651897,0.0,0,p.u.
chi2_eta003,19,17,7936,0.996748924674087,0.996734716169536,0.996734716169536,0.996734716169536,0.996734716169536,0.0,0,p.u.
chi2_eta003,19,18,7936,0.996900142831656,0.996811694439334,0.996811694439334,0.996897378351673,0.996811694439334,0.0,0,p.u.
chi2_eta003,19,19,7936,0.996989117677632,0.996683616813562,0.996683616813562,0.997127941170775,0.996683616813562,0.0,0,p.u.
chi2_eta003,19,20,7936,0.996653519505194,0.996323295214344,0.996323295214344,0.996729524419099,0.996323295214344,0.0,0,p.u.
chi2_eta003,19,21,7936,0.996558799310614,0.996258253767793,0.996258253767793,0.996648190252174,0.996258253767793,0.0,0,p.u.
chi2_eta003,19,22,7936,0.996421049157892,0.996323295214344,0.996323295214344,0.996469774576313,0.996323295214344,0.0,0,p.u.
chi2_eta003,19,23,7936,0.996355118121533,0.996355092186858,0.996355092186858,0.996355092186858,0.996355092186858,0.0,0,p.u.
chi2_eta003,19,24,7936,0.996577902355692,0.996577902355663,0.996577902355663,0.996577902355663,0.996577902355663,0.0,0,p.u.
chi2_eta003,19,25,5788,0.996936191811616,0.996932135368309,0.996932135368309,0.996932135368309,0.996932135368309,0.0,0,p.u.
chi2_eta003,19,26,5788,0.997087410228745,0.997083910991686,0.997083910991686,0.997083910991686,0.997083910991686,0.0,0,p.u.
chi2_eta003,19,27,5788,0.997137883469954,0.99713359501946,0.99713359501946,0.99713359501946,0.99713359501946,0.0,0,p.u.
chi2_eta003,19,28,5788,0.997188907819569,0.997184179239682,0.997184179239682,0.997184179239682,0.997184179239682,0.0,0,p.u.
chi2_eta003,19,29,5788,0.997228629249163,0.99721488959613,0.99721488959613,0.99721488959613,0.99721488959613,0.0,0,p.u.
chi2_eta003,19,30,5788,0.997325423620246,0.997285339982941,0.997285339982941,0.997285339982941,0.997285339982941,0.0,0,p.u.
chi2_eta003,19,31,5788,0.99744126077061,0.997335916506759,0.997335916506759,0.997335916506759,0.997335916506759,0.0,0,p.u.
chi2_eta003,19,32,5788,0.997449113705775,0.997184179239682,0.997184179239682,0.997522355039316,0.997184179239682,0.0,0,p.u.
chi2_eta003,19,33,2476,0.997179601056133,0.996878509676518,0.996878509676518,0.997322747205628,0.996878509676518,0.0,0,p.u.
chi2_eta003,19,34,2476,0.997243062603238,0.996891558080991,0.996891558080991,0.997335789798025,0.996891558080991,0.0,0,p.u.
chi2_eta003,19,35,2476,0.997130327070056,0.996773588550959,0.996773588550959,0.997217872820008,0.996773588550959,0.0,0,p.u.
chi2_eta003,19,36,2476,0.997075406913378,0.996709052886339,0.996709052886339,0.997153365909421,0.996709052886339,0.0,0,p.u.
chi2_eta003,19,37,2476,0.997052244545871,0.996679364850973,0.996679364850973,0.997123691102887,0.996679364850973,0.0,0,p.u.
chi2_eta003,19,38,2476,0.997019620006663,0.996641316163731,0.996641316163731,0.997085659371089,0.996641316163731,0.0,0,p.u.
chi2_eta003,19,39,2476,0.997117418616171,0.996755944352124,0.996755944352124,0.997200236482222,0.996755944352124,0.0,0,p.u.
chi2_eta003,19,40,2476,0.997076061965851,0.996731395651897,0.996731395651897,0.997175698719681,0.996731395651897,0.0,0,p.u.
chi2_eta003,19,41,427,0.996990466244041,0.996734716169536,0.996734716169536,0.997015116138092,0.996734716169536,0.0,0,p.u.
chi2_eta003,19,42,427,0.997148183287502,0.996811694439334,0.996811694439334,0.997255961731952,0.996811694439334,0.0,0,p.u.
chi2_eta003,19,43,427,0.997054047284785,0.996683616813562,0.996683616813562,0.997127941170775,0.996683616813562,0.0,0,p.u.
chi2_eta003,19,44,427,0.996680866321466,0.996323295214344,0.996323295214344,0.996729524419099,0.996323295214344,0.0,0,p.u.
chi2_eta003,19,45,427,0.996592129762894,0.996258253767793,0.996258253767793,0.996648190252174,0.996258253767793,0.0,0,p.u.
chi2_eta003,19,46,427,0.996647010543026,0.996323295214344,0.996323295214344,0.996729524419099,0.996323295214344,0.0,0,p.u.
chi2_eta003,19,47,427,0.996434899600966,0.996355092186858,0.996355092186858,0.996355092186858,0.996355092186858,0.0,0,p.u.
chi2_eta003,19,48,427,0.996605835535573,0.996577902355663,0.996577902355663,0.996577902355663,0.996577902355663,0.0,0,p.u.
chi2_eta003,20,1,10000,0.994140836701265,0.994140836701278,0.994140836701278,0.994140836701278,0.994140836701278,0.0,0,p.u.
chi2_eta003,20,2,10000,0.994454429125689,0.994454429125717,0.994454429125717,0.994454429125717,0.994454429125717,0.0,0,p.u.
chi2_eta003,20,3,10000,0.99455707306605,0.994557073066011,0.994557073066011,0.994557073066011,0.994557073066011,0.0,0,p.u.
chi2_eta003,20,4,10000,0.994661571116464,0.99466157111645,0.99466157111645,0.99466157111645,0.99466157111645,0.0,0,p.u.
chi2_eta003,20,5,10000,0.994725010510414,0.994725010510395,0.994725010510395,0.994725010510395,0.994725010510395,0.0,0,p.u.
chi2_eta003,20,6,10000,0.99487053428888,0.994870534288894,0.994870534288894,0.994870534288894,0.994870534288894,0.0,0,p.u.
chi2_eta003,20,7,10000,0.994974999417815,0.994974999417815,0.994974999417815,0.994974999417815,0.994974999417815,0.0,0,p.u.
chi2_eta003,20,8,10000,0.994661571116464,0.99466157111645,0.99466157111645,0.99466157111645,0.99466157111645,0.0,0,p.u.
chi2_eta003,20,9,8914,0.994022675504566,0.994022675504571,0.994022675504571,0.994022675504571,0.994022675504571,0.0,0,p.u.
chi2_eta003,20,10,8914,0.994035761396684,0.99403576139671,0.99403576139671,0.99403576139671,0.99403576139671,0.0,0,p.u.
chi2_eta003,20,11,8914,0.99376654887196,0.993766548871993,0.993766548871993,0.993766548871993,0.993766548871993,0.0,0,p.u.
chi2_eta003,20,12,8914,0.993594145518313,0.993594145518343,0.993594145518343,0.993594145518343,0.993594145518343,0.0,0,p.u.
chi2_eta003,20,13,8914,0.993517401080021,0.993510522219949,0.993510522219949,0.993510522219949,0.993510522219949,0.0,0,p.u.
chi2_eta003,20,14,8914,0.993415392996565,0.993375232955363,0.993375232955363,0.993375232955363,0.993375232955363,0.0,0,p.u.
chi2_eta003,20,15,8914,0.993587345955753,0.993587345955709,0.993587345955709,0.993587345955709,0.993587345955709,0.0,0,p.u.
chi2_eta003,20,16,8914,0.993562718966576,0.993562718966545,0.993562718966545,0.993562718966545,0.993562718966545,0.0,0,p.u.
chi2_eta003,20,17,7936,0.993612991581253,0.993598738240111,0.993598738240111,0.993598738240111,0.993598738240111,0.0,0,p.u.
chi2_eta003,20,18,7936,0.99389348601754,0.993804770060604,0.993804770060604,0.993890713201725,0.993804770060604,0.0,0,p.u.
chi2_eta003,20,19,7936,0.993907765974036,0.993601317782975,0.993601317782975,0.99404701988335,0.993601317782975,0.0,0,p.u.
chi2_eta003,20,20,7936,0.993173012895969,0.992841631051608,0.992841631051608,0.993249284223841,0.992841631051608,0.0,0,p.u.
chi2_eta003,20,21,7936,0.992991385083639,0.992689759557041,0.992689759557041,0.993081097223131,0.992689759557041,0.0,0,p.u.
chi2_eta003,20,22,7936,0.992939727733237,0.992841631051608,0.992841631051608,0.992988624006649,0.992841631051608,0.0,0,p.u.
chi2_eta003,20,23,7936,0.992915898022335,0.992915871997757,0.992915871997757,0.992915871997757,0.992915871997757,0.0,0,p.u.
chi2_eta003,20,24,7936,0.993408736072749,0.993408736072736,0.993408736072736,0.993408736072736,0.993408736072736,0.0,0,p.u.
chi2_eta003,20,25,5788,0.994144904530797,0.994140836701278,0.994140836701278,0.994140836701278,0.994140836701278,0.0,0,p.u.
chi2_eta003,20,26,5788,0.994457937612651,0.994454429125717,0.994454429125717,0.994454429125717,0.994454429125717,0.0,0,p.u.
chi2_eta003,20,27,5788,0.994561372623207,0.994557073066011,0.994557073066011,0.994557073066011,0.994557073066011,0.0,0,p.u.
chi2_eta003,20,28,5788,0.994666311685141,0.99466157111645,0.99466157111645,0.99466157111645,0.99466157111645,0.0,0,p.u.
chi2_eta003,20,29,5788,0.994738784546748,0.994725010510395,0.994725010510395,0.994725010510395,0.994725010510395,0.0,0,p.u.
chi2_eta003,20,30,5788,0.994910715194234,0.994870534288894,0.994870534288894,0.994870534288894,0.994870534288894,0.0,0,p.u.
chi2_eta003,20,31,5788,0.995080593569788,0.994974999417815,0.994974999417815,0.994974999417815,0.994974999417815,0.0,0,p.u.
chi2_eta003,20,32,5788,0.994927177231046,0.99466157111645,0.99466157111645,0.99500060428781,0.99466157111645,0.0,0,p.u.
chi2_eta003,20,33,2476,0.994324631563365,0.994022675504571,0.994022675504571,0.99446818876029,0.994022675504571,0.0,0,p.u.
chi2_eta003,20,34,2476,0.994388275321163,0.99403576139671,0.99403576139671,0.994481268790137,0.99403576139671,0.0,0,p.u.
chi2_eta003,20,35,2476,0.994124366370927,0.993766548871993,0.993766548871993,0.994212176899809,0.993766548871993,0.0,0,p.u.
chi2_eta003,20,36,2476,0.993961647554939,0.993594145518343,0.993594145518343,0.994039850834579,0.993594145518343,0.0,0,p.u.
chi2_eta003,20,37,2476,0.993884590704566,0.993510522219949,0.993510522219949,0.993956265034162,0.993510522219949,0.0,0,p.u.
chi2_eta003,20,38,2476,0.993754780058904,0.993375232955363,0.993375232955363,0.99382103644873,0.993375232955363,0.0,0,p.u.
chi2_eta003,20,39,2476,0.993949972470998,0.993587345955709,0.993587345955709,0.994033054320738,0.993587345955709,0.0,0,p.u.
chi2_eta003,20,40,2476,0.99390848400828,0.993562718966545,0.993562718966545,0.994008438374192,0.993562718966545,0.0,0,p.u.
chi2_eta003,20,41,427,0.993855295199864,0.993598738240111,0.993598738240111,0.993880022951778,0.993598738240111,0.0,0,p.u.
chi2_eta003,20,42,427,0.994142276571024,0.993804770060604,0.993804770060604,0.994250380957491,0.993804770060604,0.0,0,p.u.
chi2_eta003,20,43,427,0.993972896880713,0.993601317782975,0.993601317782975,0.99404701988335,0.993601317782975,0.0,0,p.u.
chi2_eta003,20,44,427,0.993200455573339,0.992841631051608,0.992841631051608,0.993249284223841,0.992841631051608,0.0,0,p.u.
chi2_eta003,20,45,427,0.993024835299617,0.992689759557041,0.992689759557041,0.993081097223131,0.992689759557041,0.0,0,p.u.
chi2_eta003,20,46,427,0.993166481116046,0.992841631051608,0.992841631051608,0.993249284223841,0.992841631051608,0.0,0,p.u.
chi2_eta003,20,47,427,0.992995955762449,0.992915871997757,0.992915871997757,0.992915871997757,0.992915871997757,0.0,0,p.u.
chi2_eta003,20,48,427,0.993436758327795,0.993408736072736,0.993408736072736,0.993408736072736,0.993408736072736,0.0,0,p.u.
chi2_eta003,21,1,10000,0.993590360932148,0.993590360932201,0.993590360932201,0.993590360932201,0.993590360932201,0.0,0,p.u.
chi2_eta003,21,2,10000,0.993935916206468,0.993935916206489,0.993935916206489,0.993935916206489,0.993935916206489,0.0,0,p.u.
chi2_eta003,21,3,10000,0.994049019685043,0.994049019685068,0.994049019685068,0.994049019685068,0.994049019685068,0.0,0,p.u.
chi2_eta003,21,4,10000,0.994164164981193,0.994164164981215,0.994164164981215,0.994164164981215,0.994164164981215,0.0,0,p.u.
chi2_eta003,21,5,10000,0.994234067573692,0.994234067573678,0.994234067573678,0.994234067573678,0.994234067573678,0.0,0,p.u.
chi2_eta003,21,6,10000,0.994394415573923,0.99439441557397,0.99439441557397,0.99439441557397,0.99439441557397,0.0,0,p.u.
chi2_eta003,21,7,10000,0.99450952087985,0.994509520879839,0.994509520879839,0.994509520879839,0.994509520879839,0.0,0,p.u.
chi2_eta003,21,8,10000,0.994164164981193,0.994164164981215,0.994164164981215,0.994164164981215,0.994164164981215,0.0,0,p.u.
chi2_eta003,21,9,8914,0.993459450619412,0.993459450619422,0.993459450619422,0.993459450619422,0.993459450619422,0.0,0,p.u.
chi2_eta003,21,10,8914,0.993472543930251,0.993472543930286,0.993472543930286,0.993472543930286,0.993472543930286,0.0,0,p.u.
chi2_eta003,21,11,8914,0.993173449148839,0.99317344914887,0.99317344914887,0.99317344914887,0.99317344914887,0.0,0,p.u.
chi2_eta003,21,12,8914,0.992979730203094,0.99297973020307,0.99297973020307,0.99297973020307,0.99297973020307,0.0,0,p.u.
chi2_eta003,21,13,8914,0.992892330974673,0.992885447784312,0.992885447784312,0.992885447784312,0.992885447784312,0.0,0,p.u.
chi2_eta003,21,14,8914,0.992771125411292,0.992730939310592,0.992730939310592,0.992730939310592,0.992730939310592,0.0,0,p.u.
chi2_eta003,21,15,8914,0.992962319880956,0.992962319880975,0.992962319880975,0.992962319880975,0.992962319880975,0.0,0,p.u.
chi2_eta003,21,16,8914,0.992937677389819,0.992937677389821,0.992937677389821,0.992937677389821,0.992937677389821,0.0,0,p.u.
chi2_eta003,21,17,7936,0.992994421136697,0.992980158917932,0.992980158917932,0.992980158917932,0.992980158917932,0.0,0,p.u.
chi2_eta003,21,18,7936,0.993300462083208,0.993211693161394,0.993211693161394,0.993297687617335,0.993211693161394,0.0,0,p.u.
chi2_eta003,21,19,7936,0.993299982143374,0.992993346401749,0.992993346401749,0.993439321265798,0.992993346401749,0.0,0,p.u.
chi2_eta003,21,20,7936,0.992486331451294,0.992154720269796,0.992154720269796,0.992562655561648,0.992154720269796,0.0,0,p.u.
chi2_eta003,21,21,7936,0.992287520220048,0.991985680690933,0.991985680690933,0.992377296006078,0.991985680690933,0.0,0,p.u.
chi2_eta003,21,22,7936,0.992252884855564,0.992154720269796,0.992154720269796,0.992301814979211,0.992154720269796,0.0,0,p.u.
chi2_eta003,21,23,7936,0.992237378643289,0.992237352600916,0.992237352600916,0.992237352600916,0.992237352600916,0.0,0,p.u.
chi2_eta003,21,24,7936,0.992783597550681,0.992783597550709,0.992783597550709,0.992783597550709,0.992783597550709,0.0,0,p.u.
chi2_eta003,21,25,5788,0.99359443101475,0.993590360932201,0.993590360932201,0.993590360932201,0.993590360932201,0.0,0,p.u.
chi2_eta003,21,26,5788,0.993939426523222,0.993935916206489,0.993935916206489,0.993935916206489,0.993935916206489,0.0,0,p.u.
chi2_eta003,21,27,5788,0.994053321439108,0.994049019685068,0.994049019685068,0.994049019685068,0.994049019685068,0.0,0,p.u.
chi2_eta003,21,28,5788,0.994168907921011,0.994164164981215,0.994164164981215,0.994164164981215,0.994164164981215,0.0,0,p.u.
