method,stage,path_count,beginning_inventory_mean_kg,ending_inventory_mean_kg,production_mean_kg,ordinary_shortage_mean_kg,total_htt_mean_kg,htt_balance_max_abs_kg,total_p_el_mean_kw,grid_import_mean_kwh,pv_available_mean_kwh,pv_utilized_mean_kwh,pv_curtailed_mean_kwh,minimum_voltage_pu,maximum_true_branch_mva,maximum_branch_utilization,denominator
chi2_eta003,1,10000,166.6384092720464,271.3582806726787,120.12,0.0,0.0,0.0,770.0,27332.0079,0.0,0.0,0.0,0.912081659455724,4.096173498761082,0.682695583126847,该 stage 实际进入 normal operating 状态的 paths
chi2_eta003,2,8914,271.3582806726787,343.2360666499736,118.53588358395461,3.135081556322123,9.831848167014815,1.1013412404281553e-13,759.8454075894526,30433.492635715615,1280.2752,1280.2752,0.0,0.909221535062753,4.4359148180079835,0.739319136334664,该 stage 实际进入 normal operating 状态的 paths
chi2_eta003,3,7936,343.557816039952,367.95822413279166,76.26618543758026,4.67223102429392,31.836001968692646,1.0658141036401503e-13,488.885804087053,30966.390602696414,402.6992000000001,402.6992000000001,0.0,0.9,4.95640698938082,0.82606783156347,该 stage 实际进入 normal operating 状态的 paths
chi2_eta003,4,5788,365.3544377222783,450.72752051129584,105.22092054704392,2.4208461105895873,28.336229291099112,1.3855583347321954e-13,674.4930804297688,26567.95254343815,0.0,0.0,0.0,0.912081659455724,4.096173498761082,0.682695583126847,该 stage 实际进入 normal operating 状态的 paths
chi2_eta003,5,2476,452.55711426486,462.4049069997717,24.378060425403497,0.8698609088759417,8.962365747684935,1.1013412404281553e-13,156.2696181115609,25604.88631989249,1280.2752,1280.2752,0.0,0.909221535062753,4.4359148180079835,0.739319136334664,该 stage 实际进入 normal operating 状态的 paths
chi2_eta003,6,427,469.59809831918705,466.679339949953,44.20416467880206,2.670256114945361,6.457932468128141,1.0125233984581428e-13,283.36002999232096,29322.184409938563,402.6992,402.6992,0.0,0.9,4.95640698938082,0.82606783156347,该 stage 实际进入 normal operating 状态的 paths
saa,1,10000,166.6384092720464,271.3582806726787,120.12,0.0,0.0,0.0,770.0,27332.0079,0.0,0.0,0.0,0.912081659455724,4.096173498761082,0.682695583126847,该 stage 实际进入 normal operating 状态的 paths
saa,2,8914,271.3582806726787,333.1105323465532,109.11334472188155,2.432086114974771,8.957118410128883,5.773159728050814e-14,699.4445174479586,29950.28551458367,1280.2752,1280.2752,0.0,0.909221535062753,4.4359148180079835,0.739319136334664,该 stage 实际进入 normal operating 状态的 paths
saa,3,7936,333.36596172763814,342.594791240095,61.58436652266834,4.18247135882317,27.04704916207626,1.2434497875801753e-13,394.77158027351504,30213.476812188117,402.6992000000001,402.6992000000001,0.0,0.9,4.95640698938082,0.82606783156347,该 stage 实际进入 normal operating 状态的 paths
saa,4,5788,340.4291948023071,418.0339294689774,97.53401985312907,2.3393986821571158,24.5979243111749,1.2079226507921703e-13,625.2180759815967,26173.752507852772,0.0,0.0,0.0,0.912081659455724,4.096173498761082,0.682695583126847,该 stage 实际进入 normal operating 状态的 paths
saa,5,2476,422.4126554270342,431.66781539461647,23.708425234524817,0.9468633324252306,8.570507697486168,1.1013412404281553e-13,151.97708483669757,25570.54605369358,1280.2752,1280.2752,0.0,0.909221535062753,4.4359148180079835,0.739319136334664,该 stage 实际进入 normal operating 状态的 paths
saa,6,427,439.11901902859825,434.2583981613758,41.768522388994235,3.1640359067647412,10.322019891735653,9.947598300641403e-14,267.7469383909887,29197.279677127906,402.6992,402.6992,0.0,0.9,4.95640698938082,0.82606783156347,该 stage 实际进入 normal operating 状态的 paths
