metric,metric_definition_cn,source_column,unit,n,denominator,orientation,saa_mean,saa_median,saa_std,saa_q90,saa_q95,saa_q99,saa_q995,saa_min,saa_max,dro_mean,dro_median,dro_std,dro_q90,dro_q95,dro_q99,dro_q995,dro_min,dro_max,delta_mean,delta_median,delta_std,delta_q90,delta_q95,delta_q99,delta_q995,delta_min,delta_max,paired_mean_difference,paired_mean_ci95_low,paired_mean_ci95_high,paired_median_difference,dro_gt_saa_count,dro_eq_saa_count,dro_lt_saa_count,dro_gt_saa_ratio,dro_eq_saa_ratio,dro_lt_saa_ratio
terminal_target_total_kg,四站 TerminalLOH target 总和；非 terminal-hit 为0,terminal_target_total_kg,kg,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,59.32754009491857,0.0,151.15525628390657,355.1264217330822,427.4063770013364,603.5070166107528,607.9698878978805,0.0,676.1585249434034,90.22600250445763,0.7136787584260904,158.47036858915513,396.0404522859202,491.8597107519186,607.9698879463327,622.1306832965186,0.0,681.5628164262854,30.898462409539054,0.7136787584260904,41.183566951279474,110.46572133048221,112.16669662640507,113.73862191230194,114.55694084819709,0.0,114.55694084819709,30.898462409538958,30.091264497293853,31.705660321784062,0.7136787584260904,5024,4976,0,0.5024,0.4976,0.0
terminal_actual_inventory_kg,terminal 时四站实际库存总和,total_terminal_inventory_kg,kg,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,380.72988643786795,374.243646707719,77.56947208967053,498.0029904550599,564.0132349138535,619.38166126946,624.544555466116,271.358280672679,694.664745021416,406.52192577239816,416.494481158592,80.90791217737237,506.146215025444,580.719070191844,630.821016293939,635.431069078286,271.358280672679,702.366085494312,25.792039334530124,28.52239654403303,15.251928462877828,43.63901379367303,47.817671563278,62.053909522468985,66.69221897640904,-25.017815262866065,82.09068062160401,25.79203933453033,25.493101536657925,26.090977132402735,28.52239654403303,8669,1308,23,0.8669,0.1308,0.0023
terminal_gap_kg,"逐站 max(0,target_i-I_i) 后汇总",terminal_gap_kg,kg,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,1.3175250673492533,0.0,9.7042494565004,0.0,1.70530256582424e-13,45.429798702038376,80.95756060799057,0.0,185.397588732444,1.4668463006447754,0.0,10.108809750647286,0.0,0.5967856994436821,50.216681361659184,81.52520646429276,0.0,194.669097206153,0.14932123329552188,0.0,2.933645889137492,0.0,0.0,12.249806621624876,20.887667366555917,-42.47032892140891,64.453333750582,0.14932123329552194,0.09182177386843096,0.20682069272261291,0.0,366,9366,268,0.0366,0.9366,0.0268
ordinary_shortage_kg,普通供氢 shortage；不同于 terminal gap,ordinary_shortage_kg,kg,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,7.210762484810457,0.0,19.957751456414677,25.5081407166829,56.538008369035,99.03758953657422,106.331187532016,0.0,128.599871400632,8.233077466140294,0.0,22.53390766534704,37.6688124679836,61.5400474003066,106.331187532016,109.373489897099,0.0,128.599871400632,1.022314981329838,0.0,4.669129965247399,0.0,11.917995386394736,22.8942969321603,28.699978577914692,-31.697758541311238,56.5380083690346,1.0223149813298382,0.9308000340109966,1.1138299286486797,0.0,734,9084,182,0.0734,0.9084,0.0182
total_production_kg,Stage1-6 总制氢,total_production_kg,kg,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,330.3634014425443,357.299762276667,104.81393030433614,456.307934352766,502.856977051182,595.147934352766,616.7071074364047,120.12,668.701733786693,355.13312579574466,395.867642910484,111.56222058191643,468.787934352766,527.257617365137,595.147934352766,631.875253409637,120.12,674.739376308832,24.76972435320032,28.394315449305964,16.074073626417817,42.96480085559199,47.495747639695026,62.05390952247001,66.69221897640904,-41.72230337345309,82.09068062160401,24.76972435320063,24.45467251012284,25.08477619627842,28.394315449305964,8282,1601,117,0.8282,0.1601,0.0117
site1_production_kg,Site1 总制氢,site1_production_kg,kg,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,138.1148889501783,152.1,44.12107650707606,187.2,204.32774131196285,234.0,251.55,46.8,280.8,143.41781770706424,162.773876649444,45.626624284552484,187.2,209.25670898191032,234.0,251.55,46.8,279.094575058333,5.302928756885933,4.9194169250719995,6.02970003347671,12.758549943210994,17.220803245209375,22.492729509718004,23.569696723771887,-40.94999999999999,36.21407987127898,5.302928756885808,5.184746636229663,5.4211108775419525,4.9194169250719995,6338,3425,237,0.6338,0.3425,0.0237
site2_production_kg,Site2 总制氢,site2_production_kg,kg,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,79.25119781975124,81.9,26.031556225721115,113.1,124.8,152.1,156.0,31.2,175.937914603549,89.04154277651187,97.5,28.12755451928776,120.9,132.6,156.0,159.9,31.2,173.014948756836,9.790344956760634,11.698855575826002,6.435319501664466,17.796058019923805,19.5,23.4,25.019663402191526,-16.532619551501995,35.099999999999994,9.7903449567607,9.664212694528073,9.916477218993327,11.698855575826002,8170,1755,75,0.817,0.1755,0.0075
site3_production_kg,Site3 总制氢,site3_production_kg,kg,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,45.74131457650592,48.1169770511821,14.48828006999564,62.4079343527659,69.427934352766,86.54295600383294,88.1479343527659,18.72,98.4109162985458,51.48758801486294,55.693020003606,15.85105743466046,67.0879343527659,76.1969770511821,88.1479343527659,91.8049114039481,18.72,98.8249114039481,5.746273438357016,6.8177245811655,3.7591064334219433,10.178316185841602,11.699999999999907,14.040000000000099,14.826115946346597,-13.836743289287497,21.07959089119,5.746273438356867,5.672594952261797,5.819951924451937,6.8177245811655,8235,1672,93,0.8235,0.1672,0.0093
site4_production_kg,Site4 总制氢,site4_production_kg,kg,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,67.25600009610882,72.6809126393221,21.441251580002135,93.6,97.92418827844097,117.0,123.19373581872867,23.4,137.224305882294,71.18617729730559,81.7694680048587,22.564759338564098,93.6,98.6051803160323,117.0,125.33169774601424,23.4,139.7423824632,3.9301772011967646,2.9250000000000114,4.1293076785471134,8.775000000000006,11.635862165456999,15.849468766473407,17.344939773137412,-25.07022698176401,22.231439817645693,3.930177201196678,3.8492427706971553,4.011111631696201,2.9250000000000114,6588,3246,166,0.6588,0.3246,0.0166
total_htt_kg,路径总 HTT 调拨量,total_htt_kg,kg,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,46.24900011239533,50.07663637767815,30.801989491022354,76.24580583025947,95.11791909532481,144.0668673142749,156.271241734454,0.0,231.023168957735,52.92500560763552,58.8002742592739,32.406091903313616,87.1617466394821,100.17543681737553,128.41531689905327,140.4900281880016,0.0,215.116338733085,6.676005495240188,5.436911895595152,13.50976059472917,21.440254045779017,26.207505871103017,41.7315050087854,49.20286150914191,-107.23520102996919,92.82669256796339,6.676005495240193,6.4112141875834965,6.940796802896889,5.436911895595152,6352,2183,1465,0.6352,0.2183,0.1465
operating_cost,不含 terminal value 的运行成本,operating_cost,model_cost_unit,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,61990.21389190302,64995.5615383535,25497.58206916834,89002.53158069425,103717.62303139087,116794.23556179891,120569.83074994388,9988.49075738363,134083.144795294,63210.33738434956,66472.6133218773,25981.81093378305,90874.2900912255,106434.19253145078,117194.44743648445,121131.08974167229,9988.49075738363,134610.776593401,1220.1234924465296,1251.1321297287432,935.4016887223087,1934.4345640079991,2595.6683167384926,4852.092134471161,5726.303910339944,-5288.9080589838995,11453.565662769703,1220.1234924465311,1201.789619347574,1238.4573655454883,1251.1321297287432,8703,1086,211,0.8703,0.1086,0.0211
total_cost,reported total cost；含 terminal value,total_cost,model_cost_unit,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,64625.26402660153,65041.0060517914,33140.135998667145,94070.96544652198,106081.22484890785,174323.9624874117,235885.51858920755,9988.49075738363,415235.611411309,66144.02998563909,66492.1460335308,33808.4957392818,97811.31341704579,107557.40143426345,171927.2506257865,238811.88568302285,9988.49075738363,433893.25098576,1518.765959037573,1255.4731042137937,5859.407588153632,2040.4808876028983,3568.3349050358556,25484.120211958503,42944.9063974952,-73487.09218004899,129017.64906164001,1518.7659590375777,1403.9215703097664,1633.610347765389,1255.4731042137937,8544,1086,370,0.8544,0.1086,0.037
grid_procurement_kwh,路径累计电网购电,grid_import_kwh,kWh,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,100734.46660250542,112100.43712169549,36990.379266134645,138316.316004676,147202.2750009228,173670.2381071791,176790.08839955967,27332.0079,179456.479494446,102004.70887702849,114162.339834858,37453.70911668115,139922.715135152,147677.70353806982,174732.976586918,177567.9420392118,27332.0079,179766.102187889,1270.242274523083,1456.1187409900012,824.3114680214196,2203.323120800007,2435.679366138196,3182.2517703829944,3420.1137936619925,-2139.6053012030025,4209.778493416001,1270.2422745230785,1254.0857697498586,1286.3987792962985,1456.1187409900012,8282,1601,117,0.8282,0.1601,0.0117
site1_average_p_el_kw,Site1 路径平均电解功率,site1_average_p_el_kw,kW,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,258.70809351377625,262.5,33.9636343508792,300.0,300.0,300.0,300.0,162.635314294703,300.0,267.4734916646387,271.875,30.900298309285287,300.0,300.0,300.0,300.0,168.75,300.0,8.765398150862422,7.023352350630006,10.077831903802707,24.693603481308003,27.355679372291007,37.5,37.50088246453279,-52.5,58.035384409101,8.765398150862431,8.567872645547896,8.962923656176967,7.023352350630006,6338,3425,237,0.6338,0.3425,0.0237
site2_average_p_el_kw,Site2 路径平均电解功率,site2_average_p_el_kw,kW,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,151.2491247135906,146.476521239112,30.930527643002705,200.0,200.0,200.0,200.0,87.5,200.0,167.8634699832332,166.666666666667,25.728451775501803,200.0,200.0,200.0,200.0,100.0,200.0,16.614345269642616,17.792636099129993,10.777774365038361,28.966403994085994,33.333333333333,40.18686898176192,44.23363501783189,-21.195666091668983,75.0,16.61434526964255,16.403100892087792,16.825589647197305,17.792636099129993,8170,1755,75,0.817,0.1755,0.0075
site3_average_p_el_kw,Site3 路径平均电解功率,site3_average_p_el_kw,kW,10000,10000 条相同 path_id,DRO-SAA；正值表示 DRO 更高,87.74242187865076,84.6105401461251,18.336592064894283,120.0,120.0,120.0,120.0,51.4070267640834,120.0,97.50367688865333,97.1719442901024,15.364810418841898,120.0,120.0,120.0,120.0,58.9070267640834,120.0,9.76125501000256,10.8821758061829,6.266856552293083,16.311404143977,18.7499999999999,24.65858529563441,26.060348023965503,-17.739414473445194,45.0,9.76125501000264,9.638424621577698,9.884085398427583,10.8821758061829,8235,1672,93,0.8235,0.1672,0.0093
