method,scope,metric,metric_definition_cn,path_count,unit,value_mean,value_median,value_std,value_q90,value_q95,value_q99,value_q995,value_min,value_max
saa,all_paths,terminal_target_total,方法对应的四站 TerminalLOH target 总和,10000,kg,59.32754009491857,0.0,151.15525628390657,355.1264217330822,427.4063770013364,603.5070166107528,607.9698878978805,0.0,676.1585249434034
saa,all_paths,terminal_actual_inventory,进入 terminal 时四站实际库存总和,10000,kg,380.72988643786795,374.243646707719,77.56947208967053,498.0029904550599,564.0132349138535,619.38166126946,624.544555466116,271.358280672679,694.664745021416
saa,all_paths,terminal_target_minus_actual,target 总和减 actual 总和；不等于逐站 gap,10000,kg,-321.40234634294944,-354.742284876239,111.20562138731077,-164.85287762046875,-37.00806323785984,44.289984174241035,79.1271018121719,-692.350795763904,185.39758873244432
saa,all_paths,terminal_gap,"逐站 max(0,target_i-I_i) 后汇总",10000,kg,1.3175250673492533,0.0,9.7042494565004,0.0,1.70530256582424e-13,45.429798702038376,80.95756060799057,0.0,185.397588732444
saa,all_paths,terminal_gap_reconstructed,由 accepted 查表逐站重构的 gap,10000,kg,1.3175250673492533,0.0,9.704249456500394,0.0,3.126388037344441e-13,45.429798702038354,80.95756060799111,0.0,185.3975887324442
saa,terminal_hit_only,terminal_target_total,方法对应的四站 TerminalLOH target 总和,6064,kg,97.83565319082878,0.0,184.15295960370335,405.3132585985871,562.1471238032893,607.9698878978805,613.4249788615225,0.0,676.1585249434034
saa,terminal_hit_only,terminal_actual_inventory,进入 terminal 时四站实际库存总和,6064,kg,411.84328728997735,392.24899348405,75.14572872217735,552.8733121151,579.269784182722,622.1612852095585,625.8235949563808,274.843233520276,694.664745021416
saa,terminal_hit_only,terminal_target_minus_actual,target 总和减 actual 总和；不等于逐站 gap,6064,kg,-314.0076340991485,-369.550279015882,135.79235456317105,-53.618532212014955,-8.825287367886872,66.36189160011001,105.34470681560495,-579.493312378979,185.39758873244432
saa,terminal_hit_only,terminal_gap,"逐站 max(0,target_i-I_i) 后汇总",6064,kg,2.172699649322648,0.0,12.387466486068567,0.0,4.838780394437289,67.83448781831889,105.67367498395043,0.0,185.397588732444
saa,terminal_hit_only,terminal_gap_reconstructed,由 accepted 查表逐站重构的 gap,6064,kg,2.1726996493226474,0.0,12.38746648606856,0.0,4.8387803944373164,67.83448781831885,105.6736749839498,0.0,185.3975887324442
chi2_eta003,all_paths,terminal_target_total,方法对应的四站 TerminalLOH target 总和,10000,kg,90.22600250445763,0.7136787584260904,158.47036858915513,396.0404522859202,491.8597107519186,607.9698879463327,622.1306832965186,0.0,681.5628164262854
chi2_eta003,all_paths,terminal_actual_inventory,进入 terminal 时四站实际库存总和,10000,kg,406.52192577239816,416.494481158592,80.90791217737237,506.146215025444,580.719070191844,630.821016293939,635.431069078286,271.358280672679,702.366085494312
chi2_eta003,all_paths,terminal_target_minus_actual,target 总和减 actual 总和；不等于逐站 gap,10000,kg,-316.29592326794045,-341.685101509697,118.29009446810643,-124.23293122708571,-30.681969525526682,44.07043310095605,78.92259641520056,-693.666632897943,194.66909720615257
chi2_eta003,all_paths,terminal_gap,"逐站 max(0,target_i-I_i) 后汇总",10000,kg,1.4668463006447754,0.0,10.108809750647286,0.0,0.5967856994436821,50.216681361659184,81.52520646429276,0.0,194.669097206153
chi2_eta003,all_paths,terminal_gap_reconstructed,由 accepted 查表逐站重构的 gap,10000,kg,1.4668463006447758,0.0,10.10880975064729,0.0,0.5967856994439865,50.21668136165928,81.52520646429264,0.0,194.6690972061532
chi2_eta003,terminal_hit_only,terminal_target_total,方法对应的四站 TerminalLOH target 总和,6064,kg,148.78958196645388,79.48533710376347,180.83314054705164,434.49794790556825,578.5123562242716,622.1306832965186,626.5328602506734,0.0,681.5628164262854
chi2_eta003,terminal_hit_only,terminal_actual_inventory,进入 terminal 时四站实际库存总和,6064,kg,442.95513464723416,424.193212062612,69.22492403242329,576.473035862463,596.339449349015,634.072544451608,641.0677212863735,325.680148498823,702.366085494312
chi2_eta003,terminal_hit_only,terminal_target_minus_actual,target 总和减 actual 总和；不等于逐站 gap,6064,kg,-294.16555268078025,-337.622828447491,138.56813367228816,-45.76187026125399,-8.04302935410108,72.39803859786066,106.13458889197237,-596.090504491028,194.66909720615257
chi2_eta003,terminal_hit_only,terminal_gap,"逐站 max(0,target_i-I_i) 后汇总",6064,kg,2.4189417886622286,0.0,12.892764812384002,0.0,9.574426233113002,74.87131849997333,106.134588891972,0.0,194.669097206153
chi2_eta003,terminal_hit_only,terminal_gap_reconstructed,由 accepted 查表逐站重构的 gap,6064,kg,2.4189417886622295,0.0,12.892764812384007,9.947598300638818e-15,9.57442623311273,74.87131849997385,106.13458889197304,0.0,194.6690972061532
