method,stage,site,path_count,beginning_inventory_mean_kg,ending_inventory_mean_kg,production_mean_kg,ordinary_shortage_mean_kg,htt_in_mean_kg,htt_out_mean_kg,net_htt_mean_kg,htt_in_active_frequency,htt_out_active_frequency,average_p_el_mean_kw,site_min_voltage_mean_pu,site_voltage_binding_hours_mean,denominator
chi2_eta003,1,1,10000,58.0445570448695,99.7243810123712,46.8,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.973923125868214,0.0,该 method×stage×site 的 normal records
chi2_eta003,1,2,10000,50.3081379386248,75.682050982103,31.2,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.919057778866742,0.0,该 method×stage×site 的 normal records
chi2_eta003,1,3,10000,25.2621334423093,42.3963366656137,18.72,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.912081659455724,0.0,该 method×stage×site 的 normal records
chi2_eta003,1,4,10000,33.0235808462428,53.5555120125908,23.4,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.9266143788019982,0.0,该 method×stage×site 的 normal records
chi2_eta003,2,1,8914,99.7243810123712,136.35928827121094,46.8,1.4716627209393498,8.452953407230492,0.0,8.452953407230492,0.1693964550145838,0.0,300.0,0.9720131025082887,0.0,该 method×stage×site 的 normal records
chi2_eta003,2,2,8914,75.682050982103,91.67493929571589,30.350119617160807,0.69793857975856,0.0,2.800511498213358,-2.800511498213358,0.0,0.12160646174556877,194.55204882795385,0.9157975409891392,0.0,该 method×stage×site 的 normal records
chi2_eta003,2,3,8914,42.3963366656137,46.47788888938368,17.985763966793805,0.21960100954912692,0.0,7.0313366688014565,-7.0313366688014565,0.0,0.1693964550145838,115.29335876149877,0.909221535062753,0.0,该 method×stage×site 的 normal records
chi2_eta003,2,4,8914,53.5555120125908,68.72395019366311,23.4,0.7458792460750863,1.3788947597843237,0.0,1.3788947597843237,0.11913843392416423,0.0,150.0,0.9207561098635715,0.0,该 method×stage×site 的 normal records
chi2_eta003,3,1,7936,136.50572981270173,175.90415385116975,34.405286251922384,1.8493199288713742,25.290955475524733,0.4934477058671916,24.79750776965754,0.5878276209677419,0.04422883064516129,220.54670674309213,0.9690706802626802,0.0,该 method×stage×site 的 normal records
chi2_eta003,3,2,7936,91.8617380413671,83.64266170162405,17.224484946227797,1.1261883536225203,0.19400809207607064,12.881770154029663,-12.687762061953594,0.02230342741935484,0.6276461693548387,110.41336503992177,0.9066575089788635,0.0,该 method×stage×site 的 normal records
chi2_eta003,3,3,7936,46.40543027545459,29.235145018236683,8.180255065199958,0.6576602391936572,0.6476818405815098,18.23133702599724,-17.58365518541573,0.06703629032258064,0.5845514112903226,52.437532469230526,0.9,1.7337449596774193,该 method×stage×site 的 normal records
chi2_eta003,3,4,7936,68.78491791042862,79.17626356176116,16.45615917423013,1.0390625026063678,5.703356560510319,0.22944708279854814,5.473909477711771,0.5359122983870968,0.030871975806451613,105.48819983480853,0.9117926503077353,0.0,该 method×stage×site 的 normal records
chi2_eta003,4,1,5788,171.59173072606742,217.60643335172134,42.10886898076711,0.8744700467300969,14.365763727918981,3.197974943573936,11.167788784345046,0.4576710435383552,0.2538009675190048,269.9286473126097,0.9739576777511955,0.0,该 method×stage×site 的 normal records
chi2_eta003,4,2,5788,85.09477512840094,96.42855591160959,26.08887368860397,0.43210361716134477,0.7344527415146701,11.88438218332599,-11.149929441811318,0.12543192812715964,0.8436420179682101,167.2363697987434,0.919262663193511,0.0,该 method×stage×site 的 normal records
chi2_eta003,4,3,5788,30.976944617916132,30.012691178872053,15.63806058311579,0.6349122826817786,1.7832830396019117,13.123327581106494,-11.340044541504584,0.2914651002073255,0.600898410504492,100.24397809689611,0.912312862143304,0.0,该 method×stage×site 的 normal records
