method,global_hour,path_hour_count,total_p_el_mean_kw,site1_p_el_mean_kw,site2_p_el_mean_kw,site3_p_el_mean_kw,site4_p_el_mean_kw,pv_available_mean_kwh,pv_used_mean_kwh,pv_curtailed_mean_kwh,grid_import_mean_kwh,minimum_voltage_mean_pu,minimum_voltage_min_pu,max_branch_mva_mean,max_branch_mva_max,max_branch_utilization_mean,max_branch_utilization_max,mode_min_voltage_bus,mode_max_loading_branch_index,site3_hourly_grid_limited_frequency,unit_note,denominator
saa,1,10000,770.0,300.0,200.0,120.0,150.0,0.0,0.0,0,3679.00102999994,0.912081659455715,0.912081659455724,4.09617349876121,4.09617349876108,0.682695583126828,0.682695583126847,18,1,0.0,p.u./kW/kWh/MVA,10000 observed operating records at this method/global_hour
saa,2,10000,770.0,300.0,200.0,120.0,150.0,0.0,0.0,0,3511.00129999984,0.916065565424306,0.916065565424307,3.8996014684579,3.89960146845773,0.649933578076325,0.649933578076288,18,1,0.0,p.u./kW/kWh/MVA,10000 observed operating records at this method/global_hour
saa,3,10000,770.0,300.0,200.0,120.0,150.0,0.0,0.0,0,3456.00072500009,0.917366076845458,0.917366076845495,3.8352695032409,3.83526950324104,0.639211583873489,0.639211583873507,18,1,0.0,p.u./kW/kWh/MVA,10000 observed operating records at this method/global_hour
saa,4,10000,770.0,300.0,200.0,120.0,150.0,0.0,0.0,0,3400.00081500017,0.918688326452676,0.91868832645269,3.769781183657,3.7697811836571,0.628296863942824,0.628296863942851,18,1,0.0,p.u./kW/kWh/MVA,10000 observed operating records at this method/global_hour
saa,5,10000,770.0,300.0,200.0,120.0,150.0,0.0,0.0,0,3366.00113500002,0.919490186928417,0.919490186928441,3.73002717586856,3.73002717586848,0.621671195978043,0.62167119597808,18,1,0.0,p.u./kW/kWh/MVA,10000 observed operating records at this method/global_hour
saa,6,10000,770.0,300.0,200.0,120.0,150.0,0.0,0.0,0,3288.00099499991,0.921327132775076,0.921327132775077,3.63884518344926,3.6388451834493,0.606474197241578,0.606474197241551,18,1,0.0,p.u./kW/kWh/MVA,10000 observed operating records at this method/global_hour
saa,7,10000,770.0,300.0,200.0,120.0,150.0,0.0,0.0,0,3232.0010850001,0.922643705772268,0.922643705772219,3.57339899191293,3.573398991913,0.595566498652186,0.595566498652167,18,1,0.0,p.u./kW/kWh/MVA,10000 observed operating records at this method/global_hour
saa,8,10000,770.0,300.0,200.0,120.0,150.0,0.0,0.0,0,3400.00081500017,0.918688326452676,0.91868832645269,3.769781183657,3.7697811836571,0.628296863942824,0.628296863942851,18,1,0.0,p.u./kW/kWh/MVA,10000 observed operating records at this method/global_hour
saa,9,8914,770.0,300.0,200.0,120.0,150.0,11.9752000000005,11.9752000000005,0,3734.02585500009,0.910928863785319,0.910928863785294,4.16385289723742,4.16385289723747,0.693975482872925,0.693975482872912,18,1,0.0,p.u./kW/kWh/MVA,8914 observed operating records at this method/global_hour
saa,10,8914,769.282028270137,300.0,199.551267668836,119.730760601301,150.0,34.5872000000003,34.5872000000003,0,3710.69588327031,0.911800461028735,0.911760785490082,4.14294997294311,4.14358717382781,0.690491662157219,0.690597862304636,18,1,0.0,p.u./kW/kWh/MVA,8914 observed operating records at this method/global_hour
saa,11,8914,769.282028270137,300.0,199.551267668836,119.730760601301,150.0,75.9904000000007,75.9904000000007,0,3826.29229827033,0.909586616755902,0.909548181637472,4.28986145956685,4.29049601127378,0.714976909927807,0.71508266854563,18,1,0.0,p.u./kW/kWh/MVA,8914 observed operating records at this method/global_hour
saa,12,8914,694.076148669653,300.0,152.736682661127,91.3394660085259,150.0,139.536800000002,139.536800000002,0,3799.5398386695,0.913060171738134,0.909221535062753,4.29846737094356,4.3652458502615,0.716411228490616,0.727540975043584,18,1,0.0,p.u./kW/kWh/MVA,8914 observed operating records at this method/global_hour
saa,13,8914,564.641442570512,300.0,75.9517409775111,39.0262508413731,149.663450751627,175.782400000006,175.782400000006,0,3689.85944257065,0.919405355780164,0.909223111477897,4.21862404579256,4.39879346058303,0.703104007632078,0.733132243430504,33,1,0.0,p.u./kW/kWh/MVA,8914 observed operating records at this method/global_hour
saa,14,8914,508.149213590503,299.326901503253,47.380874055931,20.1501956694132,141.291242361904,268.003999999999,268.003999999999,0,3642.14531859063,0.921863305368112,0.910215566612005,4.20781144235758,4.43591481800798,0.701301907059586,0.739319136334664,33,1,0.0,p.u./kW/kWh/MVA,8914 observed operating records at this method/global_hour
saa,15,8914,750.12527821273,300.0,193.129541169876,106.995737042854,150.0,308.467199999997,308.467199999997,0,3742.6584782129,0.915230189654299,0.914103035047291,4.26439885933086,4.28174225315423,0.710733143221836,0.713623708859038,18,1,0.0,p.u./kW/kWh/MVA,8914 observed operating records at this method/global_hour
