item,value
branch,task/002-stage2b-b3-smoke
head,c63c3fcbfa9d19ecf726fc60b4406ddc6d2afbeb
upstream,origin/task/002-stage2b-b3-smoke
ahead,0
behind,0
training_commit,cd7084300b0a50ade053e6b45ea7a1701d52c307
oos_schema_fix_commit,4935f227c23010e2afd79475744da212ba4232a4
oos_runner_commit,c63c3fcbfa9d19ecf726fc60b4406ddc6d2afbeb
expected_training_commit_match,True
expected_oos_fix_commit_match,True
expected_oos_runner_commit_match,True
saa_checkpoint_sha256,c662cc5533c8574243877f911c7277e7483a0095187a2efadb373d9eca9dc2fb
dro_checkpoint_sha256,192de4a87bf71fed905a9e473173a1655f136ec66deee2c80f61524094eec027
common_bank_sha256,5f555163eaa538d03940d0825f97e592f817b02d59e3afb77bc5ac6155ee9115
common_manifest_sha256,c158e1e943ca5b73ef70e565d458306c297f5013fb6164c4f3f7f9c0bbfdbdab
common_path_seed,20262513
initial_state,65
common_bank_dimension,10000x8
saa_path_count,10000
dro_path_count,10000
common_path_count,10000
path_ids_identical,True
state_sequences_identical,True
saa_stage_site_rows,320000
dro_stage_site_rows,320000
saa_hourly_batches,400
dro_hourly_batches,400
failed_paths,0
skipped_paths,0
stage84b_final_judgment,PASS_COMPLETE_10000_PAIRED_OOS
large_manifest_rows,1225
large_manifest_all_closed,True
large_manifest_missing_files,0
large_manifest_size_mismatches,0
large_manifest_sha256,35d188033abf89c77062f27257fd7a49a1cbe9bc1ab36bd700bab9a9002df685
large_manifest_total_bytes,1067473497
hourly_extract_schema,stage84b-hourly-v1; 19 fields
stage_directional_htt_arcs,UNAVAILABLE_IN_STAGE84B_SCHEMA; site in/out/net retained
formal_w1_w3_recourse_run,false
