candidate,path_id,checkpoint_relative_hour,failure_type,tail_group,current_inventory_kg,target_total_kg,arrival_stage,final_intensity,final_location,final_gap,optimistic_margin_kg
B1000,152,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,63.1664616747,21.792948439
B1000,459,-8,pure_quantity,difficult4,255.042954597,386.76593055,6,4,3,71.0959818836,0.097024047
B1000,467,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,62.9448956867,21.792948439
B1000,488,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,91.9948037838,21.792948439
B1000,518,-16,pure_quantity,extreme1,302.134475204,546.93138762,5,5,4,109.586929435,18.843087584
B1000,643,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,51.8374642806,22.717612182
B1000,783,-8,mixed,difficult4,335.220415487,455.499334558,6,5,5,32.7616416645,11.541080929
B1000,783,-4,mixed,difficult4,389.698534679,455.499334558,6,5,5,32.7616416645,0.109200121
B1000,801,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,21.792948439
B1000,869,-8,mixed,difficult4,254.111343625,374.764778406,5,4,1,50.3514616849,11.166565219
B1000,869,-4,mixed,difficult4,314.171343625,374.764778406,5,4,1,50.3514616849,5.316565219
B1000,965,-4,mixed,difficult4,483.953035862,546.93138762,6,5,4,61.8597733859,2.931648242
B1000,1165,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,188.294045631,21.792948439
B1000,1320,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,191.219045631,21.792948439
B1000,1432,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,44.0169071218,10.092948439
B1000,1432,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,44.0169071218,2.950379483
B1000,1580,-4,mixed,difficult4,324.402726707,386.76593055,4,4,3,24.61068681,3.546796157
B1000,1666,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,57.1249121551,22.717612182
B1000,2000,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,160.561358653,21.792948439
B1000,2052,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,66.8006773112,18.843087584
B1000,2103,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,58.1179800353,22.717612182
B1000,2268,-16,pure_quantity,extreme1,160.308409272,423.861526765,6,4,4,168.727629244,0.086882507
B1000,2435,-16,pure_quantity,difficult4,302.134475204,546.93138762,5,5,4,94.5159721332,18.843087584
B1000,2467,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,86.7099746942,13.446511555
B1000,2501,-16,mixed,difficult4,151.533409272,395.525364721,6,4,2,50.4349409882,19.648044551
B1000,3269,-8,mixed,difficult4,334.419629347,455.499334558,7,5,5,58.3914159486,10.740294789
B1000,3349,-16,pure_quantity,difficult4,302.134475204,552.327963649,5,5,3,51.7498731097,13.446511555
B1000,3381,-8,mixed,difficult4,251.186343625,374.764778406,5,4,1,64.9716701245,8.241565219
B1000,3909,-16,pure_quantity,extreme1,160.308409272,423.861526765,6,4,4,201.358259651,0.086882507
B1000,3951,-8,pure_quantity,difficult4,302.134475204,423.861526765,4,4,4,78.5279185717,10.092948439
B1000,3997,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,44.3673461149,10.092948439
B1000,3997,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,44.3673461149,2.950379483
B1000,4007,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,21.792948439
B1000,4711,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,29.631447778,13.446511555
B1000,4723,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,168.070694858,21.792948439
B1000,5152,-16,mixed,difficult4,160.308409272,423.861526765,6,4,4,79.4180631879,0.086882507
B1000,5265,-16,pure_quantity,extreme1,160.308409272,423.861526765,6,4,4,168.727629244,0.086882507
B1000,5592,-16,pure_quantity,extreme1,163.233409272,423.861526765,6,4,4,135.272051561,3.011882507
B1000,5685,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,21.792948439
B1000,6098,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,30.665857873,22.717612182
B1000,6098,-8,mixed,difficult4,416.802409557,543.056863022,5,5,2,30.665857873,5.565546535
