scheme,method,stage,total_htt_kg,total_transport_cost_yuan,weighted_actual_cost_yuan_per_kg,c_d,local_production_marginal_cost_yuan_per_kg,transport_to_local_production_cost_ratio
Reference_08,saa,1,0.0,0.0,,0.8,19.26923076923077,
Reference_08,saa,2,40464.503001696066,1020175.06398518,25.211604945263247,0.8,40.87179487179487,0.6168460432028022
Reference_08,saa,3,52527.364411260074,1393144.791803657,26.52226715386113,0.8,39.26923076923077,0.6753956376105675
Reference_08,saa,4,23582.07853133043,633507.9639480645,26.86395786132275,0.8,19.26923076923077,1.3941375337213402
Reference_08,saa,5,14251.87265106347,365865.62038479664,25.671406792811602,0.8,40.87179487179487,0.6280959002005349
Reference_08,saa,6,2847.105961758005,67470.85171934562,23.69804728928471,0.8,39.26923076923077,0.6034762287183179
Reference_08,chi2_eta003,1,0.0,0.0,,0.8,19.26923076923077,
Reference_08,chi2_eta003,2,42011.41283985838,1054711.1913975729,25.105349239693133,0.8,40.87179487179487,0.6142463113852147
Reference_08,chi2_eta003,3,118180.9671460654,3121687.2534861164,26.41446697273916,0.8,39.26923076923077,0.6726504811863058
Reference_08,chi2_eta003,4,44710.57444202088,1211731.448554717,27.10167479789481,0.8,19.26923076923077,1.4064741412081139
Reference_08,chi2_eta003,5,13791.741982992698,363325.6585027501,26.343710529879804,0.8,40.87179487179487,0.644544987870334
Reference_08,chi2_eta003,6,1557.081419668359,38436.078591103855,24.6846941371186,0.8,39.26923076923077,0.628601417791463
H04,saa,1,0.0,0.0,,0.4,19.26923076923077,
H04,saa,2,68628.95170729415,833644.7725663129,12.147129627184876,0.4,40.87179487179487,0.2972007876161921
H04,saa,3,95548.32385066264,1220035.9939531134,12.768784891087886,0.4,39.26923076923077,0.32516004619812444
H04,saa,4,44476.37789632531,549017.4232041257,12.344022808779268,0.4,19.26923076923077,0.6406079701162893
H04,saa,5,20630.542521625208,266660.9887450381,12.92554417633567,0.4,40.87179487179487,0.31624606203079747
H04,saa,6,3910.1168017756017,49045.135701539606,12.54313827128335,0.4,39.26923076923077,0.3194139030885085
H04,chi2_eta003,1,0.0,0.0,,0.4,19.26923076923077,
H04,chi2_eta003,2,63891.921289559716,801660.8450277068,12.54713943245752,0.4,40.87179487179487,0.30698772764482013
H04,chi2_eta003,3,156380.73763922387,2023569.3612154906,12.940016729451294,0.4,39.26923076923077,0.32952050437388214
H04,chi2_eta003,4,69567.16781847604,894761.4091987702,12.861834644950637,0.4,19.26923076923077,0.6674804406561209
H04,chi2_eta003,5,20616.955562697294,271879.01593625045,13.187156324291015,0.4,40.87179487179487,0.32264686113384544
H04,chi2_eta003,6,3031.938405603358,38862.83235644699,12.817817236862124,0.4,39.26923076923077,0.326408666168869
H02,saa,1,0.0,0.0,,0.2,19.26923076923077,
H02,saa,2,72626.14297650717,448831.30588213535,6.180023989809312,0.2,40.87179487179487,0.15120510389119396
H02,saa,3,146769.54351466795,938135.9609712843,6.391898063493863,0.2,39.26923076923077,0.16277115538769876
H02,saa,4,95595.56139114806,569230.2901509376,5.954568202406593,0.2,19.26923076923077,0.3090195075101226
H02,saa,5,22388.008010054393,140682.04286280135,6.283812423133913,0.2,40.87179487179487,0.15374446957479462
H02,saa,6,4144.356281376548,24690.672097407714,5.957661557323132,0.2,39.26923076923077,0.15171322281136285
H02,chi2_eta003,1,0.0,0.0,,0.2,19.26923076923077,
H02,chi2_eta003,2,64600.68672358871,397287.60047863587,6.14989747986019,0.2,40.87179487179487,0.15046800609444633
H02,chi2_eta003,3,207967.21164392043,1350257.7496709244,6.492647273565525,0.2,39.26923076923077,0.16533675721126706
H02,chi2_eta003,4,105252.79500208702,669009.8858267865,6.35621966916433,0.2,19.26923076923077,0.3298636954057337
H02,chi2_eta003,5,26236.69074957585,165277.55100428476,6.29948161457659,0.2,40.87179487179487,0.15412784376943978
H02,chi2_eta003,6,2225.1806835617044,13885.656831136155,6.240237897854781,0.2,39.26923076923077,0.15890909436260953
H01,saa,1,0.0,0.0,,0.1,19.26923076923077,
H01,saa,2,81685.38105481323,247223.6019145479,3.02653423075365,0.1,40.87179487179487,0.07404945733964388
H01,saa,3,203413.17677467503,643590.8671692259,3.1639585860366597,0.1,39.26923076923077,0.08057093363070829
H01,saa,4,143513.31441076094,427116.0370851103,2.9761422404518325,0.1,19.26923076923077,0.15445049551247034
H01,saa,5,23109.045559064267,69791.23489235286,3.020082967683537,0.1,40.87179487179487,0.07389161589689959
H01,saa,6,4936.93293899144,14847.656226658288,3.0074656492481133,0.1,39.26923076923077,0.07658580497595588
H01,chi2_eta003,1,0.0,0.0,,0.1,19.26923076923077,
H01,chi2_eta003,2,78702.84771335748,241681.1480934358,3.0708056330268922,0.1,40.87179487179487,0.07513263468509963
H01,chi2_eta003,3,230380.70960878133,729218.1416507082,3.1652743100280514,0.1,39.26923076923077,0.08060443884498467
H01,chi2_eta003,4,132583.4818458521,407829.36348057404,3.076019409074925,0.1,19.26923076923077,0.15963374178831946
H01,chi2_eta003,5,28704.331100344636,89148.5955403412,3.1057541535699063,0.1,40.87179487179487,0.07598771141105794
H01,chi2_eta003,6,2188.916408936137,6863.991215783495,3.1357941252400545,0.1,39.26923076923077,0.07985371915400727
