scheme,c_d,preparation_stage_count,path_count,mean_delta_I_kg,median_delta_I_kg,delta_I_le1_share,delta_I_gt20_share
Reference_08,0.8,2,79,10.493300246388177,0.0,0.5949367088607594,0.4050632911392405
Reference_08,0.8,3,1144,29.879690944900837,30.690357878358043,0.04283216783216783,0.8374125874125874
Reference_08,0.8,4,2557,33.95275713939482,32.74366841388303,0.0035197497066875244,0.8811106765741102
Reference_08,0.8,5,1855,30.536642000082214,30.261761123592976,0.00431266846361186,0.8485175202156334
Reference_08,0.8,6,4365,20.56122419567236,20.900059365846005,0.26941580756013744,0.5605956471935853
H04,0.4,2,79,3.5090518210374086,0.0,0.8354430379746836,0.02531645569620253
H04,0.4,3,1144,29.600192703075358,31.794903236516006,0.05244755244755245,0.7884615384615384
H04,0.4,4,2557,35.9367082462119,34.073888176396,0.006257332811888932,0.8599921783339851
H04,0.4,5,1855,30.765732660509038,30.680623282585998,0.001078167115902965,0.8318059299191375
H04,0.4,6,4365,20.636905274988266,22.105255919029958,0.27353951890034367,0.5344788087056128
H02,0.2,2,79,0.5891496033960005,0.0,0.9873417721518988,0.012658227848101266
H02,0.2,3,1144,31.243683439466114,35.180072256691005,0.06905594405594405,0.763986013986014
H02,0.2,4,2557,38.85285812817767,36.90667644216501,0.007039499413375049,0.8674227610481032
H02,0.2,5,1855,33.313881288480175,34.19338620207003,0.001078167115902965,0.862533692722372
H02,0.2,6,4365,20.663957979065252,20.358023920050016,0.33654066437571595,0.5287514318442154
H01,0.1,2,79,1.2232128109287801e-14,0.0,1.0,0.0
H01,0.1,3,1144,30.953240449539223,32.957134872092496,0.07255244755244755,0.8243006993006993
H01,0.1,4,2557,41.42245038641322,37.90558711587698,0.018771998435666796,0.8717246773562769
H01,0.1,5,1855,35.07266391410854,34.350149562789966,0.003234501347708895,0.8679245283018868
H01,0.1,6,4365,19.659158315306275,15.837284878359014,0.44123711340206184,0.4875143184421535
