scheme,method,stage,origin_site,destination_site,active_stage_observations,total_flow_kg,mean_flow_kg_per_active_stage_observation,mean_flow_kg_per_all_oos_path,nonzero_active_stage_share,transport_cost_yuan,weighted_unit_cost_yuan_per_kg,c_d
Reference_08,saa,1,1,2,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,1,1,3,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,1,1,4,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,1,2,1,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,1,2,3,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,1,2,4,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,1,3,1,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,1,3,2,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,1,3,4,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,1,4,1,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,1,4,2,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,1,4,3,10000,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,2,1,2,8901,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,2,1,3,8901,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,2,1,4,8901,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,2,2,1,8901,1499.2397819570094,0.16843498280608996,0.14992397819570094,0.05965621840242669,38290.60706414471,25.54001536309466,0.8
Reference_08,saa,2,2,3,8901,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,2,2,4,8901,2167.843835911823,0.24355059385595143,0.21678438359118232,0.010672958094596112,49504.52290141272,22.83583442743258,0.8
Reference_08,saa,2,3,1,8901,23741.012151927545,2.667229766534956,2.3741012151927547,0.1261655993708572,616429.5303762121,25.9647535847019,0.8
Reference_08,saa,2,3,2,8901,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,2,3,4,8901,13056.407231899695,1.4668472342320737,1.3056407231899696,0.06179081002134592,315950.4036434104,24.198877840718204,0.8
Reference_08,saa,2,4,1,8901,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,2,4,2,8901,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,2,4,3,8901,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,3,1,2,7930,117.92355066356076,0.014870561243828597,0.011792355066356076,0.0021437578814627995,4036.1498298031647,34.226834309954036,0.8
Reference_08,saa,3,1,3,7930,20.716621610680107,0.002612436520892826,0.0020716621610680106,0.001008827238335435,738.1954906932965,35.63300544683078,0.8
Reference_08,saa,3,1,4,7930,73.37688061528642,0.009253074478598541,0.007337688061528643,0.0018915510718789407,2228.344921480987,30.368488041405804,0.8
Reference_08,saa,3,2,1,7930,7736.797697476979,0.9756365318382069,0.7736797697476979,0.19596469104665826,225438.5127421026,29.138478419258604,0.8
Reference_08,saa,3,2,3,7930,403.6277429333916,0.05089883265238226,0.040362774293339156,0.018915510718789406,3391.2644057978778,8.401960631228263,0.8
Reference_08,saa,3,2,4,7930,7777.127852705128,0.9807223017282637,0.7777127852705128,0.0957124842370744,184005.57706399128,23.659836966675094,0.8
Reference_08,saa,3,3,1,7930,31239.97553514111,3.9394672805978574,3.123997553514111,0.48663303909205546,861407.0356578049,27.57387036647415,0.8
Reference_08,saa,3,3,2,7930,1048.4644541817427,0.13221493747562962,0.10484644541817427,0.03329129886506936,8300.583724421123,7.916895695714531,0.8
Reference_08,saa,3,3,4,7930,2898.3888528243115,0.3654967027521202,0.2898388852824311,0.03064312736443884,75186.56836526113,25.940814770935994,0.8
Reference_08,saa,3,4,1,7930,1179.9758737517013,0.14879897525242147,0.11799758737517013,0.057629255989911726,27572.708106310525,23.36717954973422,0.8
Reference_08,saa,3,4,2,7930,30.989349356182213,0.003907862466101162,0.003098934935618221,0.0011349306431273644,839.8514959902698,27.101294910624635,0.8
Reference_08,saa,3,4,3,7930,0.0,0.0,0.0,0.0,0.0,,0.8
Reference_08,saa,4,1,2,5865,128.2052206498027,0.0218593726598129,0.01282052206498027,0.005115089514066497,4449.807809403166,34.7084758861574,0.8
Reference_08,saa,4,1,3,5865,26.444860869277523,0.004508927684446295,0.0026444860869277525,0.0027280477408354645,925.3792028423262,34.992780163097436,0.8
Reference_08,saa,4,1,4,5865,2040.1954870605055,0.34785941808363235,0.20401954870605055,0.043478260869565216,60390.73885865141,29.600466838431167,0.8
Reference_08,saa,4,2,1,5865,2476.388882057258,0.42223169344539785,0.2476388882057258,0.10639386189258312,79333.94460069585,32.036141486303734,0.8
Reference_08,saa,4,2,3,5865,857.3122158236968,0.14617429084803013,0.08573122158236968,0.04416027280477408,8010.671754042938,9.34393748996842,0.8
Reference_08,saa,4,2,4,5865,4244.778641018447,0.7237474238735631,0.42447786410184474,0.10230179028132992,114032.23897110208,26.864119101330193,0.8
Reference_08,saa,4,3,1,5865,7517.115489881622,1.2816906206106777,0.7517115489881622,0.2794543904518329,224827.27694579258,29.9087166145605,0.8
Reference_08,saa,4,3,2,5865,2265.4917429323914,0.3862731019492567,0.22654917429323915,0.07280477408354646,20341.25463776163,8.978737045155794,0.8
Reference_08,saa,4,3,4,5865,3282.3725784182093,0.5596543185708793,0.32823725784182095,0.08627450980392157,99695.93771103863,30.37313264391289,0.8
Reference_08,saa,4,4,1,5865,701.2181911460309,0.1195597938867912,0.07012181911460309,0.03580562659846547,20169.312275988992,28.76324734677151,0.8
Reference_08,saa,4,4,2,5865,21.76742091168201,0.0037114102151205464,0.0021767420911682008,0.001534526854219949,596.7700858465429,27.415746140429153,0.8
Reference_08,saa,4,4,3,5865,20.787800561503243,0.0035443820224216947,0.002078780056150324,0.0018755328218243818,734.6310948983871,35.33952967871187,0.8
Reference_08,saa,5,1,2,2577,48.327271416094206,0.018753306719477766,0.004832727141609421,0.006208769887466045,1609.8907246884796,33.31226194889921,0.8
Reference_08,saa,5,1,3,2577,14.55400598327132,0.005647654630683476,0.0014554005983271321,0.0034924330616996507,510.96728512749604,35.108360249048445,0.8
Reference_08,saa,5,1,4,2577,2222.9751255370916,0.8626213137512967,0.22229751255370916,0.09817617384555685,65043.31059920246,29.259576435200724,0.8
Reference_08,saa,5,2,1,2577,1267.87303775709,0.49199574612226965,0.12678730377570901,0.16647264260768335,37428.72583413453,29.52087844721992,0.8
Reference_08,saa,5,2,3,2577,290.088207945293,0.11256818313748268,0.029008820794529298,0.12727978269305393,2680.0596113867223,9.238774751892528,0.8
