scheme,method,stage,active_stage_observations,total_htt_kg,mean_htt_kg_per_active_stage_observation,mean_htt_kg_per_all_oos_path,nonzero_active_stage_share,stage4_6
Reference_08,saa,1,10000,0.0,0.0,0.0,0.0,False
Reference_08,saa,2,8901,40464.50300169608,4.546062577429062,4.046450300169608,0.16121784069205708,False
Reference_08,saa,3,7930,52527.364411260074,6.623879497006315,5.252736441126007,0.5559899117276167,False
Reference_08,saa,4,5865,23582.078531330426,4.02081475385003,2.3582078531330426,0.4883205456095482,True
Reference_08,saa,5,2577,14251.872651062411,5.530412359744824,1.4251872651062412,0.6360108653473031,True
Reference_08,saa,6,455,2847.1059617580054,6.257375740127484,0.2847105961758005,0.7912087912087912,True
Reference_08,chi2_eta003,1,10000,0.0,0.0,0.0,0.0,False
Reference_08,chi2_eta003,2,8901,42011.41283985839,4.719853144574587,4.201141283985839,0.15706100438153017,False
Reference_08,chi2_eta003,3,7930,118180.96714606536,14.903022338721987,11.818096714606536,0.6419924337957125,False
Reference_08,chi2_eta003,4,5865,44710.57444202089,7.623286349875684,4.4710574442020885,0.6567774936061381,True
Reference_08,chi2_eta003,5,2577,13791.741982991385,5.351859519981135,1.3791741982991386,0.7198292588280947,True
Reference_08,chi2_eta003,6,455,1557.081419668359,3.422156966304086,0.1557081419668359,0.7032967032967034,True
H04,saa,1,10000,0.0,0.0,0.0,0.0,False
H04,saa,2,8901,68628.95170729418,7.710251848926434,6.862895170729418,0.16290304460173013,False
H04,saa,3,7930,95548.32385066265,12.048968959730473,9.554832385066264,0.6273644388398487,False
H04,saa,4,5865,44476.377896279024,7.583355140030524,4.447637789627902,0.7393009377664109,True
H04,saa,5,2577,20630.542521613534,8.005643198142621,2.0630542521613533,0.8987194412107101,True
H04,saa,6,455,3910.1168017756017,8.593663300605717,0.39101168017756016,0.8131868131868132,True
H04,chi2_eta003,1,10000,0.0,0.0,0.0,0.0,False
H04,chi2_eta003,2,8901,63891.92128955971,7.178061036912673,6.389192128955971,0.14987080103359174,False
H04,chi2_eta003,3,7930,156380.73763922392,19.72014346017956,15.638073763922392,0.6614123581336696,False
H04,chi2_eta003,4,5865,69567.16781847604,11.8614096877197,6.956716781847604,0.7208866155157715,True
H04,chi2_eta003,5,2577,20616.955562697294,8.000370804306284,2.0616955562697292,0.9138533178114087,True
H04,chi2_eta003,6,455,3031.9384056033578,6.6636008914359515,0.30319384056033577,0.6615384615384615,True
H02,saa,1,10000,0.0,0.0,0.0,0.0,False
H02,saa,2,8901,72626.14297650717,8.159324005899018,7.262614297650717,0.16290304460173013,False
H02,saa,3,7930,146769.54351466795,18.508139156956865,14.676954351466796,0.6223203026481715,False
H02,saa,4,5865,95595.56139114805,16.29932845543871,9.559556139114804,0.8368286445012788,True
H02,saa,5,2577,22388.008010054393,8.687624373323397,2.238800801005439,0.9157935584012418,True
H02,saa,6,455,4144.3562813765475,9.10847534368472,0.4144356281376547,0.756043956043956,True
H02,chi2_eta003,1,10000,0.0,0.0,0.0,0.0,False
H02,chi2_eta003,2,8901,64600.68672358869,7.257688655610458,6.460068672358869,0.16290304460173013,False
H02,chi2_eta003,3,7930,207967.21164392048,26.225373473382156,20.79672116439205,0.6702395964691047,False
H02,chi2_eta003,4,5865,105252.79500208702,17.94591560137886,10.525279500208702,0.8218243819266837,True
H02,chi2_eta003,5,2577,26236.69074957585,10.181098467045343,2.623669074957585,0.9320915793558401,True
H02,chi2_eta003,6,455,2225.180683561705,4.890506996838912,0.2225180683561705,0.5802197802197803,True
H01,saa,1,10000,0.0,0.0,0.0,0.0,False
H01,saa,2,8901,81685.38105481322,9.177101567780387,8.168538105481321,0.16290304460173013,False
H01,saa,3,7930,203413.1767746751,25.651094170829143,20.34131767746751,0.6206809583858764,False
H01,saa,4,5865,143513.31441084092,24.46944832239402,14.351331441084092,0.9048593350383631,True
H01,saa,5,2577,23109.04555906427,8.96742163719995,2.310904555906427,0.9080325960419092,True
H01,saa,6,455,4936.932938991441,10.850402063717453,0.4936932938991441,0.8153846153846154,True
H01,chi2_eta003,1,10000,0.0,0.0,0.0,0.0,False
H01,chi2_eta003,2,8901,78702.84771335748,8.84202311126362,7.870284771335748,0.16290304460173013,False
H01,chi2_eta003,3,7930,230380.70960878127,29.05179188004808,23.038070960878127,0.6680958385876419,False
H01,chi2_eta003,4,5865,132583.4818458521,22.60587925760479,13.258348184585211,0.8789428815004262,True
H01,chi2_eta003,5,2577,28704.331100344636,11.13866166097968,2.8704331100344636,0.9445091191307722,True
H01,chi2_eta003,6,455,2188.9164089361375,4.810805294365137,0.21889164089361374,0.7318681318681318,True
