scheme,method,c_d,mean_htt_kg_per_path,nonzero_htt_path_share,stage4_6_total_htt_kg,stage4_6_mean_htt_kg_per_path,stage4_6_share,total_transport_cost_yuan,mean_transport_cost_yuan_per_path,weighted_transport_cost_yuan_per_kg,stage4_cost_yuan_per_kg,stage5_cost_yuan_per_kg,stage6_cost_yuan_per_kg,mean_local_production_marginal_cost_yuan_per_kg,transport_to_local_production_cost_ratio
Reference_08,saa,0.8,13.367292455710622,0.7026,40681.05714415084,4.068105714415084,0.3043328129382798,3480164.2918410436,348.01642918410437,26.03492295370735,26.86395786132275,25.671406792811602,23.69804728928471,33.136752136752136,0.78568119308325
Reference_08,chi2_eta003,0.8,22.025177783060293,0.7827,60059.39784468063,6.005939784468063,0.2726851898143238,5789891.63053226,578.989163053226,26.287604520428566,27.10167479789481,26.343710529879804,24.6846941371186,33.136752136752136,0.793306610495265
H04,saa,0.4,23.319431277762305,0.7827,69017.03721966816,6.901703721966816,0.2959636382105213,2918404.3141701296,291.84043141701295,12.514903470019043,12.344022808779268,12.92554417633567,12.54313827128335,33.136752136752136,0.3776744147516709
H04,chi2_eta003,0.4,31.348872071555764,0.7825,93216.06178677669,9.32160617867767,0.29735060825794424,4030733.463734665,403.0733463734665,12.857666631623076,12.861834644950637,13.187156324291015,12.817817236862124,33.136752136752136,0.3880183120711632
H02,saa,0.2,34.152361217375564,0.7827,122127.92568257898,12.212792568257898,0.3575973119552418,2121570.2719645663,212.15702719645662,6.21207493813105,5.954568202406593,6.283812423133913,5.957661557323132,33.136752136752136,0.18746782764027156
H02,chi2_eta003,0.2,40.628256480273514,0.7827,133714.6664352246,13.371466643522458,0.3291174124101248,2595718.4438117677,259.5718443811768,6.388948649746001,6.35621966916433,6.29948161457659,6.240237897854781,33.136752136752136,0.19280551767353163
H01,saa,0.1,45.6657850738381,0.7827,171559.29290889663,17.155929290889663,0.37568453631421606,1402569.3972878954,140.25693972878955,3.0713791409044675,2.9761422404518325,3.020082967683537,3.0074656492481133,33.136752136752136,0.09268799574047529
H01,chi2_eta003,0.1,47.25602866772706,0.7827,163476.72935513288,16.347672935513287,0.34593835742015494,1474741.2399808427,147.47412399808428,3.120747302635687,3.076019409074925,3.1057541535699063,3.1357941252400545,33.136752136752136,0.09417782677543858
