scheme,method,c_d,mean_production_kg,mean_final_inventory_kg,mean_htt_kg,nonzero_htt_path_share,mean_ordinary_shortage_kg,mean_terminal_gap_kg,mean_operating_cost_yuan,mean_transport_cost_yuan,mean_reported_objective_yuan
Reference_08,saa,0.8,328.09529075028354,377.9490383728805,13.367292455710622,0.7026,7.065802240457056,1.3043264136589787,11365.68922477089,348.0164291841013,13974.342052088812
Reference_08,chi2_eta003,0.8,354.3162749739524,404.7714135418912,22.025177783060293,0.7827,7.667193185802705,1.422045101869462,12669.01301267495,578.9891630532242,15513.103216414007
H04,saa,0.4,331.96511955189186,381.61237637739924,23.319431277762305,0.7827,6.859311443372059,1.1802769872825523,11397.142595878744,291.8404314169246,13757.69657044383
H04,chi2_eta003,0.4,358.76201068728363,408.9304287916261,31.348872071555764,0.7825,7.380472722208512,1.292968322838141,12594.526594683975,403.0733463734658,15180.463240360425
H02,saa,0.2,334.21348142055933,383.4772012963291,34.152361217375564,0.7827,6.475774493631734,1.109606950003445,11314.93185102399,212.1570271964553,13534.145751030841
H02,chi2_eta003,0.2,362.1014780736752,412.19035142391726,40.628256480273514,0.7827,7.300927968110952,1.2017147633079475,12538.586603062337,259.5718443811779,14942.016129678434
H01,saa,0.1,334.86308069199214,383.8853183000615,45.6657850738381,0.7827,6.234292225936848,1.1016634403168823,11214.217778274226,140.25693972879887,13417.544658907937
H01,chi2_eta003,0.1,362.9742078267323,413.10529133198844,47.25602866772706,0.7827,7.343138123131866,1.170240943528465,12445.96439678949,147.47412399808536,14786.446283846566
