scheme,c_d,mean_delta_I_kg,delta_I_le1_share,delta_I_gt10_share,delta_I_gt20_share,delta_I_20_50_share
Reference_08,0.8,26.82237516901269,0.1289,0.849,0.7264,0.6666
H04,0.4,27.31805241423137,0.1338,0.8309,0.6979,0.6429
H02,0.2,28.713150127591675,0.1646,0.8029,0.7001,0.6182
H01,0.1,29.219973031931424,0.2142,0.7603,0.691,0.5847
