mechanism,path_count,mean_target_kg,mean_final_inventory_kg,adequate_probability,positive_gap_probability,gap_if_positive_kg,adequate_surplus_mean_kg,adequate_surplus_median_kg,mean_production_kg,mean_final16h_production_kg,mean_final8h_production_kg,mean_HTT_kg,ordinary_shortage_probability,ordinary_shortage_if_positive_kg,mean_ordinary_shortage_kg,mean_actual_operating_cost_yuan,mean_terminal_a,terminal_a_mode,terminal_loc_mode,mean_arrival_after_stage,electrolyzer_binding_fraction_final16_path_hours,voltage_binding_fraction_final16_path_hours
PURE_QUANTITY_SHORTFALL,118,358.260593377,269.288661804,0,1,88.9719315728,,,287.045826365,148.884626334,88.8225709793,27.9401898761,0.440677966102,36.9051542632,16.2632883194,72982.9465649,3.92372881356,4,4,4.25423728814,0.666843220339,0.0757415254237
PURE_SPATIAL_MISMATCH,203,324.52056774,381.523304796,0,1,14.4028348256,,,408.39354222,183.702067673,94.5821112664,52.1132293341,0.399014778325,44.1720749278,17.6253106855,82226.1527404,3.84729064039,4,3,4.45812807882,0.822352216749,0.101908866995
MIXED_QUANTITY_AND_SPATIAL,152,350.111444841,311.465209346,0,1,53.7224877385,,,328.633260885,165.744341352,86.8195920786,37.3976002555,0.421052631579,49.2084693315,20.719355508,77220.7524209,3.91447368421,4,2,4.32894736842,0.754111842105,0.0962171052632
