site,shortfall_path_count,deficit_occurrence_count,deficit_occurrence_probability,mean_deficit_if_positive_kg,median_deficit_if_positive_kg,q95_deficit_if_positive_kg,max_deficit_kg
1,473,248,0.524312896406,23.1747855132,15.1831825186,63.7592378661,83.7095151491
2,473,209,0.441860465116,25.3293029398,16.1142919067,82.777744336,90.3944852018
3,473,304,0.642706131078,8.42165290736,5.84867201456,28.840976838,45.3911198143
4,473,318,0.672304439746,25.1161255531,18.6837150289,73.960108757,96.7734256767
