relative_path,size_bytes,sha256,artifact_type,lightweight
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/01_baseline_reproduction/baseline_reproduction_by_path.csv,233972,93cb5170be9e5beb68474d69024feac17b0a30804269a01f76950724b3fa0f31,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/01_baseline_reproduction/baseline_reproduction_QA.csv,1131,9750c6323918cd7e2380483b08566c6ddcf477b423a2e0da31612627cd7fd487,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/01_baseline_reproduction/pmax_recoverability_baseline_reproduction.csv,749,5ff6efe6f2ca6e55be7a0cf05ebab162b12c9c531ab2be63e2e5351f87bc7f94,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/01_baseline_reproduction/repository_preflight.csv,346,d166c9f4bf37971e57382216bdfca9260ec2c69398b158df619dfba18aa2ad09,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/02_counterfactual_recoverability/pmax_candidate_recoverability_by_path.csv,4026048,6eb403e2445cc858eb9f96f5d656c9920aa234191413dcd14732031da0b425e3,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/02_counterfactual_recoverability/pmax_candidate_recoverability_summary.csv,2077,e5c31e3d8c4299fb42e1900145df478155e5487109a5761b4ab8c91f829949d2,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/02_counterfactual_recoverability/pmax_failure_type_summary.csv,5200,1f9dcd0a9ee6ab0e863182de77c49aa458b0c66dca14ef250900d81c5b5bfa93,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/03_recoverability_window/recoverability_window_shift_by_path.csv,454214,f2abbbadbcdca65429c7571ffccfe42258f229d565edf3c964171cbebcf11dab,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/03_recoverability_window/recoverability_window_shift_summary.csv,694,963e7aaa52bcc5cdf48d665ecbbdf7cad2bcb743f63c7f916a6f29e7f880ff07,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/04_site_effectiveness/site_need_vs_pmax_effectiveness.csv,1218,e513a7c5573090ab5462284dda7ed3bb37dc4aea81a3edcbfb3599495e7a3957,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/04_site_effectiveness/site_specific_pmax_effectiveness.csv,1406,f87cbe4a9fb78d3d4c7b032a0142e31bf1d2e62e5a5c9cff060f0679e5f33de2,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/05_grid_hosting/pmax_grid_hosting_screen.csv,1356,a26c76a31315bde4404da2e6b1b4c136267e4298c5622f6eecf3b97a18d72254,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/06_recovered_path_mechanism/recovered_path_characteristics.csv,187073,fa027089ebad78eed1c3bcb3934ad167b1c7237ecd46bf2dd0269492fbfc90e5,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/07_tail_effect/pmax_tail_recoverability.csv,3932,f437b4843b22c9c641b59cdce533e005589cf6d2304c9939cd41d2a0b585bf5b,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/08_candidate_ranking/pmax_candidate_ranking.csv,2464,248189856cad0397209935217ba4945c283a9f2cad830077e4d00358383b4fe7,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/09_summary/final_status.csv,473,a35ed235181a0288ba8f47aafdae5412c0fe92a6648dd3b34d997d0c1b564239,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/09_summary/README.md,4855,c57693b5170718a9815d45ca27ad634ace4d729984c6d519de689d9d3a07001c,md,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/10_qa/main_qa.csv,4087,6bdb7b8bc13ab793defc33e3c0f2b2b27396ed8d7236f4be095687bf5573cd14,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/05_analysis/10_deep_penalty1000/17_pmax_flexibility_audit/10_qa/visual_audit.csv,2184,7d4e821bad8e83caa22da3aa84a810c5d8437bcaa2da29eead5efd00db614810,csv,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/06_figures/11_penalty1000_pmax_flexibility_audit/01_Base与各候选不可恢复路径数.png,74219,ce02756748f652ee186ce504886bfc1c2e1aae44ba6a03f2a978ed1cce49f20d,png,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/06_figures/11_penalty1000_pmax_flexibility_audit/02_四站125逐站扩容对比.png,56799,48f6fca49a2b54a6b1b36266285962cde80fbdc077f07ff1ae2028a86b4fd9cb,png,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/06_figures/11_penalty1000_pmax_flexibility_audit/03_四站150逐站扩容对比.png,57307,a972733f464e6397de92f2830446387cf47a6172853e94192019bc9af29ae561,png,True
results/task-002-stage2b-b3-smoke/stage89q-penalty1000-vs1500-long-training/run-003/06_figures/11_penalty1000_pmax_flexibility_audit/04_Targeted与Uniform对比.png,46742,f4ce6c375f86565190c5b768cbb1c4d70c399bf2da8c81f143743a814e01cdd8,png,True
