R,rho,GroupCount,min_cg_active_ratio_R2,mean_cg_active_ratio_R2,max_cg_active_ratio_R2,min_cg_final_active_constraints,mean_cg_final_active_constraints,max_cg_final_active_constraints,min_cg_iterations,mean_cg_iterations,max_cg_iterations,min_full_total_time_sec,mean_full_total_time_sec,max_full_total_time_sec,min_cg_total_time_sec,mean_cg_total_time_sec,max_cg_total_time_sec,min_cg_gurobi_solve_time_sec,mean_cg_gurobi_solve_time_sec,max_cg_gurobi_solve_time_sec,min_cg_separation_time_sec,mean_cg_separation_time_sec,max_cg_separation_time_sec,cg_total_gurobi_time_sec,cg_total_scan_time_sec,cg_gurobi_time_share,cg_separation_time_share
100,0,3,0.0199,0.0199,0.0199,199,199,199,2,2,2,0.0964808,0.123509833333333,0.1633515,0.1091816,0.178810033333333,0.2949806,0.0417431,0.0582179333333333,0.0760796,0.0091112,0.0164201333333333,0.0307641,0.0582179333333333,0.0164201333333333,0.780003233381358,0.219996766618642
100,0.02,3,0.0199,0.0207,0.0223,199,207,223,2,2.33333333333333,3,0.0770179,0.2307165,0.4158914,0.1296537,0.1776375,0.2428116,0.0479975,0.0862233,0.1420978,0.0089797,0.0134879333333333,0.0174654,0.0862233,0.0134879333333333,0.864730052147251,0.135269947852749
250,0,3,0.007984,0.008016,0.00808,499,501,505,2,2.33333333333333,3,0.2891683,0.3990065,0.4722831,0.3543211,0.443391266666667,0.539084,0.1146153,0.1456147,0.1826589,0.0604505,0.0757708666666667,0.0895714,0.1456147,0.0757708666666667,0.657742517691984,0.342257482308016
250,0.02,3,0.007984,0.00826133333333333,0.008528,499,516.333333333333,533,2,2.66666666666667,3,0.3726611,1.7975186,2.914446,0.4442015,0.549444666666667,0.7172794,0.0917565,0.234925233333333,0.3835966,0.0872054,0.0893002333333333,0.0934183,0.234925233333333,0.0893002333333333,0.724573660880433,0.275426339119567
500,0,3,0.003996,0.00399866666666667,0.004004,999,999.666666666667,1001,2,2.33333333333333,3,0.7426046,0.994014733333333,1.1938348,1.050762,1.20573793333333,1.4587301,0.2245342,0.345033933333333,0.4444265,0.2142332,0.293208933333333,0.3754538,0.345033933333333,0.293208933333333,0.5405997487059,0.4594002512941
500,0.02,3,0.003996,0.00418133333333333,0.004344,999,1045.33333333333,1086,2,3,4,1.1393427,5.4385483,9.8263027,1.138095,1.60040243333333,1.8782364,0.2415465,0.703394033333333,0.9494175,0.2991585,0.372829,0.4679713,0.703394033333333,0.372829,0.653576453530032,0.346423546469968
1000,0,3,0.001999,0.00200633333333333,0.002013,1999,2006.33333333333,2013,2,2.66666666666667,3,3.6996845,4.06441316666667,4.2888195,3.2666639,4.076799,4.491278,0.5069507,0.895758266666667,1.2161688,0.9895129,1.4286797,1.673396,0.895758266666667,1.4286797,0.38536552900623,0.61463447099377
1000,0.02,3,0.002131,0.002441,0.002993,2131,2441,2993,3,3.66666666666667,4,3.4072385,24.0471240333333,46.5860616,4.1096013,5.77341823333333,7.2946377,0.557639,2.08981093333333,3.4803259,1.6607539,2.00791706666667,2.2768272,2.08981093333333,2.00791706666667,0.509992594270126,0.490007405729874
