experiment,dt_h,pmax1_kw,pmax2_kw,pmax3_kw,pmax4_kw,rmax1_kg,rmax2_kg,rmax3_kg,rmax4_kg,htt_capacity_kg_per_stage,expanded_ordinary_demand_total_kg,holding_cost,ordinary_shortage_penalty,terminal_gap_penalty
E1_8h,8,300,200,120,150,46.8,31.2,18.72,23.4,160,288,0.05,200,2000
E2_6h_pmax_4over3,6,400,266.666666666667,160,200,46.8,31.2,18.72,23.4,160,288,0.05,200,2000
E3_8h_htt_4over3,8,300,200,120,150,46.8,31.2,18.72,23.4,213.333333333333,288,0.05,200,2000
