N,a0,loc0,lfw0,stage,stage_index,distribution_type,seed_pair_count,mean_pairwise_tv,max_pairwise_tv,mean_max_abs_error,std_max_abs_error,mean_tv_to_exact,std_tv_to_exact,seed_count
500,2,1,0,W1,1,intensity,10,0.0258,0.044,0.019,0.00543139024560011,0.0192,0.00554075807087803,5
500,2,1,0,W1,1,loc,10,0.0472,0.068,0.0224,0.0082945765413311,0.0336,0.0138130373198656,5
500,2,1,0,W1,1,lfw,10,0.0222,0.046,0.02,0.00400000000000002,0.02,0.00400000000000001,5
500,2,1,0,W1,1,joint,10,0.1188,0.168,0.019753,0.00515562356800805,0.09149244,0.00857961529691164,5
500,2,1,0,W2,2,intensity,10,0.0246,0.05,0.0190428000000001,0.0122799931677506,0.0196270666666667,0.0124937972352506,5
500,2,1,0,W2,2,loc,10,0.0746,0.12,0.0261674031007752,0.00928624178569908,0.0524909302325582,0.0177385245910825,5
500,2,1,0,W2,2,lfw,10,0.0404,0.076,0.02794,0.0118561376510228,0.03064,0.0106629264275808,5
500,2,1,0,W2,2,joint,10,0.1762,0.198,0.0152745563067006,0.00439006946405979,0.134119521918921,0.00231696950426574,5
500,2,1,0,W3,3,intensity,10,0.0176,0.036,0.0151548234444446,0.0135203550249245,0.0166226483777778,0.0126026873400362,5
500,2,1,0,W3,3,loc,10,0.071,0.096,0.0240513481949702,0.00184994030117371,0.0521028981859564,0.00313921672442863,5
500,2,1,0,W3,3,lfw,10,0.0318,0.054,0.0215546,0.00829847581185847,0.022798,0.0102927353992998,5
500,2,1,0,W3,3,joint,10,0.2008,0.224,0.0154740289147579,0.00356188245173121,0.156553206835245,0.00404635460194343,5
500,2,2,0,W1,1,intensity,10,0.0212,0.032,0.0136,0.00733484832835691,0.014,0.00707106781186548,5
500,2,2,0,W1,1,loc,10,0.0614,0.082,0.0292,0.00867179335547152,0.0384,0.00654217089351846,5
500,2,2,0,W1,1,lfw,10,0.028,0.052,0.02,0.00734846922834953,0.02,0.00734846922834954,5
500,2,2,0,W1,1,joint,10,0.114,0.142,0.0188905,0.00466727516866105,0.08324062,0.0124788191641677,5
500,2,2,0,W2,2,intensity,10,0.0254,0.0439999999999999,0.0218998666666666,0.0113225575551149,0.0242871999999999,0.010008130032906,5
500,2,2,0,W2,2,loc,10,0.0758,0.094,0.0242521705426357,0.00344162448722708,0.0523210465116279,0.00855011650384267,5
500,2,2,0,W2,2,lfw,10,0.0284,0.046,0.01808,0.0099268323245636,0.0188,0.0100204790304656,5
