a0,loc0,lfw0,stage,stage_index,distribution_type,state_a,state_loc,state_lfw,exact_probability
2,1,0,W1,1,intensity,1,NaN,NaN,0.142
2,1,0,W1,1,intensity,2,NaN,NaN,0.841
2,1,0,W1,1,intensity,3,NaN,NaN,0.012
2,1,0,W1,1,intensity,4,NaN,NaN,0.005
2,1,0,W1,1,intensity,5,NaN,NaN,0
2,1,0,W1,1,intensity,6,NaN,NaN,0
2,1,0,W1,1,loc,NaN,-2,NaN,0.04
2,1,0,W1,1,loc,NaN,-1,NaN,0.1
2,1,0,W1,1,loc,NaN,0,NaN,0.22
2,1,0,W1,1,loc,NaN,1,NaN,0.18
2,1,0,W1,1,loc,NaN,2,NaN,0.28
2,1,0,W1,1,loc,NaN,3,NaN,0.13
2,1,0,W1,1,loc,NaN,4,NaN,0.05
2,1,0,W1,1,loc,NaN,5,NaN,0
2,1,0,W1,1,loc,NaN,6,NaN,0
2,1,0,W1,1,loc,NaN,7,NaN,0
2,1,0,W1,1,loc,NaN,8,NaN,0
2,1,0,W1,1,loc,NaN,9,NaN,0
2,1,0,W1,1,loc,NaN,10,NaN,0
2,1,0,W1,1,lfw,NaN,NaN,0,0.23
2,1,0,W1,1,lfw,NaN,NaN,1,0.75
2,1,0,W1,1,lfw,NaN,NaN,2,0.02
2,1,0,W1,1,lfw,NaN,NaN,3,0
2,1,0,W1,1,joint,1,-2,0,0.0013064
2,1,0,W1,1,joint,2,-2,0,0.0077372
2,1,0,W1,1,joint,3,-2,0,0.0001104
2,1,0,W1,1,joint,4,-2,0,4.6e-05
2,1,0,W1,1,joint,5,-2,0,0
2,1,0,W1,1,joint,6,-2,0,0
2,1,0,W1,1,joint,1,-1,0,0.003266
2,1,0,W1,1,joint,2,-1,0,0.019343
2,1,0,W1,1,joint,3,-1,0,0.000276
2,1,0,W1,1,joint,4,-1,0,0.000115
2,1,0,W1,1,joint,5,-1,0,0
2,1,0,W1,1,joint,6,-1,0,0
2,1,0,W1,1,joint,1,0,0,0.0071852
2,1,0,W1,1,joint,2,0,0,0.0425546
2,1,0,W1,1,joint,3,0,0,0.0006072
2,1,0,W1,1,joint,4,0,0,0.000253
2,1,0,W1,1,joint,5,0,0,0
2,1,0,W1,1,joint,6,0,0,0
2,1,0,W1,1,joint,1,1,0,0.0058788
2,1,0,W1,1,joint,2,1,0,0.0348174
2,1,0,W1,1,joint,3,1,0,0.0004968
2,1,0,W1,1,joint,4,1,0,0.000207
2,1,0,W1,1,joint,5,1,0,0
2,1,0,W1,1,joint,6,1,0,0
2,1,0,W1,1,joint,1,2,0,0.0091448
2,1,0,W1,1,joint,2,2,0,0.0541604
2,1,0,W1,1,joint,3,2,0,0.0007728
2,1,0,W1,1,joint,4,2,0,0.000322
2,1,0,W1,1,joint,5,2,0,0
2,1,0,W1,1,joint,6,2,0,0
2,1,0,W1,1,joint,1,3,0,0.0042458
2,1,0,W1,1,joint,2,3,0,0.0251459
2,1,0,W1,1,joint,3,3,0,0.0003588
2,1,0,W1,1,joint,4,3,0,0.0001495
2,1,0,W1,1,joint,5,3,0,0
2,1,0,W1,1,joint,6,3,0,0
2,1,0,W1,1,joint,1,4,0,0.001633
2,1,0,W1,1,joint,2,4,0,0.0096715
2,1,0,W1,1,joint,3,4,0,0.000138
2,1,0,W1,1,joint,4,4,0,5.75e-05
2,1,0,W1,1,joint,5,4,0,0
2,1,0,W1,1,joint,6,4,0,0
2,1,0,W1,1,joint,1,5,0,0
2,1,0,W1,1,joint,2,5,0,0
2,1,0,W1,1,joint,3,5,0,0
2,1,0,W1,1,joint,4,5,0,0
2,1,0,W1,1,joint,5,5,0,0
2,1,0,W1,1,joint,6,5,0,0
2,1,0,W1,1,joint,1,6,0,0
2,1,0,W1,1,joint,2,6,0,0
2,1,0,W1,1,joint,3,6,0,0
2,1,0,W1,1,joint,4,6,0,0
2,1,0,W1,1,joint,5,6,0,0
2,1,0,W1,1,joint,6,6,0,0
2,1,0,W1,1,joint,1,7,0,0
2,1,0,W1,1,joint,2,7,0,0
2,1,0,W1,1,joint,3,7,0,0
2,1,0,W1,1,joint,4,7,0,0
2,1,0,W1,1,joint,5,7,0,0
2,1,0,W1,1,joint,6,7,0,0
2,1,0,W1,1,joint,1,8,0,0
2,1,0,W1,1,joint,2,8,0,0
2,1,0,W1,1,joint,3,8,0,0
2,1,0,W1,1,joint,4,8,0,0
2,1,0,W1,1,joint,5,8,0,0
2,1,0,W1,1,joint,6,8,0,0
2,1,0,W1,1,joint,1,9,0,0
2,1,0,W1,1,joint,2,9,0,0
2,1,0,W1,1,joint,3,9,0,0
2,1,0,W1,1,joint,4,9,0,0
2,1,0,W1,1,joint,5,9,0,0
2,1,0,W1,1,joint,6,9,0,0
2,1,0,W1,1,joint,1,10,0,0
2,1,0,W1,1,joint,2,10,0,0
2,1,0,W1,1,joint,3,10,0,0
2,1,0,W1,1,joint,4,10,0,0
