N,error_observation_count,p95_max_abs_error,worst_max_abs_error,mean_joint_tv,worst_joint_tv,mean_seed_pairwise_tv,max_seed_pairwise_tv,criterion_p95_pass,criterion_worst_pass,criterion_mean_joint_tv_pass,meets_all_criteria,recommended
500,2100,0.0408,0.076,0.156715062532177,0.260576577749378,0.0862914285714286,0.368,0,0,0,0,0
1000,2100,0.03004,0.051,0.111973432432669,0.189405250344689,0.0624383333333333,0.274,0,0,0,0,0
2000,2100,0.0205,0.036005,0.0795619363909079,0.129183460209346,0.0443516666666667,0.188,0,1,0,0,0
5000,2100,0.0133,0.023497,0.0508740733301302,0.080925940713775,0.0285177142857143,0.1166,1,1,0,0,0
10000,2100,0.00940000000000007,0.0163,0.0359742731220164,0.056903343486153,0.0202887619047619,0.0838,1,1,0,0,0
