check,pass,external_checkpoint_sha256
candidate_id,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
metadata_pmax,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
params_pmax,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
grid_copy_pmax,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
penalty,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
seed,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
iterations,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
fresh_zero_cuts,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
source_commit,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
terminal_identity,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
result_candidate,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
result_pmax,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
state_LB_length,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
state_LB_finite,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
cut_count,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
minimal_solve,1,37244755f38656c4adb3ce4561cbe574f783f76ee4311f9ba40c74a22a988cc4
