time_h,event,station_total_kg,onboard_total_kg,consumed_H2_kg,original_total_kg,mass_error_kg,case
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-1
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-1
0.21666666666666665,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-1
0.21666666666666665,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-1
0.25,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-1
0.25,FINAL,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-1
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-2
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-2
0.3,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-2
0.3,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-2
0.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-2
0.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-2
0.5166666666666666,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-2
0.5166666666666666,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-2
0.6,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-2
0.6,FINAL,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-2
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
0.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
0.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.0,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.4,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.4,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.6166666666666665,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.6166666666666665,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.7666666666666664,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.7666666666666664,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.9,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
1.9,FINAL,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-3
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
