site,actual_inventory_kg,station_initial_kg,vehicle_initial_kg,error_kg
1,84.1553559615926,69.1553559615926,15.0,0.0
2,58.5009093832021,55.5009093832021,3.0,0.0
3,35.3376415005701,33.3376415005701,2.0,0.0
4,45.9373084666148,37.9373084666148,8.0,0.0
