check,result,actual,expected
B2_retained_hash_00_report_zh.md,PASS,,
B2_retained_hash_analysis_control_card.json,PASS,,
B2_retained_hash_C_identity_full_QA.csv,PASS,,
B2_retained_hash_C_MFCV_example_state01_M12.npz,PASS,,
B2_retained_hash_C_MFCV_example_state01_M23.npz,PASS,,
B2_retained_hash_C_MFCV_example_state01_W1.npz,PASS,,
B2_retained_hash_C_MFCV_example_state01_W2.npz,PASS,,
B2_retained_hash_C_MFCV_example_state01_W3.npz,PASS,,
B2_retained_hash_C_MFCV_example_state18_M12.npz,PASS,,
B2_retained_hash_C_MFCV_example_state18_M23.npz,PASS,,
B2_retained_hash_C_MFCV_example_state18_W1.npz,PASS,,
B2_retained_hash_C_MFCV_example_state18_W2.npz,PASS,,
B2_retained_hash_C_MFCV_example_state18_W3.npz,PASS,,
B2_retained_hash_C_MFCV_example_state35_M12.npz,PASS,,
B2_retained_hash_C_MFCV_example_state35_M23.npz,PASS,,
B2_retained_hash_C_MFCV_example_state35_W1.npz,PASS,,
B2_retained_hash_C_MFCV_example_state35_W2.npz,PASS,,
B2_retained_hash_C_MFCV_example_state35_W3.npz,PASS,,
B2_retained_hash_C_MFCV_W0_and_examples.npz,PASS,,
B2_retained_hash_closeout_source_manifest.csv,PASS,,
B2_retained_hash_continuous_boundary_exposure.csv,PASS,,
B2_retained_hash_edge_open_closed_QA.csv,PASS,,
B2_retained_hash_effective_speed_quantiles.csv,PASS,,
B2_retained_hash_effective_speed_threshold_shares.csv,PASS,,
B2_retained_hash_final_closeout.json,PASS,,
B2_retained_hash_final_summary.json,PASS,,
B2_retained_hash_fleet_inventory_upper_bound.csv,PASS,,
B2_retained_hash_independent_shortest_path_QA.csv,PASS,,
B2_retained_hash_independent_validation.csv,PASS,,
B2_retained_hash_loading_rate_scale.csv,PASS,,
B2_retained_hash_OD_equivalent_distance_histogram.npz,PASS,,
B2_retained_hash_OD_equivalent_distance_quantiles.csv,PASS,,
B2_retained_hash_OD_travel_time_quantiles.csv,PASS,,
B2_retained_hash_P_H_inventory_joint.csv,PASS,,
B2_retained_hash_P_H_joint_scale.csv,PASS,,
B2_retained_hash_physical_edge_identity.csv,PASS,,
B2_retained_hash_preflight.json,PASS,,
B2_retained_hash_prelog_QA.json,PASS,,
B2_retained_hash_question_coverage.csv,PASS,,
B2_retained_hash_source_manifest.csv,PASS,,
B2_retained_hash_station_inventory_scale.csv,PASS,,
B2_retained_hash_summary.json,PASS,,
B2_closeout_PASS,PASS,,
B2_reach_C_MFCV_example_state01_M12,PASS,,
B2_C_C_MFCV_example_state01_M12,PASS,0.0,1e-10
formal_source_C_MFCV_example_state01_M12,PASS,,
edge_time_C_MFCV_example_state01_M12,PASS,,
route_C_MFCV_example_state01_M12_24_1,PASS,,
route_C_MFCV_example_state01_M12_24_2,PASS,,
route_C_MFCV_example_state01_M12_24_3,PASS,,
route_C_MFCV_example_state01_M12_24_4,PASS,,
route_C_MFCV_example_state01_M12_24_5,PASS,,
route_C_MFCV_example_state01_M12_24_6,PASS,,
route_C_MFCV_example_state01_M12_24_7,PASS,,
route_C_MFCV_example_state01_M12_24_8,PASS,,
route_C_MFCV_example_state01_M12_24_9,PASS,,
route_C_MFCV_example_state01_M12_24_10,PASS,,
route_C_MFCV_example_state01_M12_24_11,PASS,,
route_C_MFCV_example_state01_M12_24_12,PASS,,
route_C_MFCV_example_state01_M12_24_13,PASS,,
route_C_MFCV_example_state01_M12_24_14,PASS,,
route_C_MFCV_example_state01_M12_24_15,PASS,,
route_C_MFCV_example_state01_M12_24_16,PASS,,
route_C_MFCV_example_state01_M12_24_17,PASS,,
route_C_MFCV_example_state01_M12_24_18,PASS,,
route_C_MFCV_example_state01_M12_24_19,PASS,,
