origin_site,destination_site,positive_flow_row_count,path_count,total_flow_kg,mean_positive_flow_kg,max_positive_flow_kg,mean_flow_per_all_paths_kg
1,2,73,70,900.206080876,12.331590149,36.5196354117,0.0900206080876
1,3,91,78,994.376632637,10.9272157433,30.7298594253,0.0994376632637
1,4,245,233,3931.25213528,16.0459270828,66.3513483209,0.393125213528
2,1,944,878,12042.4205124,12.7568013902,51.189007347,1.20424205124
2,3,2708,2529,10530.1966686,3.888551207,61.9260224284,1.05301966686
2,4,1496,1365,13776.1027083,9.20862480501,51.4933075805,1.37761027083
3,1,1599,1145,22373.3425935,13.9920841736,52.6742263569,2.23733425935
3,2,334,301,2606.54813537,7.80403633345,26.9705438234,0.260654813537
3,4,425,403,5538.33545264,13.0313775356,38.7799669651,0.553833545264
4,1,180,179,1365.90880095,7.58838222752,25.9629271455,0.136590880095
4,2,32,32,160.382364212,5.01194888164,24.3714358593,0.0160382364212
4,3,9,9,39.9591957266,4.43991063629,9.0733140905,0.00399591957266
