audit,passed,observed,expected
full_raw_replay,1,true,true
scenario_hashes_recorded,1,4290,4290
replica_identity_unique,1,4290,4290
D_raw_sha256,1,6b6d913e8aff37fcc314be9bac79af44aba72ed402573403d0e9a21354ee3e28,6b6d913e8aff37fcc314be9bac79af44aba72ed402573403d0e9a21354ee3e28
A_raw_sha256,1,340e2006b172621d3eef1d9b0718e7debd1c5c485bba4447b0727dfb65d29a0c,340e2006b172621d3eef1d9b0718e7debd1c5c485bba4447b0727dfb65d29a0c
C_raw_sha256,1,4bb001e8df15434ccfe781326d2e4aa115c7690cbdd774a67e2aa3cc5422743b,4bb001e8df15434ccfe781326d2e4aa115c7690cbdd774a67e2aa3cc5422743b
DAC_business_logic,1,4290,4290
