unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,namespace,wind_seed,wind_stream_position,resistance_seed,resistance_stream_position,joint_stream_position,wind_q_W1,wind_q_W2,wind_q_W3,wind_W1_mps,wind_W2_mps,wind_W3_mps,failed_lines_W1,failed_lines_W2,failed_lines_W3,closed_roads_W1,closed_roads_W2,closed_roads_W3,damage_sha256,formal_scenario_sha256
3,1,1,SO-P0001-R01,STEP04CA2_SUPPORT_OUT_V1,1704202601,1,2704202601,1,1,0.821165611405413,0.782692288043018,0.0131955061170286,30.1778806557386,47.8015076707761,51.7310389851025,3,7,15,0,1,8,0bd4361f7d230e01bd94b9be502c99f646bf32495b47586b5f9934b7c1f1c12d,32192cdd69cee1dfb7e35c65af8e93ac1072730a6e1d36bae65dab80b56bf533
3,1,2,SO-P0001-R02,STEP04CA2_SUPPORT_OUT_V1,1704202601,2,2704202601,2,2,0.350749988084784,0.238628203122807,0.211774048837221,27.8921016139145,44.7469360963785,53.9286257831801,1,5,16,0,0,9,286855dcd8dcfd569b540a56c1f371698fc46726b28ad0eee500a6a4e96de0f9,518924f8a6450e37403eedb7e7f4bdff6303fdfe775545093f03581c7629e177
3,1,3,SO-P0001-R03,STEP04CA2_SUPPORT_OUT_V1,1704202601,3,2704202601,3,3,0.0442799964505928,0.870764346865574,0.685434472323267,25.7052407575093,48.5105165504907,56.4306998065576,0,13,21,0,4,18,ad54facacd459dfe57bf1e9bfe67af7e5b31d1bd43b71b3600636f776361b226,b8c54517c322f1c5acde7ca03ce927f33e155dd1dccdc4e392420d0b669840cf
3,1,4,SO-P0001-R04,STEP04CA2_SUPPORT_OUT_V1,1704202601,4,2704202601,4,4,0.949263083247689,0.598239768359376,0.633335506385419,31.3098742099859,46.686952761494,56.146441645519,4,8,18,0,0,13,35b4592e8f02d2348ce0359b62498f5b15051fd1ce27c198b85ff697d2434f0c,fabffb07e5149c29390da15777cb9d028734c27be263754b1aca4c968264831f
3,1,5,SO-P0001-R05,STEP04CA2_SUPPORT_OUT_V1,1704202601,5,2704202601,5,5,0.413343663745832,0.454222619050257,0.788689072977425,28.1823550737513,45.979682500986,57.0745782279448,1,6,18,0,3,13,c1fb415f42d5bbe208f7c799312b5edb3d6c17d50417472100c56f3d0c0fb3b9,4211018a53964314b00ce99d0f69bbe234697a47647de54bc1ca03bfa0bb216c
4,2,1,SO-P0002-R01,STEP04CA2_SUPPORT_OUT_V1,1704202601,6,2704202601,6,6,0.602297977698273,0.722351802774079,0.820636973576375,28.9879901935892,47.397644028166,57.3047815357272,2,16,30,0,11,26,c40fd84ef2c343ba1620c058afe02a666ca6d35c4a007af4234c6d270bd3512f,be12d49a580e418f24fa02da2b86b3affb7e70c3f25f7314ff7c713003274e22
4,2,2,SO-P0002-R02,STEP04CA2_SUPPORT_OUT_V1,1704202601,7,2704202601,7,7,0.371069195121089,0.294839032144001,0.370272493387443,27.9889719038633,45.109153424298,54.8724715598945,0,16,31,0,13,27,ae87c86cfba930a0e9e4829d4a0fd61323ce59c0fcb0b0f3fc58d52d8ba2467f,4b81b1c4281741e8e31cf47eb69d9bee9e5d2ce4a400f8c657f68ed90a37f19e
4,2,3,SO-P0002-R03,STEP04CA2_SUPPORT_OUT_V1,1704202601,8,2704202601,8,8,0.0793708199568625,0.243946528005474,0.0851024930306342,26.1136169770689,44.7829190680371,52.8565158140293,0,16,28,0,7,24,47ea00afbbd1117e32eb9dd233cc8c919b202914654c6561ad1505339e56da67,5efc401fe4d1d8a5882d05b4048a3743464aea061c50a3074e21323280a10ea1
4,2,4,SO-P0002-R04,STEP04CA2_SUPPORT_OUT_V1,1704202601,9,2704202601,9,9,0.980924842403358,0.539611114302448,0.529308899214518,31.8089497203352,46.3900131962368,55.6338816344707,3,15,28,0,15,29,f4a4d15f833afcf572c641e9a1efa0716ad0dc0d104502e9f670a55779e761c2,c8d98c903eb503efa66a3ce754c33309a85adf8c7b75ba4fa9273d41f81c0c6a
4,2,5,SO-P0002-R05,STEP04CA2_SUPPORT_OUT_V1,1704202601,10,2704202601,10,10,0.187651501955731,0.269118520224057,0.0827649805126609,26.9811101389615,44.9481380806892,52.8308418038604,0,15,30,0,13,26,49a9c1920d8814f874fd1ed642dbfa52504b8d9806d36250a54580afc11aa820,b47d71cda441af51f9cda3ba3f7245226e3099a659e1876269351814c50196b4
