unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,path_probability,total_demand_kg,operating_loss,shortage_kg,service_satisfaction_rate,unreachable_demand_kg,single_site_demand_kg,max_site_capacity_shadow_price,road_interruption_flag,irreplaceable_site_flag,shared_inventory_competition_flag,demand_pressure_flag,failure_mechanism
3,1,1,SO-P0001-R01,2.592e-15,282.846466464828,25292.9290173223,11.4556910236478,0.959498553519769,11.4556910236478,8.18263644546273,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
3,1,2,SO-P0001-R02,2.592e-15,365.763849112184,20906.3540455887,9.000900090009,0.975391498881432,9.000900090009,112.920382947386,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
3,1,3,SO-P0001-R03,2.592e-15,405.313258598587,111127.452005829,54.2781550882361,0.866083445491252,54.2781550882361,156.56111065652,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
3,1,4,SO-P0001-R04,2.592e-15,315.577012246679,57850.373550961,27.8209639145733,0.911840968020743,27.8209639145733,11.4556910236478,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
3,1,5,SO-P0001-R05,2.592e-15,238.932984207512,44498.6948692106,21.2748547582031,0.910958904109589,21.2748547582031,94.1003191228214,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
4,2,1,SO-P0002-R01,1.0368e-13,481.411777541391,323202.00526311,160.652428879252,0.66628895184136,160.652428879252,87.8269645146333,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
4,2,2,SO-P0002-R02,1.0368e-13,360.581512696724,320848.080151871,159.561410686523,0.557488653555219,159.561410686523,119.466492103756,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
4,2,3,SO-P0002-R03,1.0368e-13,384.583912936748,241435.600642032,119.739246651938,0.688652482269504,119.739246651938,84.008400840084,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
4,2,4,SO-P0002-R04,1.0368e-13,436.680031639528,354798.560153295,176.744947221995,0.595252966895691,176.744947221995,109.101819272836,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
4,2,5,SO-P0002-R05,1.0368e-13,394.403076671304,314128.79265355,156.288356108338,0.603734439834025,156.288356108338,99.2826555382811,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
5,3,1,SO-P0003-R01,2.7e-14,289.665330169381,157856.403725649,78.2805553282601,0.729755178907721,78.2805553282601,81.2808553582631,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
5,3,2,SO-P0003-R02,2.7e-14,283.11922101301,339658.391884233,169.380574421079,0.401734104046243,169.380574421079,65.4610915637018,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
5,3,3,SO-P0003-R03,2.7e-14,295.120421133022,222467.915407884,110.465592013747,0.625693160813309,110.465592013747,69.2796552382511,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
