unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,path_probability,STATE19_SAA_operating_loss,STATE19_DRO_operating_loss,SAA_minus_DRO_loss,STATE19_SAA_shortage_kg,STATE19_DRO_shortage_kg,SAA_minus_DRO_shortage_kg,DRO_improves_loss,DRO_improves_shortage,verified_low_probability_high_harm_replica
3,1,1,SO-P0001-R01,2.592e-15,25292.9290173223,25292.9290173223,0.0,11.4556910236478,11.4556910236478,0.0,False,False,False
3,1,2,SO-P0001-R02,2.592e-15,20906.3540455887,20906.3540455887,0.0,9.000900090009,9.000900090009,0.0,False,False,False
3,1,3,SO-P0001-R03,2.592e-15,111127.452005829,111127.452005829,0.0,54.2781550882361,54.2781550882361,0.0,False,False,True
3,1,4,SO-P0001-R04,2.592e-15,57850.373550961,57850.373550961,0.0,27.8209639145733,27.8209639145733,0.0,False,False,False
3,1,5,SO-P0001-R05,2.592e-15,44498.6948692106,44498.6948692106,0.0,21.2748547582031,21.2748547582031,0.0,False,False,False
4,2,1,SO-P0002-R01,1.0368e-13,323202.00526311,323202.00526311,0.0,160.652428879252,160.652428879252,0.0,False,False,True
4,2,2,SO-P0002-R02,1.0368e-13,320848.080151871,320848.080151871,0.0,159.561410686523,159.561410686523,0.0,False,False,True
4,2,3,SO-P0002-R03,1.0368e-13,241435.600642032,241435.600642032,0.0,119.739246651938,119.739246651938,0.0,False,False,True
4,2,4,SO-P0002-R04,1.0368e-13,354798.560153295,354798.560153295,0.0,176.744947221995,176.744947221995,0.0,False,False,True
4,2,5,SO-P0002-R05,1.0368e-13,314128.79265355,314128.79265355,0.0,156.288356108338,156.288356108338,0.0,False,False,True
5,3,1,SO-P0003-R01,2.7e-14,157856.403725649,157856.403725649,0.0,78.2805553282601,78.2805553282601,0.0,False,False,True
5,3,2,SO-P0003-R02,2.7e-14,339658.391884233,339658.391884233,0.0,169.380574421079,169.380574421079,0.0,False,False,True
5,3,3,SO-P0003-R03,2.7e-14,222467.915407884,222467.915407884,0.0,110.465592013747,110.465592013747,0.0,False,False,True
5,3,4,SO-P0003-R04,2.7e-14,204443.170969377,204443.170969377,0.0,101.464691923738,101.464691923738,0.0,False,False,True
5,3,5,SO-P0003-R05,2.7e-14,165432.820628006,165432.820628006,0.0,81.8263644546273,81.8263644546273,0.0,False,False,True
6,4,1,SO-P0004-R01,5.76e-16,55239.9717637491,55238.9930145244,0.9787492246978218,26.1844366254807,26.1844366254807,0.0,True,False,False
6,4,2,SO-P0004-R02,5.76e-16,37874.8295612213,37874.8295612213,0.0,18.001800180018,18.001800180018,0.0,False,False,False
6,4,3,SO-P0004-R03,5.76e-16,49605.9474870914,49604.9460884455,1.001398645901645,22.9113820472956,22.9113820472956,0.0,True,False,False
6,4,4,SO-P0004-R04,5.76e-16,2236.74859149407,2236.74859149407,0.0,0.0,0.0,0.0,False,False,False
6,4,5,SO-P0004-R05,5.76e-16,49062.5115837565,49062.5115837565,0.0,22.9113820472956,22.9113820472956,0.0,False,False,False
7,5,1,SO-P0005-R01,1.44e-15,291701.602846964,291701.602846964,0.0,145.378174181054,145.378174181054,0.0,False,False,True
