unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,path_probability,decision_label,T1,T2,T3,T4,total_demand_kg,operating_loss,service_cost,shortage_kg,shortage_W1_kg,shortage_W2_kg,shortage_W3_kg,service_satisfaction_rate,unreachable_demand_kg,single_site_demand_kg,unreachable_demand_node_period_count,max_site_capacity_shadow_price,state19_nominal_loss_percentile,formal_scenario_sha256,solver_status
6,4,1,SO-P0004-R01,5.76e-16,HALF_CAPACITY,150,100,50,75,453.045304530453,158029.280798645,1938.67173773928,78.045304530453,0,22.9488857976706,55.0964187327824,0.82773178807947,26.1844366254807,0,6,1991.47435897436,NaN,4a1c6c8572e916e570edeea29f927518f58283277edc3a04ed01feb953e97d79,OPTIMAL
6,4,2,SO-P0004-R02,5.76e-16,HALF_CAPACITY,150,100,50,75,237.841966014783,37874.8295612213,1871.22920118527,18.001800180018,0,0,18.001800180018,0.924311926605505,18.001800180018,0,4,-0,NaN,0537ad60f6f60fc68b2ca968c1f79f502ec66ecaf920115b6cd49852c6259196,OPTIMAL
6,4,3,SO-P0004-R03,5.76e-16,HALF_CAPACITY,150,100,50,75,503.777650492322,259798.980953665,2243.67996902103,128.777650492322,14.7287456018329,22.9488857976706,91.1000190928184,0.744376015159719,22.9113820472956,0,1,1996.89102564103,NaN,90b71efd6c15a0e83b94cf4e27bf395f073a57fea008ffe3c4dd86b23352d6e5,OPTIMAL
6,4,4,SO-P0004-R04,5.76e-16,HALF_CAPACITY,150,100,50,75,324.305157788506,2943.02824794261,2943.02824794261,0,0,0,0,1,0,0,0,20.5121473877819,NaN,193392909754c3ce27856d23f38a83f21581c8bb737726d970ae5df58c10844f,OPTIMAL
6,4,5,SO-P0004-R05,5.76e-16,HALF_CAPACITY,150,100,50,75,289.665330169381,49063.3173439019,3240.55324931067,22.9113820472956,0,0,22.9113820472956,0.92090395480226,22.9113820472956,0,1,0.142816457400486,NaN,743a5e984c7498b614da43842d037c7f8cbaccfe5ed4191185f3cd3ec12d5ded,OPTIMAL
7,5,1,SO-P0005-R01,1.44e-15,HALF_CAPACITY,150,100,50,75,333.306057878515,291884.164775598,1127.81641348856,145.378174181054,0,4.90958186727764,140.468592313777,0.563829787234043,145.378174181054,62.1880369855167,24,16.158158131339,NaN,32e0bcfcdc806db42a847c7bb99b8b3c0ce705143e258e4b1033d11de44d43f6,OPTIMAL
7,5,2,SO-P0005-R02,1.44e-15,HALF_CAPACITY,150,100,50,75,415.677931429507,90768.240708426,5653.82017546367,42.5572102664812,0,0,42.5572102664812,0.897619750656168,36.5491094564002,166.107519842893,4,1964.67433874746,NaN,ba46dfe33572c9de75705b094e7ac3baf33cf43290004de0b3c50fcfcbeb5b1e,OPTIMAL
7,5,3,SO-P0005-R03,1.44e-15,HALF_CAPACITY,150,100,50,75,327.850966914873,169354.114445962,1882.82186215813,83.7356462919019,0,0,83.7356462919019,0.74459234608985,83.7356462919019,83.4628917437198,15,9.82661759204673,NaN,b27261b3f7c40598b172e072b2153b7b2f9c5ed33b8c19116a19dcd2075a4d0d,OPTIMAL
7,5,4,SO-P0005-R04,1.44e-15,HALF_CAPACITY,150,100,50,75,414.586913236778,98093.4384853066,5356.89210339565,46.3682731909555,0,0,46.3682731909555,0.888157894736842,46.3682731909555,29.4574912036658,6,42.0061798652032,NaN,c41b1f6a0bdba138321eb36926e8618770234660110bc9f27d0c7ab92eb5fb51,OPTIMAL
7,5,5,SO-P0005-R05,1.44e-15,HALF_CAPACITY,150,100,50,75,431.224940675886,119900.602696339,3146.65457425361,58.3769740610424,0,0,58.3769740610424,0.864625237191651,26.1844366254807,140.468592313777,2,1971.08991220241,NaN,9542d51b5e1bcfa231246ace99f1bb37576e4559b750a2c30a484e40a1a6decc,OPTIMAL
8,6,1,SO-P0006-R01,7.2e-16,HALF_CAPACITY,150,100,50,75,380.219840165835,58922.2530891681,3280.32526002158,27.8209639145733,0,0,27.8209639145733,0.926829268292683,27.8209639145733,22.9113820472956,2,19.0834840050805,NaN,11723562e0f8c562b96f96b5ce71e6baa59ad49703cf5be8512e06db0243a9a4,OPTIMAL
8,6,2,SO-P0006-R02,7.2e-16,HALF_CAPACITY,150,100,50,75,332.760548782151,22221.8929935956,2583.56552448505,9.81916373455527,0,0,9.81916373455527,0.970491803278689,9.81916373455527,9.81916373455527,2,15.2450625025404,NaN,21174f676b608e50ca515c908f873fb69e720fad6dc424ef9657e5f85f3b902e,OPTIMAL
8,6,3,SO-P0006-R03,7.2e-16,HALF_CAPACITY,150,100,50,75,299.211739355754,11774.2097822681,1955.04604771279,4.90958186727764,0,0,4.90958186727764,0.98359161349134,4.90958186727764,0,1,0.48501502633081,NaN,c5e75db3236d2816b4a7e2362c5c2a7e77267a98d0b9cb0e1f344c47d5bee75e,OPTIMAL
8,6,4,SO-P0006-R04,7.2e-16,HALF_CAPACITY,150,100,50,75,278.755148242097,22055.3398259234,2417.01235681285,9.81916373455527,0,4.90958186727764,4.90958186727764,0.964774951076321,9.81916373455527,0,2,0.143959944853828,NaN,1e4e01fba64514a04b7ad8987b2b776536432784ccf207dd0c53d9f56e4a97b2,OPTIMAL
8,6,5,SO-P0006-R05,7.2e-16,HALF_CAPACITY,150,100,50,75,428.224640645883,109165.309284795,2716.02799303001,53.2246406458827,0,19.1078198728963,34.1168207729864,0.875708598726115,0,0,0,1995.46575567566,NaN,2044980d841a5903d7be37a977be023f9b04a1293b745307204b25a61b62e320,OPTIMAL
9,7,1,SO-P0007-R01,1.0368e-13,HALF_CAPACITY,150,100,50,75,380.219840165835,329448.785366997,3234.34574121645,163.10721981289,0,35.1853367154897,127.921883097401,0.571018651362984,163.10721981289,89.4634918037258,29,43.9611171320487,NaN,3fa637e987b3a6dac6e18034dcec9eb64b1df9e47733d2de576948662956c3fd,OPTIMAL
9,7,2,SO-P0007-R02,1.0368e-13,HALF_CAPACITY,150,100,50,75,387.856967514934,161587.510636068,4607.72174808876,78.4898944439898,0,3.27305457818509,75.2168398658047,0.797631856540085,54.5509096364182,96.8278646046423,6,1963.83561770838,NaN,5d1a6a067000333d814adca96441971702937691711a70bd3fd00fe745235508,OPTIMAL
9,7,3,SO-P0007-R03,1.0368e-13,HALF_CAPACITY,150,100,50,75,520.688432479611,486534.896893343,2653.32691816408,241.94078498759,0,103.108719962905,138.832065024684,0.535344421162912,213.021302130213,192.291956468374,36,1969.30839398116,NaN,8e7b7188c226be115d803975f2fa5d4e2bf6cfebdee41202ff0b7854a599459b,OPTIMAL
9,7,4,SO-P0007-R04,1.0368e-13,HALF_CAPACITY,150,100,50,75,405.313258598587,336247.343689235,1850.2676179912,167.198538035622,0,36.003600360036,131.194937675586,0.587483176312248,167.198538035622,76.3712734909854,29,-0,NaN,92d519471e411418cd47dcea36bec6c14723fa4609ef53761653cf98a033d346,OPTIMAL
9,7,5,SO-P0007-R05,1.0368e-13,HALF_CAPACITY,150,100,50,75,454.954586367728,196959.377647923,5470.68332394555,95.7443471619889,0,40.9206829773886,54.8236641846003,0.78955185851319,61.3697733409705,122.466792133759,6,1991.76752738851,NaN,9a3a847073c153f4f1c57c0b31d1abdabb9bc0074714b3d5b47163440555e518,OPTIMAL
10,8,1,SO-P0008-R01,2.88e-14,HALF_CAPACITY,150,100,50,75,468.865068325014,190680.770856313,2950.63420628483,93.8650683250143,0,19.4030766713034,74.4619916537108,0.799803664921466,80.1898371655347,230.204838665685,18,1976.54938760849,NaN,a4aece802b82ea76a897724e219b35d886643c9896e6ed3eacd80f4c8ec715a8,OPTIMAL
10,8,2,SO-P0008-R02,2.88e-14,HALF_CAPACITY,150,100,50,75,607.96988789788,468593.057775176,2653.2819794146,232.969887897881,0,103.956986607752,129.012901290129,0.616806864064603,158.470392493795,246.842866104792,30,1981.59599116054,NaN,0fed44a4c071614506b4b363eaad09ff5c50b06515d469196056514e6a109f1e,OPTIMAL
10,8,3,SO-P0008-R03,2.88e-14,HALF_CAPACITY,150,100,50,75,455.500095464092,460506.831278647,3370.20852546229,228.568311376592,0,73.3709734609825,155.19733791561,0.498203592814371,228.568311376592,176.744947221995,37,-0,NaN,683ab29e5b7631faa9ffa6a72ec667736a97ee40572ed276e6734e5ba1e2638c,OPTIMAL
10,8,4,SO-P0008-R04,2.88e-14,HALF_CAPACITY,150,100,50,75,521.77945067234,339963.871378942,4475.77711497016,167.744047131986,0,39.2766549382211,128.467392193765,0.678515420805018,167.744047131986,141.559610506505,28,27.6438621690782,NaN,aa8b7abaadf430627fa60a4a53f33a1452b5b7d98b5ab56d796d09dbae34afd5,OPTIMAL
10,8,5,SO-P0008-R05,2.88e-14,HALF_CAPACITY,150,100,50,75,582.876469465128,418224.694243907,2471.75531365081,207.876469465128,0,80.7728500122739,127.103619452854,0.643361020121666,169.653328969261,130.103919482857,25,1989.01632214603,NaN,42378ee1a0ce28d5aedde784a67e71dfd325a3dd7a42fea0f937cf220def977c,OPTIMAL
11,9,1,SO-P0009-R01,2.7e-14,HALF_CAPACITY,150,100,50,75,285.301257398467,148655.157965363,1913.21104339809,73.3709734609825,0,3.27305457818509,70.0979188827974,0.74282982791587,73.3709734609825,137.468292283774,16,-0,NaN,4a81d6d798860420472bc2d53830ad665094162a81277d78d909b3f080b91323,OPTIMAL
