initial_state_id,R,loss_q50,loss_q95,loss_q99
1,500,0,0,1255.09661658916
2,500,0,0,172.989326904718
3,500,0,0,61.3697733409705
4,500,0,0,147.969342388784
5,500,0,0,676.941800382797
6,500,0,0,0
7,500,0,0,0
8,500,0,1817.92554200949,68107.3574578675
9,500,0,2437.74769906835,92050.2911655974
10,500,0,2786.50455988383,92797.8513326828
11,500,0,1727.99442015208,64952.60685803
12,500,0,1146.97477702073,3830.50045983306
13,500,0,720.825850848162,7923.8910338863
14,500,0,149.904029521654,10685.6081116707
15,500,621.411422605604,94253.3099507827,208086.014225326
16,500,686.634440549273,93332.37412354,243475.052692061
17,500,747.866061307152,94379.9968331519,198661.095796821
18,500,281.514165402554,94743.1545754756,195995.537978297
19,500,20.4565911136568,57297.8481298712,195623.709782095
20,500,0,29304.3131148342,155244.188874297
21,500,0,16127.8150712769,126320.176500702
22,500,4289.19179214061,252646.745640088,391291.979268867
23,500,10924.8270864922,220166.895340071,341521.289404833
24,500,6339.16473956489,211166.962583436,352008.66903494
25,500,3455.42033828623,186571.216354947,393545.487925497
26,500,3085.33126059247,200570.973248518,330120.788851574
27,500,1397.42437923865,153996.840847305,311405.868046437
28,500,509.591693590378,125038.642793532,329186.258083652
29,500,48039.4786701235,427689.196278816,612378.149994732
30,500,62255.7127195382,392742.05302545,570347.823294333
31,500,56851.2419737484,401428.725378106,587593.371881374
32,500,34912.4749126405,390847.528828611,634783.746798106
33,500,12403.0617297344,328014.642410731,490310.978057912
34,500,3421.79188969099,267214.760679864,499795.51053716
35,500,2031.95924586928,184735.025742932,305686.629529448
19,15000,118.858039650119,61314.2770955281,188736.506145148
