unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,D_finite,D_nonnegative,C_domain_exact,D_persistent_nondecreasing,A_persistent_nonincreasing,C_nondecreasing_while_reachable,failed_line_persistent,closed_road_persistent,source_demand_zero,passed,formal_scenario_sha256
10,8,5,SO-P0008-R05,1,1,1,1,1,1,1,1,1,1,42378ee1a0ce28d5aedde784a67e71dfd325a3dd7a42fea0f937cf220def977c
11,9,1,SO-P0009-R01,1,1,1,1,1,1,1,1,1,1,4a81d6d798860420472bc2d53830ad665094162a81277d78d909b3f080b91323
11,9,2,SO-P0009-R02,1,1,1,1,1,1,1,1,1,1,53857e03746c66659ec5876e2ac88e02ef8dfb4978764eb2f549d130408c57a5
11,9,3,SO-P0009-R03,1,1,1,1,1,1,1,1,1,1,9a2c4f0d8b6e94ad79651bf1c3336aa88f0977ab5aaf2c341beb8f726e87b6a6
11,9,4,SO-P0009-R04,1,1,1,1,1,1,1,1,1,1,2f02ff79baf5d6f8012934b4a290057ed206d6a725714fc1e5d269ffc89e9e6a
11,9,5,SO-P0009-R05,1,1,1,1,1,1,1,1,1,1,663c877b9138016e8f44b7d3925db7b2739600aee769dce26b653c117ba41681
12,10,1,SO-P0010-R01,1,1,1,1,1,1,1,1,1,1,047ab94df5117befe847a3e5476110f0e98e7100f956fb72fce86ea6ca59369d
12,10,2,SO-P0010-R02,1,1,1,1,1,1,1,1,1,1,956535468b81d4d46ac87c03d8ab99ea035f2e58d432272035bd2ca96b32cc31
12,10,3,SO-P0010-R03,1,1,1,1,1,1,1,1,1,1,bab0d6f75060beb3587c869d4049835db360f9bd40bb8eacb77f34071a28c5d7
12,10,4,SO-P0010-R04,1,1,1,1,1,1,1,1,1,1,fba4fea8767c7bccb09489a18675f32405a1ce1bb07c9b443dae2040b1ff8d9c
12,10,5,SO-P0010-R05,1,1,1,1,1,1,1,1,1,1,ab4ac2e73ad2549498e55faec875d2e2728544ba51b79f1fd9884fe142e2f64e
13,11,1,SO-P0011-R01,1,1,1,1,1,1,1,1,1,1,a090db3483315232f47943b31e4524d116bf8f44c45631d5571ff1cf7e290a10
13,11,2,SO-P0011-R02,1,1,1,1,1,1,1,1,1,1,a0c7d1222288e798733483dbb805bf483acb9abe5d6e2d2d60162dd871d52c92
13,11,3,SO-P0011-R03,1,1,1,1,1,1,1,1,1,1,06a0c9f048f992fd4445ddb89b9f6d921b3cb5f4f49f6e2cc30e0e51f00bd008
13,11,4,SO-P0011-R04,1,1,1,1,1,1,1,1,1,1,8a117c9fece5ea3563006607008eb7deab0d3af41d0911652d61d6d15c392add
13,11,5,SO-P0011-R05,1,1,1,1,1,1,1,1,1,1,af1068331cd1b8839acfbdc1b422ff33fad25d15ae50b33d508ccea060a33174
14,12,1,SO-P0012-R01,1,1,1,1,1,1,1,1,1,1,155764191c61943048c7b30b6d09db41efc8f5c5726da511b27d78ac278f35f1
