HTT_hour_status,path_hour_count,mean_proxy_surplus_kg,mean_proxy_deficit_kg,mean_information_consistent_physical_opportunity_kg,mean_fleet_slack_kg,marginal_continuation_value_proxy,marginal_economic_causality
INACTIVE,279460,174.41023212,0.261391773417,0.201923967625,150.642963947,NOT_AVAILABLE,HTT_MARGINAL_ECONOMIC_CAUSALITY_NOT_IDENTIFIABLE
ACTIVE,6428,141.610774417,4.56093415834,3.0766398965,119.499519536,NOT_AVAILABLE,HTT_MARGINAL_ECONOMIC_CAUSALITY_NOT_IDENTIFIABLE
