risk_proxy,quantile_level,risk_threshold,risk_value,a0,loc0,lfw0,unique_path_id,a_W1,a_W2,a_W3,loc_W1,loc_W2,loc_W3,lfw_W1,lfw_W2,lfw_W3,frequency,reportedProbabilityMin,reportedProbabilityMax,empirical_mass,path_probability,path_probability_reported_range,path_probability_recomputed_error,grid_max_wind_mps,grid_cumulative_excess_mps,road_max_wind_mps,road_cumulative_excess_mps,grid_longest_consecutive_exceedance_windows,road_longest_consecutive_exceedance_windows
grid_max_wind_mps,0.95,20.7972926228444,36.878839612267,2,1,0,5101,2,2,4,3,3,1,1,3,2,1,6.206390775e-09,6.206390775e-09,6.66666666666667e-05,6.206390775e-09,0,0,36.878839612267,275.747805692285,36.878839612267,153.570111568169,1,1
grid_max_wind_mps,0.95,20.7972926228444,34.4243495781821,2,1,0,5524,4,5,6,1,-1,-2,1,0,1,1,2.1756976744186e-10,2.1756976744186e-10,6.66666666666667e-05,2.1756976744186e-10,0,4.13590306276514e-25,34.4243495781821,208.979264703489,34.4243495781821,49.001318754391,1,1
grid_max_wind_mps,0.95,20.7972926228444,55.4697563798479,2,1,0,5525,4,6,6,2,3,2,1,2,3,1,6.912675e-08,6.912675e-08,6.66666666666667e-05,6.912675e-08,0,1.32348898008484e-23,55.4697563798479,738.659603035644,55.4697563798479,612.769873153569,3,2
grid_cumulative_excess_mps,0.95,0,275.747805692285,2,1,0,5101,2,2,4,3,3,1,1,3,2,1,6.206390775e-09,6.206390775e-09,6.66666666666667e-05,6.206390775e-09,0,0,36.878839612267,275.747805692285,36.878839612267,153.570111568169,1,1
grid_cumulative_excess_mps,0.95,0,291.123635960367,2,1,0,5274,2,4,4,1,0,-1,2,3,2,1,2.088326521875e-08,2.088326521875e-08,6.66666666666667e-05,2.088326521875e-08,0,3.97046694025453e-23,36.3659417229986,291.123635960367,36.3659417229986,100.189621748374,2,2
grid_cumulative_excess_mps,0.95,0,749.315939082328,2,1,0,5522,4,5,5,2,2,4,0,1,2,1,1.846553436e-07,1.846553436e-07,6.66666666666667e-05,1.846553436e-07,0,7.94093388050907e-23,45.9865692331103,749.315939082328,45.9865692331103,550.985858543264,2,2
grid_cumulative_excess_mps,0.95,0,1028.16751747007,2,1,0,5523,4,5,5,2,4,5,1,2,3,1,9.3665754e-07,9.3665754e-07,6.66666666666667e-05,9.3665754e-07,0,2.11758236813575e-22,45.9865692331103,1028.16751747007,45.9865692331103,850.923873395325,3,2
grid_cumulative_excess_mps,0.95,0,208.979264703489,2,1,0,5524,4,5,6,1,-1,-2,1,0,1,1,2.1756976744186e-10,2.1756976744186e-10,6.66666666666667e-05,2.1756976744186e-10,0,4.13590306276514e-25,34.4243495781821,208.979264703489,34.4243495781821,49.001318754391,1,1
grid_cumulative_excess_mps,0.95,0,738.659603035644,2,1,0,5525,4,6,6,2,3,2,1,2,3,1,6.912675e-08,6.912675e-08,6.66666666666667e-05,6.912675e-08,0,1.32348898008484e-23,55.4697563798479,738.659603035644,55.4697563798479,612.769873153569,3,2
road_max_wind_mps,0.95,20.7972926228444,36.878839612267,2,1,0,5101,2,2,4,3,3,1,1,3,2,1,6.206390775e-09,6.206390775e-09,6.66666666666667e-05,6.206390775e-09,0,0,36.878839612267,275.747805692285,36.878839612267,153.570111568169,1,1
