a0,loc0,lfw0,quantile_level,combined_high_risk_path_count,combined_high_risk_empirical_mass,combined_pareto_path_count,combined_pareto_empirical_mass,combined_boundary_path_count,observed_unique_path_count,combination_mode
4,1,0,0.99,249,0.0222,8,0.000533333333333334,69,8037,four_proxy_union
4,1,0,0.995,125,0.00926666666666667,8,0.000533333333333334,19,8037,four_proxy_union
4,2,0,0.95,812,0.0701999999999998,12,0.0008,106,8407,four_proxy_union
4,2,0,0.99,230,0.0206,7,0.000466666666666667,66,8407,four_proxy_union
4,2,0,0.995,106,0.00786666666666667,6,0.0004,4,8407,four_proxy_union
4,3,0,0.95,818,0.0709333333333331,8,0.000533333333333334,121,8440,four_proxy_union
4,3,0,0.99,244,0.0201333333333333,8,0.000533333333333334,54,8440,four_proxy_union
4,3,0,0.995,114,0.0084,8,0.000533333333333334,4,8440,four_proxy_union
4,4,0,0.95,778,0.0671333333333331,11,0.000733333333333334,170,8503,four_proxy_union
4,4,0,0.99,219,0.0184,11,0.000733333333333334,47,8503,four_proxy_union
4,4,0,0.995,108,0.00806666666666667,11,0.000733333333333334,6,8503,four_proxy_union
4,5,0,0.95,729,0.0609333333333331,6,0.0004,60,8464,four_proxy_union
4,5,0,0.99,275,0.0232666666666666,6,0.0004,107,8464,four_proxy_union
4,5,0,0.995,140,0.0106,6,0.0004,22,8464,four_proxy_union
4,6,0,0.95,754,0.0648666666666665,8,0.000533333333333334,125,8236,four_proxy_union
4,6,0,0.99,291,0.024,7,0.000466666666666667,116,8236,four_proxy_union
4,6,0,0.995,168,0.0136,6,0.0004,66,8236,four_proxy_union
4,7,0,0.95,720,0.0710666666666664,9,0.0006,146,8026,four_proxy_union
4,7,0,0.99,231,0.0175333333333333,7,0.000466666666666667,84,8026,four_proxy_union
4,7,0,0.995,133,0.0096,6,0.0004,39,8026,four_proxy_union
5,1,0,0.95,655,0.160133333333333,11,0.000733333333333334,282,7092,four_proxy_union
5,1,0,0.99,283,0.0545333333333333,11,0.000733333333333334,137,7092,four_proxy_union
5,1,0,0.995,110,0.00853333333333334,10,0.000666666666666667,7,7092,four_proxy_union
5,2,0,0.95,682,0.167466666666667,10,0.000666666666666667,329,7226,four_proxy_union
5,2,0,0.99,276,0.0489333333333333,10,0.000666666666666667,106,7226,four_proxy_union
5,2,0,0.995,120,0.0092,9,0.0006,15,7226,four_proxy_union
5,3,0,0.95,661,0.160933333333333,14,0.000933333333333334,330,7490,four_proxy_union
5,3,0,0.99,249,0.0389333333333333,12,0.0008,85,7490,four_proxy_union
5,3,0,0.995,110,0.00826666666666667,12,0.0008,12,7490,four_proxy_union
5,4,0,0.95,624,0.143733333333333,8,0.000533333333333334,317,7332,four_proxy_union
5,4,0,0.99,206,0.0295333333333333,7,0.000466666666666667,60,7332,four_proxy_union
5,4,0,0.995,113,0.00826666666666667,7,0.000466666666666667,13,7332,four_proxy_union
5,5,0,0.95,501,0.110533333333333,6,0.0004,238,7300,four_proxy_union
5,5,0,0.99,163,0.0248,6,0.0004,44,7300,four_proxy_union
5,5,0,0.995,105,0.00893333333333333,5,0.000333333333333333,15,7300,four_proxy_union
5,6,0,0.95,637,0.1204,6,0.0004,269,7158,four_proxy_union
5,6,0,0.99,153,0.0184,6,0.0004,34,7158,four_proxy_union
5,6,0,0.995,107,0.00866666666666667,6,0.0004,19,7158,four_proxy_union
5,7,0,0.95,480,0.0867333333333332,5,0.000333333333333333,199,6862,four_proxy_union
5,7,0,0.99,203,0.0285333333333333,4,0.000266666666666667,101,6862,four_proxy_union
5,7,0,0.995,180,0.0222666666666666,4,0.000266666666666667,101,6862,four_proxy_union
6,1,0,0.95,594,0.0733999999999999,10,0.000666666666666667,46,7369,four_proxy_union
6,1,0,0.99,225,0.0262,8,0.000533333333333334,112,7369,four_proxy_union
6,1,0,0.995,195,0.0230666666666667,7,0.000466666666666667,110,7369,four_proxy_union
6,2,0,0.95,624,0.0773999999999998,6,0.0004,265,7512,four_proxy_union
6,2,0,0.99,250,0.0299333333333333,5,0.000333333333333333,147,7512,four_proxy_union
6,2,0,0.995,219,0.0269333333333333,4,0.000266666666666667,147,7512,four_proxy_union
6,3,0,0.95,638,0.0801333333333332,6,0.0004,253,7698,four_proxy_union
6,3,0,0.99,257,0.0325333333333333,3,0.0002,167,7698,four_proxy_union
6,3,0,0.995,230,0.0300666666666667,3,0.0002,168,7698,four_proxy_union
6,4,0,0.95,653,0.0795999999999999,9,0.0006,152,7803,four_proxy_union
6,4,0,0.99,230,0.0258,7,0.000466666666666667,148,7803,four_proxy_union
6,4,0,0.995,203,0.0228666666666667,6,0.0004,148,7803,four_proxy_union
6,5,0,0.95,559,0.0711333333333332,10,0.000666666666666667,143,7657,four_proxy_union
6,5,0,0.99,162,0.0202,7,0.000466666666666667,88,7657,four_proxy_union
6,5,0,0.995,131,0.0163333333333333,4,0.000266666666666667,88,7657,four_proxy_union
6,6,0,0.95,655,0.0759333333333332,11,0.000733333333333334,143,7589,four_proxy_union
6,6,0,0.99,224,0.0224666666666667,8,0.000533333333333334,112,7589,four_proxy_union
6,6,0,0.995,110,0.0112,6,0.0004,68,7589,four_proxy_union
6,7,0,0.95,689,0.0831999999999998,10,0.000666666666666667,152,7140,four_proxy_union
6,7,0,0.99,168,0.0168666666666667,10,0.000666666666666667,78,7140,four_proxy_union
6,7,0,0.995,139,0.0133333333333333,8,0.000533333333333334,77,7140,four_proxy_union
